评论,时间,点赞数,标签
能拍天文[doge],2022-12-20 10:10:44,12,0
人类对宇宙一直有与生俱来的好奇心，这次我们和@ShootingStars留星  工作室的Kevin、小左老师一起探索浩瀚无垠的星空，并尝试用手中的天文望远镜记录下中国空间站的画面，分享天文望远镜拍摄的注意事项！如果你喜欢本期视频，别忘了点赞投币～[星星眼],2022-12-20 10:13:50,3,0
"“抬头看看夜晚的天空，真的很美”
小的时候，总是想和自己的小伙伴去看星空；但是因为大多数的城市光太亮了，看不见星空；所以长大了的我们，都拿上了驾照，开着自己家里的五菱去了山上，去了离城市更远的地方；
确实星空很美,但是在返程的路上，我看到了比星空还美的事情，那就是，我们每个人脸上的笑容。还有此时此刻的青春。",2022-12-20 10:32:41,14,0
终于讲到我熟悉的领域了[滑稽],2022-12-20 11:18:12,32,0
"铁山靠（幻视）
星空小黑子",2023-01-01 10:10:05,9,0
小时候在村里半夜三点上厕所，一抬头满天星光闪闪，各种各样的大小，无比璀璨耀眼，我呆呆的站了很久，直到吹来一阵风我才跑屋里去看，现在么，倒是偶尔才能看到几颗[笑哭],2022-12-20 16:47:13,9,0
"视频中提到的几位up快速关注：
@国家天文台 
@氕氘氚Star 
@巡天者叶梓颐 
@天体物理博士刘博洋",2022-12-20 14:38:13,9,0
希望小白看了不要乱入坑，先了解一下，建议小白买个裕众10×50的双筒和一本诺顿星图，练习巡天认识星星，不然买了望远镜双眼一摸黑啥也不知道，然后可以进阶好些的了，建议买信达小黑150，性价比很高，脚架买钢腿的带goto的，铝腿不稳，不要买什么高倍率普消，低价位的普消真的是一言难进，信达这个还有大黑和老黑，预算足够可以买老黑，不过要换赤道仪，我自己用的锐星100Q赤道仪neq6，导星是锐星50ed，属于入门级别的深空摄影了，因为工作的原因好多年没搞过了，现在看到这个视频感觉也是挺遗憾的。。。[笑哭],2022-12-20 14:10:59,28,0
"二十几年前在乡村夜晚
抬头就能看到的璀璨星河
现在只能靠想象了
[难过]",2022-12-20 11:48:55,9,0
孙连城默默的送上三连[热词系列_三连],2022-12-20 11:28:41,9,0
能看到社员们一直喜爱的up发星空摄影！！！[脱单doge][脱单doge][脱单doge]顺便我们高中社团拍摄的https://b23.tv/BV1fv4y1U7w3,2022-12-20 10:46:11,24,0
以前开网店卖过天文望远镜，还有三台“信达小黑150EQ3D”，有需要可以出厂价给可爱的网友们，出个邮费就可以,2022-12-20 10:42:22,21,0
信达小黑性价比yyds,2022-12-20 10:29:16,9,0
我用渣手机拍的自家房顶星空也很漂亮，能看到银河，在我置顶视频里，欢迎来访,2022-12-20 10:18:44,9,0
我们的征程是星辰大海[打call],2022-12-20 10:10:26,26,0
耶✌️，终于出啦，我可是这个主意的提出者呦[脱单doge],2022-12-20 10:14:05,21,0
[doge][doge]天文开箱up不负责任盲猜：视频里最贵赤道仪是02:30里logo没出场扛着C11hd的ASA（型号未知、存货极少）、最贵望远镜是08:50的高桥TOA-150（不带配件10万多）最贵滤镜是10:05的Chroma 50mm无框LRGBSHO（一套大概4万）[doge][doge],2022-12-20 14:35:53,8,0
"                            本视频学习笔记
和样片差距有点大的原因：
1.氪金不够
2.靠天气
差距很大   好天气(左)  ...",2022-12-20 13:12:19,8,0
但你看到的是几百万年前的样子哦[热词系列_知识增加],2022-12-20 12:04:02,8,0
"即便光速是很快的，但距离地球最近的猎户星云，哪怕按光速也要走1500年
我又想起了钱学森的一句话，你在一个清朗的夏夜，望着繁密的闪闪群星，有一种可望不可及的失望吧。我们真的如此可怜吗？不，绝不！我们必须征服宇宙。",2022-12-20 10:37:01,22,0
不愧是⑨[doge],2022-12-20 10:11:37,2,0
[吃瓜][吃瓜][吃瓜],2022-12-20 10:14:01,0,0
群主好,2022-12-25 04:50:25,0,0
回复 @飛雨 :求群号[热词系列_仙人指路],2022-12-24 07:59:33,0,0
鬼佬！！！！,2022-12-23 12:08:34,0,0
回复 @吃彩虹糖的皮皮光 :我以为是手机看多了眼睛不行了[脸红],2022-12-21 01:16:16,0,0
是的，小时候夜空的星星特别多，现在都看不到了。大气污染和光污染太严重了,2022-12-20 17:48:48,0,0
应该还有@AngelAn安久,2022-12-20 14:45:44,0,0
铝脚怎么不稳？会晃动吗还是会变形？,2022-12-22 09:45:15,0,0
我已经把avx和70sa挂着了 以后摄影只打酱油 还是目视更吸引我[脱单doge],2022-12-21 07:26:00,0,0
二十几年后移民去火星看更清晰[doge],2022-12-24 05:41:01,0,0
我这农村可以目视看见银河[脱单doge],2022-12-20 13:44:28,0,0
喜欢看星星[doge],2022-12-20 11:31:10,0,0
[热词系列_大师球],2022-12-25 05:17:10,0,0
捉到野生的大观,2022-12-20 12:20:16,0,0
顶,2022-12-20 11:14:05,0,0
回复 @囧中月 :我靠，这么便宜。我买的时候都3000出头。,2022-12-20 15:46:22,0,0
牛抛如果这个价格就好了,2022-12-20 13:02:48,0,0
回复 @蜉蝣一生wzp :1750加运费，需要可以私信我，给闲鱼链接,2022-12-20 12:52:15,0,0
回复 @章北海的工作室 :千万别，现在把他们干掉的话，我们连地球都飞不出去了,2022-12-20 10:58:30,1,0
先把老航天干了再说，不然连太阳系都飞不出来,2022-12-20 10:34:49,0,0
就是这样才有一种穿越时空的浪漫hhh,2022-12-23 02:50:58,0,0
是，但何妨？,2022-12-21 06:18:10,0,0
