评论,时间,点赞数,标签
我要火，顶我上去！谁TM买小米啊？各位友商快点来赞助我这句话！,2021-08-15 02:28:42,1,0
你买两个四子棋让人机互下,2021-08-15 02:08:26,1,0
最近正打算买个电磁炉，便宜好用的这个应该不算吧,2021-08-15 01:51:44,1,0
比硬币薄[支持] 比纸币还薄,2021-08-15 01:42:55,2,0
那个aqara窗帘伴侣，需要单独购买网关，不然没法连接小爱同学[藏狐],2021-08-15 01:25:27,2,0
窗帘电机官方店要卖300多，这价格就不合适了,2021-08-14 16:49:26,1,0
刚装修房子，想搞一套简单的智能家居系统，不要太贵的，就是家里的灯能感应开关和远程控制，电视，空调这些大家电能语音或远程控制就行。应该怎么弄？,2021-08-14 16:30:41,2,0
米家电磁炉:年轻人的第一台打碟机[doge],2021-08-14 15:59:53,1,0
视频里06:51那个ZigBee网关是哪个牌子哪款啊,2021-08-14 15:46:03,2,0
看封面我还激动以为米家出了类似NEST的温控器,2021-08-14 14:22:10,1,0
我一直认为老款是单人的火锅炉……毕竟自己一个人吃坐着就能改火力,2021-08-14 13:33:33,1,0
我觉得为什么电磁炉不用uwb，电磁炉沾油烟手机盖上去感觉碰上去全是油啊！[笑哭],2021-08-14 13:23:42,1,0
up主可以试试华为的联动,2021-08-14 13:23:48,1,0
自发电开关可以搞一个那个射频网关就可以变成智能无线开关了,2021-08-14 13:08:14,1,0
那个拉帘电机很好啊，解决了管状电机不能用在超长的卷帘上的问题，也不用像卷帘电机那样还得需要安装，至于慢的问题又不是要起飞，那么快有什么用。,2021-08-14 13:01:12,12,0
NFC的话，小米以前的波轮洗衣机就有了哦,2021-08-14 12:56:31,1,0
耶~片尾BGM回来了,2021-08-14 12:40:01,1,0
房主狂笑系列[doge][doge][doge],2021-08-14 12:33:44,1,0
最后那个带屏幕的开关，我比较好奇，请问什么时候介绍一下,2021-08-14 11:47:51,2,0
最后那个开关好棒！想要！,2021-08-14 11:14:04,1,0
回复 @柒ちゃん :不用客气，我只是把自己踩过的坑分享了,2021-08-15 02:46:17,0,0
其实可以买涂鸦的智能开关，都是小米的协议。mash和zigbee都有。单火的才几十一个，在闲鱼有3开才50一个,2021-08-15 02:25:17,0,0
回复 @讨伐科灰无常 :谢谢亲[给心心],2021-08-15 02:10:25,0,0
绿米,2021-08-14 20:36:08,0,0
回复 @呆子默D :主要在这款出来前没有风格和凌动开关或者米家绿米智能开关风格接近的无线开关，绿米的zigbee又麻烦,2021-08-14 13:56:31,0,0
[思考]自发电的定位是辅助其它两款智能开关实现双控多控的，如果只要单纯智能开关，直接买就好了，还便宜。,2021-08-14 13:29:13,0,0
这个东西挺好的，多少钱？,2021-08-16 14:42:53,0,0
回复 @一瓶雪碧 :我觉得那个东西是给百叶窗用的 只要能改变百叶窗开合角度就行 慢一点反而好控制,2021-08-14 20:56:24,0,0
回复 @雪之优雅 :它是电池版本的，如果功率做大了估计用不了几天就要充,2021-08-14 15:31:45,0,0
刚发现欧瑞博的触屏语音开关接入米家了，是它吗？,2021-08-16 06:12:16,0,0
同问，是谁家的产品？,2021-08-15 10:33:53,0,0
同问,2021-08-14 15:10:25,0,0
狗蛋什么时候安排,2021-08-14 09:43:58,41,0
B站有时间轴功能了,2021-08-14 11:19:52,8,0
回复 @修改1次消耗6个币 :时间轴贼难用，随便一点又跳到不知道哪里去了,2021-08-16 10:32:45,0,0
狗蛋什么时候安排,2021-08-14 09:43:58,41,0
B站有时间轴功能了,2021-08-14 11:19:52,8,0
回复 @修改1次消耗6个币 :时间轴贼难用，随便一点又跳到不知道哪里去了,2021-08-16 10:32:45,0,0
