评论,时间,点赞数,标签
我还是选择米家和小爱吧[笑]这是真的繁琐，手机可是随身带，直接手机控制,2022-04-02 16:44:23,1,0
"如影做的这个中控操作界面很丝滑，很流畅，操作也很方便，但是美中不足之处在1、价格不太亲民，2、有的产品适配没做好，导致操作部分智能器件操控不太方便，希望早点解决，能完美适配第三方的所有智能电器。
不过总体来说如影做的这个智能中控还是非常棒的，瑕不掩瑜，希望继续创新，继续努力，准备下次自己房子装修入手一个，加油。",2022-04-02 16:10:30,1,0
强迫症直接当场去世,2022-04-02 15:42:26,1,0
这种形态是最优秀的，但是价格不优秀。这个价格足够买一个红米八英寸屏幕音箱和好几个米家新出的无线开关,2022-04-02 15:30:38,1,0
如果我赌输了的话我可以把硬币捡回来吗[脱单doge],2022-04-02 15:29:20,1,0
我一直不太明白这种智能中控真有用吗？现在人都不是依赖手机吗？手机上直接控制不是更方便吗？为什么还要有个智能中控啊？,2022-04-02 15:11:57,7,0
语音控制不香？,2022-04-02 15:09:49,3,0
这玩意不知道有啥用，开关有传统开关，其余场景手机也能实现，这玩意有啥强使用场景嘛[囧],2022-04-02 14:57:07,1,0
这个价格太不亲民了，至少赚1000。如影应该反思一下，为什么自己一年多来某宝的销量那么低。价格不打下去永远发展不起来[doge][doge],2022-04-02 14:55:51,1,0
不是啊，大屏幕版本的话三四千的价格，弄一个ipad迷你6放在桌面旁边就够了[doge][doge],2022-04-02 14:53:28,1,0
快了快了快了，百大up主在等你。,2022-04-02 14:47:14,1,0
有人知道片尾的BGM是什么么？,2022-04-02 14:43:51,1,0
有点好奇，为啥不直接用手机或手表控制，跑到控制面板前不是很麻烦吗,2022-04-02 12:20:34,1,0
好多智能家居，并不能使生活更简单，反而会使人在设置上浪费时间,2022-04-02 12:00:28,12,0
智能中控，方便快捷不如智能音箱，细微操作又不如手机平板，还不能随时移动，属于想象上很美好，用起来鸡肋，可有可无，最适合的地方可能就是客厅茶几,2022-04-02 11:53:56,1,0
一般开关面板上有两个按键，我就会犹豫，到底哪个是哪个[doge],2022-04-02 11:51:11,1,0
小米大概率中控和音响是一体的，不太可能单独出,2022-04-02 11:40:25,1,0
旧平板加homeassistan可以做到同样的效果，只是UI不没那么好看，而且要懂点技术,2022-04-02 11:06:05,1,0
把车载中控改成板儿卖属于是。,2022-04-02 11:02:18,3,0
最近怎么了，看着感觉满脸憔悴啊[Cat_hibye],2022-04-02 10:56:24,1,0
"有的，你可以在一个常亮的屏幕中直接找到当前屋子里的设备，直接打开。
如果放在手机上，还要下拉任务栏或者打开米家，在卡片中找到设备。
要是东西少就罢了，你看陈抱一那么多设备，他米家里密密麻麻的，找个设备得找半天，倒不如一个显示器显示当前屋子可用的设备。",2022-04-17 16:44:28,2,0
看了华为的那个中控发布会，还是有很多功能手机是解决不了的，比如雷达传感器监测家里有没有人和人的位置如果摔倒了会报警，家里没人会根据设置关闭所有灯光空调啥的，还很多功能就不具体说了，最重要是信息安全，不可能把家里的所有数据都给别人吧，唯一泄露了别人知道的清清楚楚,2022-04-04 20:26:35,2,0
而且还好贵啊,2022-04-23 12:21:16,0,0
回复 @奥术迁跃 :那说明该好好学学普通话了[doge],2022-04-03 22:36:14,2,0
回复 @奥术迁跃 :我小爱同学躺床上bb两句它也能听见[笑哭],2022-04-08 10:15:42,0,0
回复 @millenniumfalcon :我普通话算标准的了，但是平时用的时候不可能时时刻刻都用标准普通话，太累了，还不如随手一伸就能碰到的开关[笑哭],2022-04-04 02:06:58,0,0
你天天设置吗？,2022-04-03 16:56:58,10,0
你手机会关机？，，每天关机开机肯定很麻烦，但我开机不关机不就一直爽吗,2022-04-02 17:57:01,1,0
例如这个就是了,2022-04-02 16:00:46,0,0
直接装个米家[doge],2022-04-02 12:45:11,0,0
但是功能和设备兼容性是完爆这个的，关键是免费,2022-04-02 11:06:28,0,0
被老头环榨干了[doge],2022-04-02 11:04:00,1,0
回复 @艾赫日诺 :纳鲁火多~[Cat_coffeebath],2022-04-02 11:05:49,0,0
"【呃呃】
1.从这期开始，视频简介描述的更加准确了。
2.上周没更，因为up沉迷老头环无法自拔。
（顺便直播了40个小时，主页里有录播。）
3.我的等级旁边多了个小闪电。
[热词系列_爷青回]（76分 鬼畜区+游戏区）",2022-04-02 12:54:37,24,0
回复 @陈抱一 :刚私信催你不到半小时就更新了啊[doge][doge][doge],2022-04-02 12:57:33,1,0
回复 @大雨mgdhujn :小米中枢网关我用了几天了，功能和其它蓝牙mash没什么区别。有区别就是蓝牙信号好了，控制变为本地的了。两句话就讲清楚的事情估计up主不会单开一期视频了。,2022-04-05 17:00:56,0,0
"【呃呃】
1.从这期开始，视频简介描述的更加准确了。
2.上周没更，因为up沉迷老头环无法自拔。
（顺便直播了40个小时，主页里有录播。）
3.我的等级旁边多了个小闪电。
[热词系列_爷青回]（76分 鬼畜区+游戏区）",2022-04-02 12:54:37,24,0
回复 @陈抱一 :刚私信催你不到半小时就更新了啊[doge][doge][doge],2022-04-02 12:57:33,1,0
回复 @大雨mgdhujn :小米中枢网关我用了几天了，功能和其它蓝牙mash没什么区别。有区别就是蓝牙信号好了，控制变为本地的了。两句话就讲清楚的事情估计up主不会单开一期视频了。,2022-04-05 17:00:56,0,0
