评论,时间,点赞数,标签
痛，太痛了兄弟们，别拦我，我刀呢,2022-10-22 09:34:13,6,0
[doge]你这是评测设备还是评测女友那？,2022-10-22 09:32:09,8,0
有摄像头的扫地机器人……岂不是一点点隐私都没有了,2022-10-22 09:31:14,3,0
iPhone视频呢[doge],2022-10-22 09:31:02,3,0
懂了，不能买扫地机器人,2022-10-22 09:30:56,10,0
[UPOWER_3530725_聪慧过人],2022-10-22 09:30:45,3,0
就想问下能帮忙喂狗吗？这样万一去方仓就不害怕了[滑稽],2022-10-22 11:32:36,5,0
作为看了陈报一视频。然后对比价格发现追觅s10最便宜。所以一个多月钱入手了s10。想象很美好，现实很骨感。测评视频并不客观，有带货的倾向。产品的不足之处根本不提。而且我的知乎上经常给我推荐扫地机器人话题，下面全是卖货的，压根看不到真是用户的回答，让我的观感很不好，也看到新出了x10，看了半天文字广告没看出来有啥新东西。在b站刷到了x10推广，好奇进来看看，升级和之前s10的不足有关，但用处不是很大。1.基站没法自清洁，基站很脏。所以x10多了个刷刷清理然后吸水的功能。2.上地毯抬拖布就是笑话。当你的地毯不大，扫地机器人在边缘的时候，他就识别不出来。拖布会降下来把地毯打湿，这也是为什么x10要把拖布放回去。3.清洁效果没有想象中好，吹那么多功能，不如把清洁效果提升。当然这也可能是扫地机器人的瓶颈，可能压根就拖不干净。,2022-10-24 15:13:56,22,0
风格变了？[问号],2022-10-22 10:09:09,5,0
这东西稍微改改就是个彩六的侦查机器人,2022-10-31 10:27:25,2,0
兄弟好好做视频，做出成绩啥都有。跑偏了啥都没有了,2022-10-28 09:29:44,8,0
相信买了追觅S10的我，这个扫地机器人，相当于谁买谁扫地，你买了，只有你会清洗，最后扫地的事情等于你包了[tv_笑哭][tv_笑哭][tv_笑哭][tv_笑哭],2022-10-26 16:42:45,2,0
个人感觉语音功能与现在的智能真的很割裂，如果语音只能识别基础命令不能分析复杂语义，那我动动手指不是更快更准确吗？是什么让设计者觉得要让客户说一句不仅要思考语序还要控制音量音调以防智能听不到听不懂的话比动动手指方便？我觉得如果语音算法没达到一瞬间识别“欸！那谁，帮我，帮我搞一下。。那个那个客厅那个地面，刚刚倒了水，搞快！”的地步，都不应该拿出来用的，屁用没有。,2022-10-25 07:43:09,4,0
催一下擦窗机器人[doge],2022-10-24 07:25:51,2,0
有人孤独，有人被爱，有人像路边的狗被踹了又踹,2022-10-23 11:34:20,2,0
赚了追觅的钱 就不要再投两枚硬币了吧。,2022-10-23 08:42:16,2,0
"扫地机器人×
查岗机器人✓",2022-10-23 06:36:03,2,0
你期期这样刺激哥们，哥们是真受不了,2022-10-22 17:55:53,2,0
你期期这样刺激哥们，哥们是真受不了,2022-10-22 15:46:48,2,0
追觅做的推广还真是多呀,2022-10-22 15:31:51,2,0
我的扫地机女友[doge][doge][吃瓜],2022-10-22 09:39:07,0,0
确实，手机泄露隐私和家里面还是有区别的，不穿衣服之类的,2022-10-22 10:33:37,1,0
不知道是通过本地网络还是要过服务器的,2022-10-22 11:00:33,0,0
回复 @成华区区霸 :全新的机子，现在就有,2023-01-08 08:37:52,0,0
回复 @沙鸥尼泊尔 :应该是瑕疵机吧？,2023-01-08 05:49:32,0,0
爽啊，现在拼多多有活动，X10pro到手3500。,2023-01-08 05:47:56,0,0
非常同意,2022-11-08 15:13:00,0,0
"现在的语音功能只是一个更方便的远程开关。站在程序开发的角度，我认为很好用，不加废话的喊出开哪里的灯，拖哪里的地就好了

至于你说的那些，那需要机器独立思考得出结果，百年内别想了
而且人与人交流都经常会有歧义，更何况与机器。",2022-10-26 17:17:18,2,0
我作证！真的hin好玩！！！[UPOWER_3530725_娇嗔满面],2022-10-22 09:36:09,145,0
回复 @困西西zZ :果然，爆衣的女朋友还得会连入智能家居，会定时清扫，看来我们输在这[doge][doge],2022-10-22 09:52:14,101,0
回复 @困西西zZ :以后你来查抱一岗吧？[脱单doge],2022-10-22 09:52:33,16,0
我作证！真的hin好玩！！！[UPOWER_3530725_娇嗔满面],2022-10-22 09:36:09,145,0
回复 @困西西zZ :果然，爆衣的女朋友还得会连入智能家居，会定时清扫，看来我们输在这[doge][doge],2022-10-22 09:52:14,101,0
回复 @困西西zZ :以后你来查抱一岗吧？[脱单doge],2022-10-22 09:52:33,16,0
