评论,时间,点赞数,标签
告诉你们，想买又不知道买哪个，很简单，京东自营都是七天无理由退货。我g10 w10pro x1都试用了，目前在试用晓舞。至于哪个好用自己买上试试就好。[吃瓜],2022-05-26 09:25:04,2,0
拿别的品牌一两千价位的机器和你四千多的比，请问有可比性吗,2022-05-25 12:24:26,2,0
把酱油抹匀一项就pass了、石头g10s了解一下,2022-05-25 06:05:18,2,0
请个家政，一周做一次清洁，一百到两百不等，一年的钱，不够一个扫地机……[无语][无语][无语],2022-05-25 05:49:46,2,0
省流：测评不够全面，充值成功,2022-05-25 05:01:21,2,0
追觅yyds！,2022-05-24 17:55:45,1,0
老实说，扫地机器人买了以后会后悔的，因为十几块钱的扫把和拖把一样能做到[doge],2022-05-24 12:51:49,1,0
不管多好的扫地机，用一阵子就放家里吃灰，还占地方[辣眼睛],2022-05-23 11:44:28,1,0
米家全能增强版,2022-05-21 16:40:40,1,0
溢价太严重,2022-05-21 15:56:06,3,0
來台灣肯定價格翻倍,2022-05-21 14:03:45,2,0
缠头发不?,2022-05-21 09:50:53,1,0
扫把怎么不好了，用了扫地机器人，只会让人更加懒惰,2022-05-21 09:17:53,1,0
追觅挺好的，就是比石头高一厘米我沙发进不去，但是这周我沙发坏了，我换了个新的，然后我就后悔买石头了。石头声音挺大的，刚开始不觉得很快就变得贼响,2022-05-21 09:15:50,2,0
6+1=7!同调召唤!流星登龙!,2022-05-21 08:57:35,1,0
给这个行业半年时间，应该差不多各牌子都会配齐了,2022-05-21 05:21:50,2,0
出的太晚去年买了科沃斯x1,2022-05-21 03:21:57,1,0
石头算法更好，追觅摄像头烘干标配石头是真抠,2022-05-20 23:50:21,3,0
电子产品，最好等个几年，价格断崖式下跌。[doge],2022-05-20 11:53:39,1,0
@贴心小安德,2022-05-20 09:25:55,1,0
白嫖党都是等结果的[吃瓜]试完给个安利,2022-05-28 14:57:11,0,0
机器试用过了也能无理由退货吗？,2022-06-13 17:02:14,0,0
回复 @BB27676 :可以啊，七天无理由，正常试用造成的划痕污渍都不影响，记得第一个试用的石头，退货时候还清理的干干净净才退，昨天刚退的晓舞，实在清理困难，机器里面都清理不到，直接退了。具体你问各种狗东自营店客服,2022-06-14 12:47:53,1,0
广州，四十方，阿姨两个小时80,2022-10-25 14:26:34,0,0
做不到的 扫把会有灰尘 没有这个干净,2022-05-31 08:49:37,0,0
我家里每个礼拜有保洁来打扫卫生但我还是买了一个，每两天让他扫拖一遍，家里明显干净多了,2022-06-04 15:00:29,1,0
回复 @芒果抹茶糯米酱 :我也是家里有保洁每周一次。疫情第一年买的扫地机器人，现在纠结买哪个牌子的拖地[喜极而泣],2022-06-13 17:03:47,0,0
我现在使用的扫地机，充电桩放到沙发下面，一点都不占地方。,2022-05-29 15:23:48,0,0
我们觉得还是太贵，3999差不多了,2022-05-26 05:36:25,0,0
懒惰可太快乐了[妙啊],2022-05-21 10:01:21,0,0
走路怎么不好，出门为什么要开车，只会让人更加懒惰,2022-05-22 11:57:26,3,0
石头的算法碾压追觅,2022-05-23 17:09:08,1,0
回复 @皮皮别顽皮 :就我家来说看不出来有多好，我看着它去吸我家猫尾巴，我开了宠物模式。感觉算法啥的很虚，追觅也挺干净的还带烘干，我当时就因为进不了沙发给试了三天退了。其实后悔的,2022-06-07 17:50:03,0,0
你看g10跌的多吗[吃瓜],2022-05-25 03:30:01,2,0
老子w10几个月叠一千多,2022-05-25 09:37:50,1,0
也不一定吧。比如手机，前些年3000内能买个国产大牌最新款的，现在3000内只能买上一代了。,2022-05-28 09:28:32,0,0
OK,2022-05-20 12:56:06,0,0
双十一预定开始了~大促立减优惠直达,2022-10-25 12:23:21,1,0
双十一预定开始了~大促立减优惠直达,2022-10-25 12:23:21,1,0
