评论,时间,点赞数,标签
"小爱同学 讲个笑话
小爱: 小米11",2021-09-07 06:08:27,9,0
啊，不是，一个设备，发布了，开卖了，才开始弄软件，才开始弄适配，这正常吗？ 想当年我手机都快用报废了还没用上发售时承诺的指纹支付之类的功能，说实话，别对小米太宽松了，这点他就是拉夸了。没得洗。,2021-09-06 14:12:24,2,0
小米首款看成了小米道歉，还以为又是哪个标题党虚假宣传。。。,2021-09-06 02:06:48,2,0
"新品预告时我还很激动
因为目前几款小爱音箱都很低端
看发布会时，有点无语。。
这绝对称不上高端小爱[微笑]
以后四足机器人搭载的小爱得叫啥名字了
继续等待吧[微笑]
入手了mix4
前置摄像没那么清晰
没有防水功能
其他还是很香的，就用的很顺手。
另外充电速度达不到描述说的那么快
还有手机长了这点，让我戒掉带手机进厕所的习惯了",2021-09-05 08:52:01,9,0
这让我更担心小米汽车了[无语],2021-09-04 10:58:11,11,0
很好的打消了我的购买欲，小米出的什么垃圾？设计这么好，结果只有mix4能支持，再怎么说11u也是顶级旗舰啊,2021-09-04 09:47:38,2,0
总结：除了颜值 啥也不是,2021-09-04 09:46:07,16,0
买了一个，总结:假高端，还有一点，在待机或者听歌状态下，把手机靠近音箱，音箱就会突然冒出一句“已进入配置模式”，我是已经连了米家的，还是突然说话，反正人很晕，想买的做个参考吧,2021-09-04 10:01:00,8,0
最近支持了airplay，下个视频能顺带说下体验如何嘛？,2021-11-12 12:55:02,1,0
什么时候做个家用摄像头的测评,2021-09-11 03:35:47,1,0
抬走,2021-09-07 19:18:03,1,0
封面看成活塞了[笑哭],2021-09-06 15:21:29,1,0
买了11ultra已经不想用小米了。硬件顶级，体验腊鸡,2021-09-06 14:51:36,1,0
打算测小米平板5pro嘛[星星眼],2021-09-06 07:22:39,1,0
反正我家小爱总断网,2021-09-06 02:31:11,1,0
请问投影仪啥型号？,2021-09-06 02:20:25,1,0
小米自诩的所有“高端产品”都不值得买。没错是所有。 中低端的产品体验还不错。,2021-09-05 17:47:18,1,0
开箱的感觉就很不好，无爱。,2021-09-05 17:28:19,1,0
既然你们不承认我是高端，那我自己在名称里面加一个吧[doge],2021-09-05 14:29:34,6,0
"众所周知，小米的产品得二代才能买，如果二代都不行，那就真的不行了。如果二代都没有，那就说明那是失败品。而且二代也不能马上买，也是要看基本的体验报告。真爱粉无所谓。
结论就是，买小米的产品不但要横向对比，还要纵向。所以才有的买小米买双不买单。",2021-09-05 21:35:11,1,0
回复 @愿世界和平哈 :什么公司都一样的，特斯拉还把刹车失灵说的冠冕堂皇呢。,2021-11-14 04:34:50,0,0
回复 @给我一根竹子 :小米这是拿用户当小白鼠吗？,2021-11-13 12:42:37,0,0
回复 @改名了所以中奖 :小罐茶 Max[doge],2021-09-06 01:29:07,2,0
我第一眼看过去就觉得跟大号保温杯盖一样[笑哭],2021-09-05 02:05:24,1,0
回复 @哦吼吼嘿嘿哈嘿 :连笔记本应该问题不大吧(づ ●─● )づ,2021-09-19 09:30:12,0,0
我也买了一个，专门给电脑配的，打游戏贼爽，平时听歌都是让它随机播放的，估计是需求少，目前没发现啥大毛病,2021-09-05 01:40:06,0,0
充电宝肯定除外，小米的充电宝全系都没啥毛病，买了好多次了,2021-09-19 01:15:31,0,0
精辟[嗑瓜子],2021-10-02 12:46:51,0,0
雷军：这tm是来砸场子的[doge],2021-09-04 10:12:54,14,0
回复 @云间见鲲 :感觉音箱……也不太行,2021-09-04 10:09:19,5,0
回复 @一颗种花家的橙子 :冷嘲热讽，不可理喻[doge][doge][doge][doge],2021-09-05 00:33:43,4,0
雷军：这tm是来砸场子的[doge],2021-09-04 10:12:54,14,0
回复 @云间见鲲 :感觉音箱……也不太行,2021-09-04 10:09:19,5,0
回复 @一颗种花家的橙子 :冷嘲热讽，不可理喻[doge][doge][doge][doge],2021-09-05 00:33:43,4,0
