评论,时间,点赞数,标签
up🐷  想知道罗马杆窗帘智能控制怎么弄的？,2022-03-04 11:59:59,3,0
U1S1，我是做投影机行业的，我对那个铝板也感兴趣。牛逼了抱一，怎么想到的？,2022-03-04 11:19:09,3,0
这小子啥时候百大啊,2022-03-04 09:56:27,15,0
请问，坚果J10S 和你之前的极米H3S哪个好点，求评测。已投2个硬币[抱拳],2022-03-04 14:49:24,13,0
我希望正在读这句话的人永远开心，至少，今晚做个好梦，一切不开心的事一定会好起来的。啊对，就说你呢，看手机那个，今晚一定能做个好梦,2022-03-04 17:10:19,7,0
整理好了，你可以从我的家出去了[脱单doge][脱单doge],2022-03-04 09:44:32,10,0
投影仪的架在哪买的啊,2022-04-13 15:44:28,2,0
感觉应该叫互联家居，智能感觉体现的不是很多，智能家居应该可以减少用户的开关控制达到自动控制，比如回家开门检测后自动完成灯光和窗帘控制，或者看电影打开某个app自动切换到氛围灯模式，减少切换的操作，还是需要传感器来实现更好更便捷的控制。,2022-03-10 07:59:05,2,0
我居然看中了里面的电视柜,2022-03-06 12:44:33,2,0
@JMGO坚果投影 出来做生意喇，给点优惠啥的[吃瓜][doge],2022-03-05 00:51:57,2,0
之前厂商伪概念，提出的智能家居。只是通过别的方式控制开关。家电没有探知能力，不能有判断逻辑，怎么智能。,2022-03-04 17:10:38,13,0
看来下次百大有望了！！！[doge],2022-03-04 14:38:56,2,0
我想要桌子，有链接吗蟹蟹啦,2022-03-04 14:03:50,8,0
求投屏铝板链接！！打算也换个这种的了,2022-03-04 12:29:20,2,0
有个问题，up主用塞尔达音乐涉及版权问题吗？,2022-03-04 11:11:54,2,0
给up提个建议，中间介绍投影仪那部分音乐节奏什么都很棒 但是音质太差了。炸👂🏻[妙啊],2022-03-04 11:06:48,10,0
求投影幕布支架链接[脱单doge],2022-03-04 10:29:43,10,0
亮度很重要，但绝对不是全部。色彩感觉也很重要啊，徕卡加持估计很牛,2022-03-04 10:22:15,2,0
@老师好我叫何同学  来学习学习什么叫浪漫，什么叫智能！,2022-03-04 10:20:50,21,0
老公我来啦,2022-03-04 10:12:04,2,0
他上集讲过，没发售的产品,2022-03-04 13:06:40,1,0
@陈抱一,2022-03-04 12:27:10,1,0
买个电动杆就行，窗帘两边有一边要提前做好插座,2022-03-07 14:04:58,0,0
回复 @衔枚疾走 :厉害了 老板,2022-03-14 04:08:24,1,0
店铺名：酷领科技,2022-03-04 17:30:47,1,0
然后再颁奖典礼上面，看到现场一点都不智能，然后给把灯光全换了[妙啊],2022-03-04 10:50:22,5,0
回复 @annruos :耗时一个月，结果主办方都走了[doge],2022-03-04 11:40:08,1,0
回复 @annruos :哈哈哈哈哈,2022-03-05 06:40:46,0,0
都是0.47dmd，不过坚果看视频里有hdmi2.1，极米h3s是两个hdmi2.0，如果要接ps5之类的主机，选坚果,2022-03-04 15:01:00,3,0
回复 @邦邦的吃饭观察记 :补充下，不知道使用场景，客厅上抗光布，卧室的话，可以直接换个遮光性强的窗帘，性价比更高，不过都要搭配一个幕布,2022-03-04 16:13:06,1,0
回复 @大光头Saitama :坚果JS10S比极米H3S多了200流明，但对于色准观感和音响对比还没有了解，希望有个对比评测。,2022-03-05 06:48:07,0,0
饭是一口一口吃的 没有之前的铺贴如何延展呢,2022-03-04 20:54:07,6,0
同求铝板链接,2022-03-05 10:49:51,0,0
回复 @晓羽君9420 :我也想要链接，谢谢[打call],2022-03-21 10:52:14,1,0
回复 @dsjsjsj :#小程序://京东购物/商品详情/9bi6RcaTruandoD,2022-04-02 18:25:58,0,0
求个卓子链接,2022-04-01 16:47:21,0,0
店铺名：酷领科技[打call][打call][打call],2022-03-04 17:30:33,1,0
买的版权，之前视频提到过,2022-03-05 04:43:34,1,0
对，当初准备买坚果，看了极米的哈曼卡顿24期免息，果断入手[妙啊],2022-05-05 15:45:27,0,0
品牌方赞助的，up肯定要费尽心思设计场景去展示，没办法。论客观性能，这个投影仪比不上同价位的当贝，更不如同价位的极米,2022-03-18 03:52:10,0,0
回复 @IUaena逸尘 :极米是哈曼卡顿的音响,2022-03-05 13:24:01,0,0
"【淘宝】https://m.tb.cn/h.foYSrZA?tk=sQvv2flpqdp「陈抱一同款S1画卷光学屏蜂窝铝背板配件打孔壁挂上墙投影仪100寸」
点击链接直接打开",2022-03-06 02:30:32,2,0
回复 @EternalNight- : 打不开了？,2022-09-13 15:46:40,0,0
回复 @EternalNight- :我的超人,2022-03-22 18:16:52,0,0
回复 @神の嘆く :真的能学到啥吗[笑哭],2022-03-04 14:28:01,2,0
回复 @鸡汤品鉴大师 :就是那个开灯的视频，虽然可以学到东西，但确实很蛋疼,2022-03-04 11:09:50,2,0
狂！,2022-03-04 10:35:57,1,0
手机掉了，说明要买se3??[doge],2022-03-04 10:08:05,23,0
麻烦问下，那个投影现在用的铝板，有链接或者推荐么。,2022-03-04 10:28:40,16,0
回复 @执笔訴情 :同问,2022-03-04 10:56:39,4,0
手机掉了，说明要买se3??[doge],2022-03-04 10:08:05,23,0
麻烦问下，那个投影现在用的铝板，有链接或者推荐么。,2022-03-04 10:28:40,16,0
回复 @执笔訴情 :同问,2022-03-04 10:56:39,4,0
