评论,时间,点赞数,标签
救命这个vr是我看抱一视频以来第二个心动的东西！第一个是前几期那个带镜子的投影仪 [保卫萝卜_哭哭][保卫萝卜_哭哭],2022-09-29 12:13:25,2,0
3d？厕所？我将以高达形态出击，我就是vr哥精神传人（大声）,2022-09-29 11:57:15,1,0
戴眼镜的VR劝退[doge][doge],2022-09-29 11:29:25,1,0
卫衣反穿是一种流行吗[藏狐],2022-09-29 11:26:12,1,0
为什么没有帅气的腹肌帅哥或者是帅气小奶狗对着我摇尾巴呢，这太不公平了，赶紧给我安排上。,2022-09-29 11:10:04,1,0
在？麻烦把最后打印的文件发一下，谢谢[doge],2022-09-29 10:56:52,1,0
挺有趣的，节奏把握的很好,2022-09-29 10:43:15,2,0
那个vr眼镜真的好有意思,2022-09-29 10:37:13,3,0
[UPOWER_3530725_聪慧过人]窗帘电机好像挺好看的样子,2022-09-29 10:33:06,1,0
"听说抱一脱单了
[大哭][大哭][大哭]我的抱一老公",2022-09-29 10:32:39,1,0
PICO4没联系你 有点意外  现在铺天盖地的广告,2022-09-29 10:23:45,7,0
那个VR，看电影应该不错，但是玩游戏的话，分辨率必然不达标，哪怕是如今最高端的VR，分辨率还是不行，分辨率直接关系到能否身临其境。。。,2022-09-29 10:19:18,1,0
不懂就问，高度近视的话带这个影响吗,2022-09-29 10:09:24,1,0
抱一连帽卫衣也可以反串吗,2022-09-29 09:57:54,2,0
看到那个VR电影院 突然想到可不可以在里面设置 左边一个不知火舞 右边一个蒂法陪我看呢[妙啊],2022-09-29 09:55:22,1,0
打印机的内包装很人性化啊,2022-09-29 09:50:54,2,0
如果我找一台性能强悍的机器，直接高画质投原神，是不是就可以提前体验hoyoverse了[doge],2022-09-29 09:50:44,2,0
[UPOWER_3530725_娇嗔满面][UPOWER_3530725_娇嗔满面][UPOWER_3530725_娇嗔满面] 今天投币 算份子钱兄弟们,2022-09-29 09:47:51,4,0
我是来恭喜抱一脱单的！[doge],2022-09-29 09:43:39,3,0
我有个朋友问能不能放本地的片[脱单doge],2022-09-29 09:43:12,6,0
可以闲鱼配磁吸镜片，几十块的事[doge],2022-10-01 08:23:28,0,0
我觉得应该是联系过抱一了！但是抱一比较有个性😃喜欢玩点不一样的,2022-09-29 10:29:09,1,0
一样，全部短视频软件，或者社交软件，反正有广告的全部都有PICO4的广告，明明我完全没搜索过vr之类的,2022-09-29 16:04:45,0,0
回复 @穷精致的薛 : 还真不知道，我自己习惯是戴眼镜的，没啥影响,2022-09-29 10:27:26,1,0
我自己是带着眼镜用的感觉没啥问题，留出了戴眼镜的空间,2022-09-29 10:13:04,1,0
pico 还有这个我不清楚 oculus quest戴眼镜会有点挤，不过网上有卖3d打印的磁吸眼镜支架的，买来自己去眼镜店配个镜片，可以磁吸在机子里，不用戴眼镜就可以直接用了。,2022-09-30 09:10:03,0,0
回复 @TomVVei :本人认证,2022-09-30 00:58:59,0,0
是真的灿哥吗[UPOWER_3530725_大惑不解],2022-09-29 15:26:08,0,0
回复 @强而有力拿拿酱 : 朋友想问一下有没有那种vr的[脱单doge],2022-09-30 08:26:19,1,0
回复 @口腔外科-老何 :我朋友让我问问你朋友能不能让你朋友分享给我的朋友[doge],2022-10-04 14:31:55,0,0
回复 @强而有力拿拿酱 :这个就麻烦了，4K片源免费的太少。付费怕是一个片子就要几百块。,2022-10-03 13:26:21,0,0
谈了恋爱高兴了是吧[大笑],2022-09-29 09:47:00,24,0
如果手柄换手套就好了[星星眼],2022-09-29 10:36:30,7,0
回复 @有老婆的肥宅 : 小手环或者类似手指键盘那样也可以，手汗大的福音，夏天又不会热到手掌[doge],2022-10-03 14:34:03,0,0
谈了恋爱高兴了是吧[大笑],2022-09-29 09:47:00,24,0
如果手柄换手套就好了[星星眼],2022-09-29 10:36:30,7,0
回复 @有老婆的肥宅 : 小手环或者类似手指键盘那样也可以，手汗大的福音，夏天又不会热到手掌[doge],2022-10-03 14:34:03,0,0
