评论,时间,点赞数,标签
换个角度来说，8寸音响可以作为简单家用娱乐pad+智能家居控制中枢，一人居的话，想想还是挺香的,2022-01-08 03:05:16,3,0
妙享不是内测中？ up可以去找小米要个内测试试,2022-01-08 02:24:22,3,0
"猜一猜爆衣什么时候可以用上数字人民币[嗑瓜子]
我觉得要到四五月份",2022-01-08 02:20:02,13,0
米家插件的问题，大概率就是安卓适配问题。苹果一共也就十款机器活着。还都是旗舰。而用米家APP的小米内部得包含红米。小米外部还要适配各种牛鬼蛇神，比如2021年2000块的骁龙4系5G手机[doge],2022-01-08 04:00:37,12,0
但是小爱同学声控是可以统一一起调灯的亮度的[呲牙] 小爱同学~~亮度调到百分之70%,2022-01-23 16:59:35,2,0
直接用iPad安装米家app不就解决了？[微笑][微笑][微笑],2022-01-08 17:05:06,2,0
感觉自动化2.0并没有改变太大，只是换了个样式，把以前条件拆开了，变成两个，但实际上逻辑还是一。，觉得最好还是要有if else，像苹果的快捷一样，如果条件满足就做什么，没满足就做什么，而且条件还可以添加当前开关是否打开的状态，而不是只判断单击做什么，希望以后方向多往智能化，而不是广告化[吃瓜],2022-01-08 13:36:02,7,0
"我一开始买触屏音箱就是想要现在的这个效果,只能说之前的触屏音箱太拉胯了",2022-01-08 13:10:01,9,0
[藏狐]为啥我的小米触屏音箱8没找到米家全屋控制中心在哪啊,2022-01-08 09:12:52,2,0
小米的智能家居设备即使不用小米手机也能有很好的使用体验 这点是最重要的 一个米家APP统统搞定,2022-01-08 09:08:55,2,0
花里胡哨，我们爵士保时为都是请保姆来关灯，拉窗帘,2022-01-08 06:06:40,45,0
好新鲜[脸红]但愿我10年后能用上,2022-01-08 03:00:49,2,0
这个场景支持一次性显示更多个就好了,2022-01-08 02:01:08,7,0
小华为了考试早晨买了一杯小米粥喝，让黄飞鸿蒙题目中有几个苹果，麒麟刷牙选中华为的就是干净，速度快，每次只挤5g就够用,2022-01-08 16:31:03,39,0
开玩笑的说苹果才是最适合小米家具生态链,2022-01-23 04:51:53,1,0
点出家会自动为我剃度吗[跪了],2022-01-22 09:51:36,1,0
这些家具是去哪搞啊 小米商城？,2022-01-14 13:57:46,1,0
看了视频去买了redmi8 PRO音响，收到发现不能更新到最新的系统，用不了米家7.0。。。。。太尴尬了。。。只能等更新,2022-01-14 13:05:41,1,0
"你们说什么不要做手机了，这么大的公司啦，手机团队跟这些又不是一个团队。
这边做的好，那边做的不好，都是各自的造化，又不可能说这一边故意让另一边做的不好的。家居这边团队给力，手机那边不给力的是手机多死，该骂照样骂，这有什么矛盾？",2022-01-13 01:01:00,1,0
看上你家窗帘了[虎年],2022-01-12 09:24:30,1,0
现在的智能家居就是非常适合独居，家庭使用不是特别适合，习惯上会冲突,2022-01-08 03:49:41,0,0
回复 @氪氪星人 :内部推送[doge],2022-01-08 09:23:03,0,0
妙享的内测第一批申请已经结束了,2022-01-08 03:58:43,0,0
小米:我直接按到我自家低端机的方法来做，骁龙四系六系卡成PPT，就不关我的事儿啦[doge],2022-01-08 08:20:59,1,0
改变还是多的，以前要写好几条才能实现的现在一条就可以；绿米的开关状态是可以用作条件的,2022-01-10 01:43:16,0,0
回复 @月离索 :不知哦，买回来之后觉得跟全屋智能中枢差太远就一直放在客厅给儿子玩,2022-01-10 02:30:56,0,0
现在可以更新了？,2022-01-09 19:47:00,0,0
回复 @耶奇奇 :[藏狐]今天看他自己更新了。。要不你冲他喊一句打开米家？,2022-01-14 12:43:49,0,0
同问,2022-01-08 11:02:25,0,0
回复 @深蓝南希 :系统升了，APP没找到在哪升级,2022-01-08 09:38:12,0,0
花里胡哨，我都是叫你去关灯的,2022-01-08 14:28:04,3,0
花里胡哨，我们吃瓜群众都是命令你去关灯，拉窗户,2022-01-25 08:46:54,1,0
真是为了黑而黑，好好了解在说,2022-01-08 11:03:33,1,0
现在的迭代速度，十年后这玩意仍路边捡回去都嫌占地方,2022-03-12 03:15:44,0,0
钓的是鱼，没的是-,2022-01-09 13:35:45,5,0
回复 @LittleCreeper :红米手机，中！！！！🙈🙈🙈,2022-01-24 13:46:54,0,0
回复 @波罗的鱼 :华为万物互联yyds,2022-01-24 13:32:54,0,0
去哪都能搞，只要标明接入米家就行,2022-03-12 03:16:23,0,0
回复 @不爱喝酸奶 :但不是特别推荐你购买，有一说一，触屏有点卡。。。是可用的状态，就是稍微有一点点卡用起来不是太舒服,2022-03-15 11:10:34,0,0
回复 @不爱喝酸奶 :可以了，过年前推送的,2022-03-15 11:08:59,0,0
现在可以更新了么,2022-03-12 13:49:27,0,0
[傲娇][傲娇]你又胖了,2022-01-08 02:09:55,12,0
有机会评测一下踢脚线电暖器[微笑],2022-01-08 17:08:46,3,0
能请教下，我的这个音箱怎么米家7.0没更新呢,2022-01-09 09:57:10,2,0
[傲娇][傲娇]你又胖了,2022-01-08 02:09:55,12,0
有机会评测一下踢脚线电暖器[微笑],2022-01-08 17:08:46,3,0
能请教下，我的这个音箱怎么米家7.0没更新呢,2022-01-09 09:57:10,2,0
