评论,时间,点赞数,标签
下一个何同学,2022-10-28 01:19:46,0,0
你用门窗传感器实现开门亮灯，那你出门的时候是不是灯也亮了？？？？这个怎么处理？,2023-03-03 15:48:48,0,0
文案开头太假,2023-01-09 16:19:40,0,0
可是我不喜欢小米的空调 买别的牌子 怎么办,2022-10-14 01:44:07,0,0
学校宿舍里面没有路由器，可以用旧手机充当路由器吗,2022-10-13 09:41:36,0,0
小爱音箱能控制华为的生态电器吗,2022-10-16 15:23:00,0,0
灯光那期视频我讲啦,2023-03-03 15:57:26,0,0
门窗+人体感应配合，设置逻辑人体监测有人，然后开门就是出门，人体检测无人，开门就是回家。,2023-03-24 23:59:01,0,0
回复 @LankyBin :对，是的，米家空调应该是可以直接连接路由器联网的，所以不需要另外的红外线控制，这个具体可以去空调产品页看一下，应该是可以的,2022-10-21 05:53:15,0,0
回复 @我是_霁云 :大多数第三方空调用小爱控制的话只能开关和调节温度，比如风速 风向都控制不了，不知道米家的空调可不可以？,2022-10-21 05:11:24,0,0
一般情况下，在同一个房间都是可以的，除非房间贼大，大的夸张那种，一般情况下都是可以控制到的,2022-10-14 15:22:18,0,0
回复 @我是_霁云 :好的，谢谢,2022-10-17 06:49:00,0,0
如果是作为热点倒可以，但是当作路由器不行，因为手机没有网线接口,2022-10-13 10:02:49,0,0
不能的,2022-10-17 00:05:13,1,0
回复 @千囚-栀愿 :https://b23.tv/BV1ye411K7SR 看这个,2022-10-17 09:49:19,0,0
回复 @八欻小可爱 :那是什么没听说过？,2022-10-17 05:37:42,0,0
