评论,时间,点赞数,标签
"up问一下，hkcmg27q和lggp83b入哪个合适啊
没有fps需求，玩3a游戏多点  或者别的什么推荐",2023-02-10 08:51:30,2,0
3080 10g配什么分辨率显示器最好？,2023-02-10 08:51:12,2,0
aoc的aoc的u28g2u怎么样？ 和小米4k，aoc的u27n3c比有什么优势吗？,2023-02-10 08:16:20,2,0
微星那个mag274qrfqd咋样,2023-02-10 07:58:40,2,0
ktc 32s12，2k170怎麽樣,2023-02-10 07:39:39,2,0
你这个推荐，我预算1k1想买打游戏的2k，巴拉巴拉半天，27寸价位的2k直接1k3起步🤔只能说是浪费20来分钟反复查看😶,2023-02-10 05:29:17,2,0
32寸，平面，4k，hdr1000，240hz。目前没有这种东西[笑哭]啥时候会有呢,2023-02-10 03:53:47,2,0
KTC H27T22怎么样[脱单doge],2023-02-09 15:19:25,2,0
想问下泰坦军团的24寸165hz电竞显示屏和视频里的KTC 24英寸 FHD 165Hz FastIPS电竞屏相比哪个更好一点，主要用来玩游戏的话，apex,2023-02-10 11:37:17,5,0
"999入了个科睿27寸2k155hz,香得很",2023-02-09 11:48:38,5,0
请问3070的显卡买32英寸的是应该买2k够用还是要上4k啊,2023-02-11 18:28:34,3,0
27寸2k分辨率144赫兹2000以下价位的屏幕买哪个比较好,2023-02-09 12:31:50,3,0
办公和打lol推荐什么显示器哈,2023-02-09 11:47:40,3,0
有电竞和办公兼具的吗,2023-02-10 14:23:01,6,0
华硕的小金刚咋样,2023-02-09 15:08:09,4,0
LG32UQ85R作为图像后期用显示器怎么样？性价比是不是有点低了？,2023-02-09 12:14:52,4,0
Redmi 23.8 pro 怎么样，办公用？,2023-02-11 12:28:18,5,0
2k240hz有推荐的吗，我主要打apex，3000以内就行,2023-02-17 09:28:15,4,0
可以问一下屏幕右边这条线有什么解决的方法啊，战绩栏放视频都会间隔显示,2023-02-12 12:39:30,4,0
您好，能够测试一下钛度的两款miniled的2k高刷显示器嘛,2023-02-11 19:06:54,4,0
2k75,2023-02-13 00:28:33,1,0
1080p畅玩光追，还可以开启超虚拟分辨率,2023-02-13 00:28:57,1,0
[doge]我是3080 直接4k 不开光追 基本都能全特效 打游戏还是很爽的,2023-02-17 13:36:54,0,0
回复 @愉悦のMaste : 看你干啥了，如果你就看电影啥的不打游戏4k完全够的，主玩游戏的话4k帧率就很难受了。还是看你接受度的问题了，选择画质还是帧率,2023-02-16 05:48:57,0,0
2k75,2023-02-13 00:18:37,0,0
回复 @MinamiC3 :我也准备入优派了，看了一圈觉得优派性价比还行🤔感谢推荐捏,2023-02-11 09:01:08,0,0
优派有，我推荐朋友买了，1k1左右,2023-02-10 06:37:19,0,0
回复 @乔瑟夫乔斯达丨 : 黑武士哪来的1299 我京东上看要1699[脱单doge],2023-02-16 14:46:35,1,0
回复 @YOLE_MY :我感觉挺正常的，无坏点屏幕6500偏黄但显卡驱动可以调，支架模具挺扎实手感挺不错的,2023-02-16 15:03:18,0,0
回复 @乔瑟夫乔斯达丨 : 听说雷神的显示屏品控不太好，你怎么样！,2023-02-16 14:56:25,0,0
建议买KTC的，是新款，而且模具也比泰坦的好些,2023-02-10 11:57:49,2,0
回复 @搞机所 :好的，感谢,2023-02-10 13:04:15,1,0
能问下这两款是什么型号么？,2023-02-26 04:04:52,0,0
