评论,时间,点赞数,标签
现在京东上出了一款100Hz的办公显示器，品牌好像说是创维酷开的；还赠一个摄像头，只要399！！兄弟们，要上车吗？？有没有体验过的大佬！网上评论说性价比都还可以！纠结啊~虽然说这个价格真的很香,2022-12-09 01:45:13,7,0
"老哥们
推个27寸4k 144 oled hdmi2.1 显示器吗",2022-12-05 15:09:15,2,0
测评不是念数据，你们测了个啥,2022-12-05 18:13:38,5,0
"小白第一次装机子
主板:华硕B660M WIFI
CPU:i5 12600KF  板u一起淘宝2899
显卡:七彩虹3060t火神  pdd上面用卷3400
内存:朗科绝影 D4 3600 8G*2  京东579
固态:铠侠rc20 2t  京东899 
散热:VA C360 L  京东669
电源:长城G7 750W 京东669
机箱:追风者P500A 淘宝549
显示器：雷神黑武士2k  京东1499
这是现在的价格，想看看双12能不能降低，大佬们看看配的合不合理，有没有其他好点合适的配置，啥不兼容的，显示器有没有推荐的2k屏，感谢感谢🙏。",2022-12-06 02:24:07,4,0
"各位大佬，帮忙看下这套怎么样[脱单doge][脱单doge][脱单doge]
主板:华硕 B550M-PLUS WIFI 重炮手  799
CPU:AMD 5700X 8核16线程 3.4GHz  1349
显卡:华硕 DUAL-RX6750XT-O12G 3949
内存:光威 32GB(16Gx2)套装 DDR4   629
硬盘:致态 TiPlus5000固态硬盘 2TB   1099 
散热:利民 PA120 6热管双塔   199
风扇:利民TL-C12pro 12cm风扇   129
电源:华硕 ASUS TUF750W突击手   649
显屏:雷神 黑武士 27英寸2K 170Hz 10Bit 1599
机箱:先马 朱雀air 台式电脑主机箱   159",2022-12-06 00:18:29,4,0
可惜了，83b 1799没下手，现在1999，不过显卡也没换，现在显卡市场魔幻啊，等等7900xtx和4070ti看看，显示器也不急买了,2022-12-05 18:15:41,3,0
[笑哭]y27q30第十天坏了，联系送修了。g-sync不能开，玩几分钟就黑屏，有声无影，不开，玩了几个小时候都没事,2022-12-05 20:51:59,3,0
两千五以内绘画和游戏兼得的显示器帧数过120就行但是srgb必须准确,2023-01-31 11:59:50,1,0
JD搜 天天领红包630 领红包再购物,2023-01-03 15:49:28,1,0
创维的f24g40f怎么样？狗京只要739,2023-01-02 18:39:26,1,0
aoc q24g2我京东看的怎么是硬件低蓝光，硬件防蓝光和硬件低蓝光有区别吗[笑哭]不太懂,2023-01-02 07:05:40,1,0
最近入手了熊猫的ps27qd6，碰到了一个比较难受的问题，屏幕用的是typec转dp线连接笔记本，当笔记本待机的时候，显示器不会待机，会反复跳出“进入省电模式”这个界面，有牛爷爷知道为啥吗,2023-01-01 10:22:03,1,0
JD搜 天天领红包630 领红包再购物,2022-12-30 05:48:59,1,0
JD搜 天天领红包630 领红包再购物,2022-12-30 00:35:51,1,0
JD搜 天天领红包630 领红包再购物,2022-12-29 13:55:56,1,0
科睿27e1qs和ktc h27t22哪个更香啊[初音未来_期待],2022-12-29 02:09:54,1,0
"有没有大佬帮忙看看配置啊
CPU：i5 10400f
散热：bubalus T3DS蓝光静音散热器
主板：华擎B560M
硬盘：宇瞻512G
内存：宇瞻黑豹16G DDR4 3200马甲条
机箱：定制机箱
电源：大水牛劲睿680
某宝看的，卖我3499r（我是不是亏了",2022-12-26 06:03:27,1,0
"板u：12600kf 
          华硕b660k ddr4 2459
内存：金百达银爵3200 8g*2 269
西数：sn570 1t 529
电源：鑫谷gn750w金牌全模组499
散热：雅俊e6 6热管 159
显卡：6750蓝宝石3699
机箱200
合计7800
求大佬们帮忙看看预算希望在7200以下",2022-12-25 14:59:31,1,0
"现在推显示器咋动不动就2k，10900k+3070的我只想找个高刷的1080p显示器，但各路评测对这种需求都不闻不问……

真就，人均4090了？",2022-12-19 05:31:25,3,0
24寸240Hz没有吗？,2022-12-15 00:35:03,1,0
回复 @煎饼果子放两包辣条 :哈哈不够专业,2022-12-17 03:06:51,0,0
回复 @关于Yin : 有没有兴趣做个视频[歪嘴],2022-12-16 20:27:07,0,0
回复 @关于Yin : 我加钱买了创维的f24g3,2022-12-16 20:26:00,0,0
[笑哭]目前27寸的还没有4K144的OLED，目前只有4K60的，小屏的4K高刷OLED稀少而且贵。,2022-12-05 15:17:20,0,0
毫无对比度 看了等于白看,2022-12-05 23:53:37,0,0
回复 @唯爱硝子一生世 :直接去搜12600kf套装，我刚看了，前面几家店都是2579到2699之间，店名什么“智中和”，“锐星”，都是20000+的销量店,2022-12-06 13:19:26,0,0
回复 @南山忆只狸 : 好的,2022-12-06 06:18:00,0,0
回复 @唯爱硝子一生世 :双11是这个价格，你可以等双12看看，或者京东买到时候保价也可以,2022-12-06 04:52:53,0,0
这块华硕俩风扇卡之前在幽灵家有单售卖的3399,2022-12-06 03:52:29,0,0
回复 @樂樂最可爱HH :那还不如买2600多的3060ti新款，也是无矿，再不行1000多买张矿6700xt 3060ti都行，6750xt不到3000内就是大冤种,2022-12-06 02:44:03,0,0
回复 @sdyuna :超预算了啊[笑哭],2022-12-06 01:33:16,0,0
这个前几天699。。。,2023-01-03 05:41:13,0,0
一样的面板科睿更便宜[微笑],2023-01-09 07:41:44,0,0
买了就好好用[脱单doge],2022-12-26 09:32:14,0,0
回复 @v9_nine : 电源没必要降,2022-12-26 05:14:10,0,0
回复 @稚寒zh :换板u能降800，电源降吗,2022-12-26 05:10:09,0,0
回复 @稚寒zh : 能便宜不少,2022-12-26 04:50:47,0,0
"回复 @康百万0991 :一般来说，觉得1080到1440没变化很正常，特别是原本的屏幕尺寸比27寸小的用户，比如15.6的笔记本用户从1080到27寸2K，ppi还下降的。同样大小的屏幕1080到1440本来提升就小于40%、、真的质变得上4K，体验过，确实不一样，肉眼可见。
顺带觉得一眼信息量看不全可能是需要保持与屏幕的距离了。",2023-01-09 14:58:43,0,0
回复 @康百万0991 :fps玩家确实一般更在意帧数而不是画面表现，不过我是玩csgo的，2k带240帧非常简单。毕竟基本没人打cs开特效的、、、,2023-01-09 14:53:38,0,0
回复 @康百万0991 :[doge],2023-01-09 13:51:46,0,0
"可以优化不
CPU:i5-12400f  京东套装1888
主板:华硕h610m-a  京东套装1888
机箱:先马 颜之神 拼多多139
内存:科赋3200MHz 8g✘2  淘宝310
散热:利民ax120r se青春版  淘宝89
固态:三星970 evo plus 1t 淘宝702
显卡:铭瑄3060TI 8G瑷珈限定 淘宝3299
电源:长城650w金牌全模组 淘宝559
显示器： AOC爱攻AG273QXP/D27英寸2K170hz 淘宝2099
共9085",2022-12-13 13:11:46,5,0
回复 @zbr的猪猪 : 3299买60ti太亏了，1888可以上13600kf散片了，提升很大，不过散热也得跟着换,2022-12-17 07:58:32,3,0
"可以优化不
CPU:i5-12400f  京东套装1888
主板:华硕h610m-a  京东套装1888
机箱:先马 颜之神 拼多多139
内存:科赋3200MHz 8g✘2  淘宝310
散热:利民ax120r se青春版  淘宝89
固态:三星970 evo plus 1t 淘宝702
显卡:铭瑄3060TI 8G瑷珈限定 淘宝3299
电源:长城650w金牌全模组 淘宝559
显示器： AOC爱攻AG273QXP/D27英寸2K170hz 淘宝2099
共9085",2022-12-13 13:11:46,5,0
回复 @zbr的猪猪 : 3299买60ti太亏了，1888可以上13600kf散片了，提升很大，不过散热也得跟着换,2022-12-17 07:58:32,3,0
