评论,时间,点赞数,标签
到你这谁都是投影新形态,2022-12-12 00:43:39,6,0
所以买投影仪极米h3s 极米5和这个哪个好呢,2022-12-11 23:23:31,3,0
只看动漫的话500左右的就很香,2022-12-11 19:17:06,5,0
但是我感觉矫正后的画质没有直投不调的好,2022-12-11 18:58:39,3,0
UP主敢不敢把窗帘拉开，拍个白天实际应用的场景？,2022-12-11 06:40:34,3,0
种草的别看了，你一天到晚能开投影机的时候有多少？抱着手机就看了。我的极米已经落灰了。,2022-12-10 02:35:17,3,0
投影仪强烈不推荐，估计又是充值了的[微笑],2022-12-09 14:57:13,8,0
关注了陈抱一几年时间，发现他玩的东西越来越贵，而我缺越来越穷[捂脸],2022-12-09 14:29:56,20,0
定了一台，到货看散班如何，如何和c1一样立马退了。[doge],2022-12-09 14:03:37,3,0
感谢价格侠，我决定十年后再买,2022-12-09 12:25:36,6,0
"◆产品信息
￥6499 坚果N1 Pro
￥8999 坚果N1 Ultra

◆素材来源
由坚果赞助

◆BGM
The Shock Band - Da da da

◆视频信息
格式：4k 60fps(19.5：9)
码率：29000kbps
字体：OPPO Sans

◆制作设备
录像：iPhone14Pro Max/索尼A73
录音：DJI Mic
剪辑：M1Max MacBook Pro
软件：Final Cut Pro
提示：拒绝复制简介！！！",2022-12-09 12:10:32,14,0
今天终于第一时间赶上了热乎的，激动的手机掉地上了[大哭][大哭][大哭],2022-12-09 11:32:17,6,0
已下单 孩子很喜欢吃,2022-12-09 11:31:29,43,0
这种都是伪需求，谁天天去移动,2022-12-10 01:34:02,4,0
有一说一，9000看着觉得贵，但你如果放在电视领域的的话，9000价位，三色极光，体积小巧且能随意转动，还真的算便宜至极了，如果预算足够的话，我是真的会选这个三色投影仪，而不是两万多的激光电视。,2022-12-09 13:35:12,4,0
啥叫抖4K?,2022-12-09 13:11:58,4,0
手机投屏卡到不行，我买了极米H5、当贝X3，两个都退了，极米画质不大行 当贝的自动校正差到你怀疑人生，于是换了坚果 ，up主测评的这一款，可惜连接手机投屏卡的我也怀疑人生了……,2023-01-02 06:47:44,4,0
已经买了孩子很喜欢吃[doge],2022-12-20 03:48:11,2,0
那么高的亮度你为什么不白天拍呢,2022-12-15 15:16:53,2,0
1080p的投影产品也卖到了这个价格，那我为什么不入手vidda C1呢？,2022-12-15 10:50:18,2,0
回复 @昵称被占用的熊猫 :我的有弹幕啊 我用的腾讯视频看的,2022-12-21 20:07:52,0,0
雀食，我电视也是，落灰了，我失业在家都懒得看，更别说之前我还是社畜的时候了[捂脸],2022-12-15 14:50:06,0,0
回复 @草履虫K423 :就是投影没弹幕是真滴难受,2022-12-12 17:09:11,0,0
一眼充值，3色海信c1只要不到6000,2022-12-09 17:15:35,6,0
回复 @数字青年Cyb :活动价啊，就双十一那会儿，而且首发时候淘金币用上也就5900。你过年后关注一下几个带货主播吧，今年估计没了。,2022-12-15 09:08:29,0,0
回复 @吵不过你别拉黑啊 :哪里买，老哥,2022-12-15 08:35:02,0,0
真实了[笑哭],2022-12-09 14:30:24,0,0
回复 @月庄大侠 :如果能硬件抗散班，价格我可以接受，如果比c1散班好不到哪里去，直接没必要留了。比c1贵3000个大洋,2022-12-09 14:10:38,2,0
回复 @陈叡鼠鼠 :手上还有几台机器，到货后做个对比视频，到时候可以看看,2022-12-10 02:22:48,1,0
测试了没有，效果咋样？,2022-12-15 14:29:47,0,0
我是学生能送给我吗[doge],2022-12-09 12:01:48,0,0
我是学生，可以给我尝尝吗[doge],2022-12-09 11:35:17,0,0
你不会是没见过9000，不， 只是6000块钱的电视的画面质量吧，不纯纯的爆杀这些激光投影仪。另外激光电视严格上来说算不上真正意义的电视，只是短焦投影仪罢了,2022-12-09 17:52:02,0,0
电视领域比个屁，投影仪和电视没法比,2022-12-09 17:16:26,0,0
需求不一样这两个东西不能互相替代,2022-12-09 14:40:53,0,0
回复 @谢道楷 :虽然画质提升了，但帧数也只有一半了,2022-12-09 14:23:53,2,0
每一个像素通过快速移动成为四个，使得分辨率提升。,2022-12-09 13:51:42,2,0
回复 @最最最最最佳观众 :按上面一抖四的说法 帧数只有四分之一吧。。。感觉有点吓人 应该是一抖二,2022-12-22 02:26:15,0,0
想看红米投影仪[不思议之旅_卖萌],2022-12-09 12:34:04,7,0
极米神灯和这款那个更好[脱单doge],2022-12-11 04:25:03,5,0
回复 @杰杰huafangjie :不用看，不如二手灯泡机或者条件允许就买电视,2022-12-13 15:17:49,3,0
想看红米投影仪[不思议之旅_卖萌],2022-12-09 12:34:04,7,0
极米神灯和这款那个更好[脱单doge],2022-12-11 04:25:03,5,0
回复 @杰杰huafangjie :不用看，不如二手灯泡机或者条件允许就买电视,2022-12-13 15:17:49,3,0
