评论,时间,点赞数,标签
电视是给我爸妈看的，我自己也就节假日的时候回家看下电视或者电影，可问题就是我爸妈不会用，教他们用又嫌麻烦，觉得不如以前的旧电视，打开就直接看[笑哭],2022-12-19 16:06:42,4,0
无处不在的只因,2022-12-20 13:22:47,2,0
我家电视一个月都不一定打开一次,2022-12-20 08:09:34,3,0
现在电视机买来挂家里像挂了个超大广告牌[tv_生气],2022-12-21 04:17:06,2,0
这公认那公认 搞笑的··,2023-02-14 09:19:17,1,0
个人感觉木井村是好用的,2023-01-17 10:11:23,1,0
但是一直开着电视会显得不那么孤独,2023-01-10 04:01:44,1,0
索尼电视不香吗[抠鼻][抠鼻][抠鼻][抠鼻],2023-01-01 12:30:34,1,0
四个人不正好麻将？,2023-01-01 06:13:32,1,0
用电视玩离得远看不清眼累，坐电脑跟前腰疼，我就买了个switch，躺床上玩，舒服，电脑游戏这两年就玩了个老头环，偶尔打打cod，平时基本都不开了,2023-01-01 05:33:17,1,0
只有一个问题，看电视节目要不要会员，不要提电视家，这个哪台电视都可以装，自己后装这种半盗版软件就没意思了，所谓的游戏也不需要，毕竟家里七八台游戏机，什么游戏没玩过？,2022-12-31 15:42:00,1,0
一直推广告就很烦,2022-12-31 06:11:28,1,0
广告6666,2022-12-31 01:29:19,1,0
有电视才叫“家”吧，吃完饭了一家三口一家几口的坐在沙发上把电视打开，磕点瓜子，扯扯犊子～听自己妈妈说电视上的孩子更优秀，听自己爸爸说哪跟哪的局势又紧张了，最后统一换到了电视购物频道上。多好,2022-12-29 21:59:48,1,0
"今天晚上回爷爷奶奶家吃饭的时候，饭桌除了家人的谈话饭桌除了家人的谈话,我总感觉少了些我总感觉少了些什么。直到，我打开了新闻联播，我才找回了那种温馨的感觉",2022-12-29 17:51:54,1,0
一家人有个电视不一样的，不然大家都低头玩儿手机，有亲朋好友来确实，不然也是吃完饭玩儿手机[笑哭],2022-12-29 17:19:41,1,0
图个氛围,2022-12-29 17:13:54,1,0
省溜：是的。,2022-12-29 16:12:08,1,0
省流：是,2022-12-29 08:29:51,1,0
已经拉黑过，为啥还推！,2022-12-29 08:10:01,1,0
买个机顶盒都一样的，调一下信号源、把网关了。一般电视的广告就没有了，但是机顶盒还有广告[笑哭]。但也是一打开就能看,2022-12-20 10:21:47,1,0
回复 @那一瞬我 :机顶盒不关，电视一开就是电视台,2022-12-20 16:08:09,0,0
只因,2022-12-20 14:24:00,0,0
真的 所以有开机广告我不推荐,2022-12-21 06:21:44,1,0
想要850寸的,2022-12-27 03:22:42,3,0
高配高性价比，买到后看世界杯，砸电视砸到停不下来！,2022-12-27 11:41:26,6,0
我就这台，打ps5用的，目前发现唯一一个问题，世界杯看球，那个球只有残影，不管开不开运动补偿都是残影,2022-12-28 02:53:22,3,0
想要850寸的,2022-12-27 03:22:42,3,0
高配高性价比，买到后看世界杯，砸电视砸到停不下来！,2022-12-27 11:41:26,6,0
我就这台，打ps5用的，目前发现唯一一个问题，世界杯看球，那个球只有残影，不管开不开运动补偿都是残影,2022-12-28 02:53:22,3,0
