评论,时间,点赞数,标签
大家多多三连吧！！！up家里实在困难，我刚刚私聊他，说想去他家玩，他说门都没有山依放览瓜啄阜腥,2021-06-24 21:15:03,57,0
1、检查配置、内包装、封条、三包、适配器2、指纹（CD面、触摸板、接口）3、摇晃有无响 4、插电开机，先小娜跳过联网！！用户英文名，风扇可能比较吵 5、验机软件（硬盘、屏幕）常规单项测试—纯色  C盘（硬盘）打字试试 6、联网激活 （性能—配置检查）7、联想电脑管家保留！8、分盘（C盘150—200G）9、常用软件下载，高强度使用10、激活office11、售后服务,2021-08-26 03:05:01,100,0
猫猫 万人血书↓ 教教怎么删除流氓软件 例如**锁屏 %%壁纸 ##解压器 //浏览器[辣眼睛],2021-06-24 14:49:29,34,0
感谢up主，小白本白昨天刚买了惠普的暗影精灵7，按照方法一步一步走，验机啥的都完了，Windows和office都激活了之后，开了个游戏打算高强度使用，结果听见风扇卡拉卡拉的，嘿给我发现问题了，今天申请换货了，卑微，我同学说我可能就是一时的倒霉，但我现在居然在想万一换的货还是有问题咋办[笑哭][笑哭][笑哭],2021-12-11 02:46:38,98,0
"京东联想智能客服给的win11跳过联网步骤

自带Windows11系统的电脑在联网界面，尝试使用在联网界面时，按住shift+F10，笔记本有可能是shift+Fn+F10。跳出命令界面； 命令行输：taskmgr 回车，点击下面的【详细信息(D)】然后再点击【进程】找到【网络连接流】右键结束进程，看能否跳过，不保证一定可以哦，建议联网激活  自带Windows10操作系统的电脑是可以跳过联网激活的哦，操作步骤如下:  http://iknow.lenovo.com.cn/detail/dc_174904.html",2022-06-12 08:09:14,29,0
"迟来的课代表：
(一)购买渠道
(二)检验：1，检察外包装
2，检察包装上的配置和封条
3，检察三包凭证和电源适配器等配件
4，检查机器有无使用痕迹：强光下看是否有划痕，指纹(开机键、CD面和触摸板)，接口
5，轻微摇晃，看机器内部是否有异响，屏轴是否顺滑
6，开机设置：跳过联网，英文用户名，拒绝ai，关闭全部隐私设置
*首次开机可能比较吵，正常
7，可以调出“我的电脑/此电脑”：右键桌面-个性化-主题-桌面图标设置-勾选计算机确定
*用软件检验电脑硬件：图吧工具箱，屏幕检测软件Display X，硬盘检测软件CrystalDisklnfo。
8，检测屏幕漏光：打开DisplayX-常规单项测试-纯色
9，检测屏幕坏/亮点：看屏幕有无与当前颜色不同的点。测试到“交错”即可按ESC退出
10，检测硬盘。打开软件，确定是C盘-检查硬盘使用时间和次数。只要不是：硬盘使用时间超过100小时，或者使用次数只有0－1次或大于200次，就没有问题。
*即C盘的通电次数和时间
11，打字检测键盘
12，联网，激活系统
13，最后一次检查配置：
右键任务栏-任务管理器-详细信息-性能-查看配置
14，设置-更新与安全-windows更新检查需不需要更新，更新开始
(三)适应电脑(下文见回复)",2022-05-14 15:13:37,77,0
新机刚到，一步一步按着来，然后就出问题了，tmd界面不一样，没有小娜，还必须连网！！！而且我这电脑没有塑料包装袋包装。。。于是我在连网的界面卡了近两个小时，慌的一批，都打算退货了，才发现我这tm是win11系统🌚🌚🌚至于那个包装袋。。。问客服客服说有的有有的没有，我说几千几万人都有就我那么幸运？他说不满意可以退，意思是他们机子都这样。。。。嗐，就这样吧，再看看后面有没有问题，问客服连网可以换吗？他说十五天内质量有问题经官方确认可以。。。。艹,2022-07-08 09:03:55,24,0
我刚买的电脑里面卡了一根别人的头发，怎么办？,2021-07-09 06:56:14,70,0
熊猫熊猫，有件事情和你讲一下，你发的这个视频里配套的测试软件，有很多电脑与displayX屏幕测试软件不兼容，在测试动态彩虹和动态交错时会出现条状黑线导致显示不全，误以为电脑屏幕翻车，其实只要在纯色中显示没问题就基本没问题了，如果还是不放心，可以选择娱乐大师来测试，或者将电脑显示缩放比例设置为100％，然后重新测试。,2021-09-03 01:41:36,75,0
我想问一下我在天猫无忧购买的定制r9000p也可能是二手吗，看得我害怕了，机子还没到,2021-06-25 16:44:03,21,0
ms账号有365的订阅的，会直接顶掉赠送的这个19版的绑定，别问我怎么知道的……[捂脸][捂脸],2021-06-25 14:46:25,21,0
熊猫我命令你速速抢到thinkbook 16p并评测  希望你不要不知好歹[doge][doge][doge],2021-06-24 11:52:21,75,0
战斗力单位天选二[doge],2021-06-24 11:58:32,20,0
win11开机联网怎么跳过，本人刚从京东自营买的笔记本到货了，然后，今天开机就是win11系统开机联网跳不过去，up主有小妙招嘛,2021-10-21 15:57:42,37,0
刚在淘宝买完[doge]现在已经开始慌了[脱单doge],2021-07-27 09:59:06,19,0
我display x检查屏幕，第一次使用，轮到七彩图是有明显的两条黑线在屏幕上，其他背景没有，然后再次检查重新到七彩图时没有黑线了，是软件问题吗,2021-06-24 12:03:04,66,0
"看完了，感谢。对于我这种经常重装系统的来说，如何保留定制版的控制中心？只能官网下载吗？安全软件那里，个人推荐火绒并设置好垃圾自动清理，微软的安全中心经常误杀我用的游戏脚本什么的
通电才能开机是联想专属吗？一直没注意过这个",2022-07-26 04:46:09,11,0
"忘了显卡原价的，我提醒提醒
RTX3060-249
RTX3060TI-299
RTX3070-389
RTX3080-549
RTX3090-1199
RX6800-459
RX6800XT-509
RX6900XT-799
高出原价一分不都买
别给奸商矿老板送钱买矿卡了
你不买我不买，明天就降价
复制这段话发出去，把节奏带起来！[doge]
什么都不买！就是等，等两三年，喜欢屯卡！",2022-01-04 06:42:27,66,0
用户名已经是中文了还能更改吗？ 怎么更改？,2021-06-24 14:42:32,17,0
给大家一个建议:二手全是挖过矿的,2021-06-28 17:47:09,66,0
用户名设置了中文，还能改成英文吗,2022-08-15 13:38:27,1,0
下个火绒 垃圾软件卸载掉 杀一下毒 就好了,2021-06-24 15:59:38,3,0
用geek[doge],2021-06-24 16:02:48,3,0
用geek！,2021-06-26 03:20:35,1,0
可以考虑换品牌了,2021-12-14 06:57:48,0,0
请问那个验硬盘的点击之后让允许修改硬盘是什么意思呀,2022-01-28 03:48:49,0,0
[支持]这个方法可以！,2022-09-15 11:12:52,0,0
回复 @虎与袍 : 估计工程师写的哈哈哈，人工客服反而不知道咋解决,2022-09-23 03:04:34,0,0
给我上去[打call][打call][打call],2022-06-15 16:30:44,0,0
硬盘通放电次数和通电时间对应的是使用次数和使用时间吗,2022-11-04 14:43:29,0,0
你为什么不上网搜下怎么跳过联网？,2022-07-08 11:55:38,0,0
直连问题也应该不大,2022-07-08 11:57:25,0,0
这个正常,2022-07-08 16:21:14,0,0
阿这,2021-07-11 15:29:56,0,0
先做DNA鉴定看看是不是自己掉进去的（不是）,2021-09-02 02:39:30,16,0
头发是弯的不,2022-04-01 09:24:24,1,0
感谢[大哭],2021-11-03 11:16:31,0,0
谢谢老哥，我是你说的这两项里面加载到一半就加载不动了。我还以为电脑的问题。原来是软件的问题，放心多了。谢谢你[脱单doge],2022-11-03 13:46:13,0,0
还是那句话 官方只有512g ，你买的1t商家不可能是用魔法给你装进去的吧,2021-06-25 16:44:51,24,0
简单理解为商家拆了原装机器，把512g硬盘换成了1t的，理论上来说确实算二手,2021-06-25 21:58:06,15,0
