评论,时间,点赞数,标签
你家全小米呀,2022-12-12 03:09:04,4,0
我就这么说，买手机预算超过2500的千万别考虑小米！懂得都懂,2022-12-12 13:47:27,16,0
这个屏幕真的没必要上2k 我去摸了比我12su屏幕清晰，也舒服一点,2022-12-12 16:23:54,7,0
兄弟们我最近准备换手机看了小米13和iqoo11各位给推荐一下呗,2023-03-11 13:28:43,2,0
我相信更多人买13不是因为小屏，而是因为直屏，敢不敢把PRO也做成直屏,2023-01-27 03:24:17,2,0
壁纸可以发一下吗？up,2023-01-11 22:40:52,2,0
都在吹小米的边框，是大家都没见过三星的手机吗，哎呀，可能三星的存在感............还是就是故意这么说的,2023-01-06 05:10:54,2,0
方便给一下壁纸吗？,2023-01-01 15:49:05,2,0
主要是芯片强，那岂不是可以期待一波三星s23ultra,2022-12-26 05:01:24,2,0
三连了，作为一个原神玩家，大世界传送的时间对比真的太有参考价值了。对标14PM可太秀了，慢个一两秒少花大几千，也不是不行[脱单doge]。这个拍照也很有参考意义，就是不知道录像咋样,2022-12-24 13:10:19,7,0
13算是我换了13pm以后 最想让我换回安卓以后的手机 可惜离不开CarPlay了 希望小米的车载互联快快到来,2022-12-15 09:45:45,2,0
小米13和苹果13不玩游戏怎么选,2022-12-15 06:04:16,2,0
这你就不懂了，他们都可以做完美，但是做完美就没等级梯度了。而且在商业更替上，不会去做完美的什么都有的产品,2022-12-14 10:54:26,7,0
看测评还得是大米评测,2022-12-13 14:07:35,6,0
我就想问问那张神里封面出处[脱单doge],2022-12-13 12:26:07,7,0
啊啊啊啊啊应该等这次小米的，当初被朋友蛊惑买了x90，但我还是最爱直屏啊啊啊啊啊,2022-12-13 10:16:50,6,0
"反正现在安卓旗舰都差不多[藏狐]
但是mi13这个镜头模组是怎么设计的",2022-12-13 08:15:45,2,0
说实话我现在在观望，手上的mix3用了四年多了，现在就想换台直屏全面屏手机，之前想换mix4，但是实际上手体验那个曲面屏劝退了我，这次13除了那个前置摄像头有点膈应之外，其他的完全get到我兴奋点了……等个一两个月观望观望吧,2022-12-13 07:29:56,2,0
这次小米13（不是PRO版本）真的很有质感，这是我自从小米10之后第二款非常想买的手机，不管是类苹果设计（哈哈哈）还是8gen2的性能大提升，我觉得明年618这会是我的首选机型[滑稽],2022-12-12 18:25:40,6,0
不错，看来可以准备下手了,2022-12-12 14:09:26,2,0
对啊，我家基本上都用的小米,2022-12-12 03:26:52,2,0
和华为苹果三星又不是一个价位，那2500到6000之间难道就只能选vivo了吗？,2022-12-12 14:03:34,11,0
出现了，懂王,2022-12-12 14:04:37,19,0
回复 @愿天堂没有洒水车 :我选魅族[脱单doge],2022-12-12 14:48:32,0,0
但小米13要贵好几百,2023-03-12 13:42:43,0,0
回复 @她们都叫我青儿 :小米可以状态栏调声音亮度吗？像苹果那样,2023-03-25 10:04:13,0,0
我就是因为没有支架的直屏才买的，我上一部是米十Pro，贴膜太麻烦了，不贴又怕摔碎屏幕，曲面屏换一块的价格太高了,2023-01-29 03:00:01,1,0
回复 @小明不背鍋 : 我自己也是，曲面屏贴膜实在太麻烦了，而且都不咋滴，直屏膜随便一块便宜的就能吊打曲面屏好几十甚至上百的膜,2023-01-29 03:22:33,0,0
[吃瓜]你这吹三星的不就来了吗,2023-02-07 14:58:47,1,0
安卓机皇，别人不需要中国市场也不在乎。自己造的,2023-01-20 05:25:32,1,0
三星系统用不习惯[笑哭],2023-03-13 10:56:03,0,0
可以换车嘛，问界m5[脱单doge],2022-12-26 22:32:43,0,0
用苹果你可以在面子上超越别人，用安卓会让你全方位爽，无论是信号充电速度扫码速度系统贴心程度，全方位爆杀苹果，MUI14能开两个小窗，本人是个大学牲，表示很方便,2022-12-19 15:52:42,4,0
苹果普通版不推荐,2023-03-13 11:06:19,1,0
苹果上13p体验会好 如果不上p就上13吧 体验很好的,2022-12-19 14:02:41,1,0
不可能完美的，明年把屏幕指纹给你换成超薄[小紫才没有摸鱼_摆烂],2022-12-16 17:01:44,1,0
但是不能有明显缺陷，这样才能保持用户忠诚,2022-12-21 09:42:10,0,0
回复 @ClassicCAMO :不懂就问 你说的这种行为是不称为挤牙膏[笑哭],2022-12-19 09:14:11,0,0
回复 @一曲空尘 :我倒挺喜欢,2022-12-14 03:44:51,0,0
回复 @静埜 :有我估计也是曲屏，现在都说曲屏是高端旗舰必备，反正我接受不了，稍微剐蹭一下贴膜就起泡，打游戏和单手操作还是容易误触。,2022-12-14 03:21:00,0,0
今年不知道有没有mix5,2022-12-13 16:35:03,0,0
我感觉质感差了点，颜值真的顶[笑哭]，质感可能为重量牺牲了，要是后盖是陶瓷的话质感真的顶,2023-03-13 11:01:36,1,0
10没有13好看轻薄啊[大哭],2022-12-20 02:21:08,0,0
哈哈，我也看上13了，准备明年降一波，直接抬走,2022-12-14 16:16:54,0,0
