评论,时间,点赞数,标签
为什么没有Bose大水壶？[崩坏3_疑惑],2022-09-19 13:26:59,6,0
个人感觉B&O外观最好看，简约大气，而且音质十分惊艳，他家的实体旗舰店（墨尔本）真的很高级很好看，相当加分。我的A1二代用了大半年了非常满意。不过up这款颜色我不喜欢[笑哭],2022-09-15 14:53:58,9,0
jbl冲击波5在此挑战所有3000以下非jbl蓝牙音响[嗑瓜子],2023-02-01 10:28:06,4,0
...不是专业玩音频的不要出这种视频。。小城夏天。。吐了,2022-09-27 05:37:17,4,0
索尼的音箱设备管理软件叫music center 头戴的叫headphones，不是你测评里面用的这个软件！[辣眼睛]这个都不知道的话，就很难相信其他说的话了。,2022-09-18 15:10:44,4,0
Jbl 冲击波5为啥没有排面[热词系列_排面]？,2022-09-16 15:33:25,8,0
价格侠来啦。JBL FLIP6 京东659 亚马逊526。京东嘛就是送的快，下单基本第二天就能到，亚马逊是海外购，快递应该要个几天的，不过可以便宜一百多。,2022-09-15 14:44:12,8,0
为什么没有宝华韦健和哈曼卡顿啊[奥比岛_委屈][奥比岛_委屈][奥比岛_委屈],2022-09-15 04:18:20,8,0
咋没测续航呀,2022-09-14 14:44:00,4,0
"flip6是真的不错，同体积杀疯了[脱单doge]
就是高音有点刺",2022-09-14 14:10:21,4,0
光是看着就要社死的地步,2022-09-14 09:51:49,10,0
哈曼琉璃3怎么样,2022-09-17 13:13:29,5,0
bose直接被忽略，大小水壶也没有，不知道怎么测的，在座的哪个低音下潜比bose深[微笑]，推荐居然A1这么靠后,2022-09-28 17:46:21,10,0
17年买了个JBL冲击波2+，然后上班的同事们就开始买JBL的蓝牙音响，各种款式，小到万花筒，音乐脉动，大到音乐战鼓，战神，几乎是蓝牙音响家族买齐的，音质真的好，还能串联播放，后来把音响给前女友用，分手的时候给我顺走了，焯[辣眼睛],2022-09-15 08:14:38,22,0
我家就是漫步者M230，千元内打遍天下无敌手,2022-09-14 11:27:39,10,0
便携式音箱里声霸锣才是天,2022-11-29 12:24:26,3,0
飞利浦早就出售了音响 家电 剃须刀 通讯业务,2022-11-26 18:07:44,3,0
居然没有喜多宝,2022-11-24 16:56:26,3,0
我本人还是很喜欢华为的sound joy，感觉很合适。小巧能随身携带，电池还大。,2022-10-15 12:18:04,3,0
jbl change 5 亚马逊七百多还行,2022-10-02 07:16:33,3,0
回复 @kasukiX :A1 yyds[打call],2022-09-15 23:11:11,0,0
我17年1200块钱买的A1用到了现在，依旧非常完美。,2022-09-15 15:10:07,0,0
你太大意了 看私信[滑稽],2023-02-01 10:36:28,1,0
视频里那个青春版说白了就是冲击波5[吃瓜],2023-03-13 18:57:26,0,0
哈哈哈哈哈哈哈哈哈测了寂寞,2023-02-24 05:17:20,0,0
记号。我看了测评决定买索尼，本来是冲着马歇尔来的。,2022-10-20 11:42:43,0,0
回复 @yulinlinghanchan :冲击波5确实好,2022-11-29 05:36:24,0,0
我也是用的冲击波5，某宝999 分6期。估计跟1699那款重叠了吧,2022-09-17 06:34:48,0,0
为什么我看京东是1099啊,2022-09-15 18:12:29,1,0
回复 @熬夜兰那罗 :秒杀领了499-100的券，找了个最便宜的店铺，600拿下,2023-01-02 02:43:37,0,0
回复 @网易云音乐助手 :[热][热][热]最低价我找的是608块,2023-01-01 12:45:00,0,0
因为贵[doge],2022-09-15 04:52:46,0,0
回复 @秋刀鱼的滋味-vae :比上代提升明显。,2022-11-11 08:22:46,0,0
500+入手，性价比之王[打call][打call][打call],2022-10-21 18:46:30,0,0
回复 @秋刀鱼的滋味-vae :没用过上一代，应该还不至于吧[傲娇],2022-09-14 15:46:46,0,0
回复 @多米格斯 :不是吧…我有过，很一般啊…dj最爱吧，低音轰头，中高频乏力，初听还好，长时间毫无性价比,2022-10-05 08:50:58,1,0
我不喜欢 太闷 我现在用的jbl冲击波5 以后考虑入水晶4 我觉得我喜欢水晶 我不喜欢琉璃,2022-12-14 05:05:43,0,0
可以参考下。【哈曼卡顿音乐琉璃3蓝牙音箱评测【最新】】 https://www.bilibili.com/video/BV1v7411v7MU?share_source=copy_web&vd_source=d8b9b20d5ee4c2d834c3fe027e79279e,2022-10-05 11:42:50,0,0
回复 @烤烤火而已 :有没有可能，其他音响也有,2022-12-15 04:17:35,1,0
测了寂寞  以为人人都听这种偏向人声的歌曲[辣眼睛],2023-02-24 05:16:02,0,0
A2的低音才是真的下潜深，小小的音量放床头那种下潜感有种落地箱的感觉，[吃瓜],2022-11-12 04:31:34,0,0
回复 @多芬香香乳 :两个女友？,2023-03-21 09:40:30,0,0
我有两个,2022-09-15 12:54:18,0,0
我600的JBL万花筒6不服  800的冲击波5也不服,2022-09-14 18:57:12,2,0
第三方店700-900的charge5可是性价比超标的,2022-09-14 15:49:44,2,0
回覆 @Headache真头疼 :开机音量受硬件音量影响的，关机的时候的音量就决定了开机时候的声音大小,2022-09-15 03:12:41,1,0
国行1000入手的[脱单doge],2022-10-05 08:34:03,1,0
我1399买的 刚出就买了 用了一年半多了[喜极而泣],2022-12-14 05:09:02,0,0
回复 @肖邦的橘子 :勇士,2022-10-05 10:22:32,0,0
漫步者M230的自营客服说，他们的喇叭一次只能匹配一个设备（不是连接哦，是匹配），也就是每次使用手机和笔记本用喇叭时，都要重新匹配！这是真的吗？！,2022-10-02 15:50:07,13,0
回复 @Bob_y :是真的。。是真的难受[热],2022-10-04 23:36:27,5,0
"很详细

，",2022-10-15 12:11:06,0,0
漫步者M230的自营客服说，他们的喇叭一次只能匹配一个设备（不是连接哦，是匹配），也就是每次使用手机和笔记本用喇叭时，都要重新匹配！这是真的吗？！,2022-10-02 15:50:07,13,0
回复 @Bob_y :是真的。。是真的难受[热],2022-10-04 23:36:27,5,0
"很详细

，",2022-10-15 12:11:06,0,0
