评论,时间,点赞数,标签
我在纠结是换二手的3070t还是6750xt  主要没用过a卡,2023-03-17 05:22:06,2,0
其实吧 对于现在大部分玩家来说 1060左右的性能 依旧能满足需求 ，现实哪来那么多3A玩家，身边朋友个个都有电脑，没有一个用30系以后的显卡 基本都还是760 960 1060 他们玩的都是tx全家桶cf LOL最多 不然就是门面电脑平时斗斗地主 打打麻将这些桌游 甚至750 650的都很正常，也就我会玩玩那些要求配置高的游戏所以配置比较高 [吃瓜],2023-03-16 05:17:10,7,0
多少年过去了，最常用的还是1060这个级别的性能，价格还是一千多点,2023-03-16 04:09:27,24,0
快四年了，又不是不能用[tv_鬼脸],2023-03-17 05:25:52,2,0
A吹平时挺闹腾，踩N捧A讲的头头是道；可一到买显卡却老老实实选了技术和画质并存的N卡[滑稽],2023-03-16 14:53:31,7,0
事实证明显卡还是性价比最重要,2023-03-16 08:51:32,6,0
抽象？,2023-03-22 05:01:14,1,0
请问我是无敌大冤种么[藏狐],2023-03-16 16:36:12,2,0
B站不都是人均4090嘛，然而Steam显示器分辨率占比最高的还是1080P[笑哭],2023-03-16 13:12:38,2,0
来点懂哥看看能不能优化下  固态不想用丐的,2023-03-18 01:53:07,2,0
你们好[doge],2023-03-16 10:12:35,17,0
Vega8核显用户报道[doge],2023-03-16 04:12:06,19,0
怎么能没有AMD的身影呢！,2023-03-17 05:28:16,7,0
我笔记本的1660ti玩新出的几款大作，已经感觉有些吃力了，1080p中低画质还稳不了60帧[笑哭]想换了,2023-03-16 16:43:28,2,0
看看我[嗑瓜子],2023-03-18 12:45:30,1,0
750ti报道[doge],2023-03-16 04:01:41,14,0
所以普通大众的显卡消费预算还是在2500元以内[OK]，以后不排除3060登顶（黄狗40系要是都卖得比2500贵的话，或者3060ti降到2500以内）,2023-03-16 07:26:05,2,0
1650极端情况下比1060弱30%，日常弱15-20%,2023-03-24 18:43:45,0,0
主打的就是一个中端,2023-03-20 14:43:57,1,0
看看我的,2023-03-19 01:49:54,1,0
看你用不用得上cuda，纯打游戏a卡就行，rdna2的稳定性还可以,2023-03-17 05:48:43,0,0
你朋友＝大部分玩家？,2023-03-16 16:46:29,3,0
所以5600是块好U  精准拿捏日常需求,2023-03-21 08:26:11,0,0
回复 @理论实践者 :我的意思是这么多年了，买这个性能还得这点钱，您理解到哪里去了,2023-03-16 04:15:46,17,0
回复 @LyZzHk_Official :所以应该的逻辑不是应该3060也是一千多吗？[疑惑],2023-03-16 04:31:09,5,0
回复 @贾维斯单推人 :老黄：我不这么认为[辣眼睛],2023-03-16 04:47:01,4,0
放心我6650xt首发3500拿下，比你更是个冤种,2023-03-17 04:17:53,0,0
我的6700xt超白金，3299[笑哭],2023-03-17 14:14:28,0,0
你这机箱风扇用不了这么多吧，感觉3把就够了,2023-03-19 16:14:25,0,0
其他没啥毛病，主板还能再缩一缩，带个12400f，h610就够了,2023-03-19 16:17:48,0,0
去买致钛，这个是原厂，而且寿命有矿老板保障,2023-03-21 09:01:45,0,0
你的13600kf分数咋这么高[笑哭]我才94w,2023-03-16 10:53:23,1,0
回复 @Rex-nzk :5.7 4.5[doge],2023-03-16 13:07:06,0,0
哥们你这一套下来得多少,2023-03-17 03:51:13,0,0
5900X+6800XT帮顶[脱单doge],2023-03-17 09:22:02,2,0
看成腾讯出的显卡了我敲,2023-03-17 16:58:27,2,0
回复 @201608s :哈哈哈哈哈,2023-03-18 02:29:23,1,0
回复 @B560爆破弹 :瘟疫传说2，卧龙，狂野之心这些，确实是因为游戏优化差，但是我的电脑就是不能在中画质稳60帧,2023-03-18 06:39:52,1,0
回复 @ljhhhvj :嗯，好吧中画质都稳定不了60针那确实优化很差,2023-03-18 11:49:00,0,0
回复 @NoStopping : 哦是卧龙啊！那没事了那款游戏在PC上bug就多,2023-03-17 04:28:45,0,0
750ti  我踏马来辣！,2023-03-20 06:55:51,1,0
610为您点赞👍🏻[doge],2023-03-16 04:06:04,1,0
950m报道,2023-03-17 10:06:48,0,0
3060已经登顶很久了。,2023-03-16 16:26:40,0,0
3060本来就是目前占比最高，只不过把笔记本和桌面分开了,2023-03-16 15:26:06,0,0
6600其实不错,2023-03-16 08:44:54,0,0
回复 @用呆毛拖地的王 :2k悬，除非dlss拉满,2023-03-21 09:21:07,1,0
回复 @努力的小tabby :不是太吃显卡的游戏都能拉满,2023-03-22 13:32:49,0,0
哟盒友,2023-03-22 13:31:10,0,0
