评论,时间,点赞数,标签
"这套配置，怎么样大佬们[脱单doge]
CPU :15 12400 F 
主板:华硕PRIME H610M-K D4
内存:英睿达普条3200 HZ 8 GX2(共16 G)
固态:金士顿NV2 500 G NVME M2
显卡:华硕RTX3060-08 G-GAMING巨齿鲨
机箱:玩嘉尊耀黑
电源:先马500 W额定
散热:雅浚E3",2023-02-28 16:22:11,32,0
省流：但凡不标注详细信息参数的，都是坑！！！[妙啊][妙啊][妙啊],2023-03-18 14:51:12,2,0
这些东西纯粹就是骗人的，而且很多还没有售后保障，指不定哪天就把你送上了西天[doge][doge],2023-02-27 11:13:18,25,0
"5800x3d+吹雪主板，嘴吹散热（假的）
爱国者银河360水冷
双16G灯条4000hz
pcie4+pcie3 2T各一根
鑫谷昆仑白金1000W
鞋盒（爱国者银河T3风扇8个）

目前在憋一个4080（也不一定看情况7900xtx驱动跟上也行）[doge]",2023-03-08 11:26:27,6,0
别人笑老人不会用只能手机，别装B多少人连电脑都装不明白  真是讽刺！！！！,2023-03-13 07:12:15,3,0
@操作台CZT 我虽无电脑方面的经历，但在作者的积累经验的初级阶段，让我懂得了很多，我定倍感珍惜，只为更好！从一个不懂的成为一名初级者！感谢有您！作者！[热词系列_三连],2023-02-27 11:20:57,29,0
我电脑找了一个网吧老板给我配的，当时疫情，他网吧开了两月开不下去了，我收了一台，找别人查了一下，他赚我200样子吧3000的电脑，用了两年了，现在打打永劫啥的,2023-03-12 04:35:16,4,0
看见啥i7比I5强，大内存，大固态一律不用看[doge],2023-02-28 06:40:45,5,0
别的我不说，这个高端固态主板是啥意思，主板还有机械的吗[笑哭],2023-02-27 12:15:02,10,0
"CPU：Intel Core i5-9400F
主板：B365M PRO-VH
内存条：七彩虹 DDR4-2666   (1333 MHz) 8GB  2根
固态：SamsungSSD860EVO  1TB  （硬盘是自己的，没要商家的）
电源：长城450W（具体型号忘了）
显卡：NVIDIA GeForce GTX 1660 6G 品牌 Colorful  (GDDR5 Samsung)
这个2-3年前买的配置怎么样，大佬们，这一套有被坑嘛？",2023-02-28 15:37:24,16,0
人生第一台电脑就被水冷坑了上千块！,2023-02-28 04:33:37,10,0
这个配置有没有坑，坑的地方是那里？我只是略懂，看不出来[笑哭],2023-03-02 04:45:23,3,0
"CPU:  i5-13600KF	 
主板：华硕TUF B660M wifi D4  
内存：阿斯嘉特-女武神 3600   16G*2   
固态：致钛TIPus7100 1T   
硬盘：西数机械硬盘  4T      
显卡：华硕 TUF-RTX-4080-OC16G  
散热：利民Frozen MAGIG 360 
电源：海韵GX1000
机箱：爱国者 YOGO K1

1.5W左右，大佬们看一下有没有可以换的，目前综合PDD看大概超了1千[囧]",2023-03-05 14:30:17,12,0
"小白第一次装机帮看看这套配置怎么样！
铭煊B760M终结者+15- 13400F

七彩虹22年1660S

金百达银爵16G

西数SN750SE 1T

长城猎金prime- p600铜牌600W大水牛牛仔K3

利民AX120 R- SE",2023-02-28 15:25:12,18,0
"cpu：r5 5500原盒  474
主板：铭瑄b550终结者  460
散热：玄冰400  64
固态：致钛Tlplus5000（1T） 365
内存：金百达银爵3200（8×2） 234
显卡： 迪兰RX5700xt战神  874
电源：长城v6金牌全模组（600w） 298
机箱：先马平头哥M8  179
显示器：优派vx2762  731
总计：3679",2023-02-28 01:28:58,13,0
这个配置值得吗，5999,2023-03-19 17:06:49,1,0
这个配置能买吗,2023-03-12 02:04:41,4,0
这套怎么样？兄弟们,2023-03-25 14:18:55,0,0
刚买不久就刷到，完美的和视频内容贴上了[灵魂出窍],2023-03-19 06:33:56,1,0
这个3600可以不  下班玩玩吃鸡和cf,2023-03-25 10:52:50,0,0
回复 @风卷残云e念之间 : 能兼容，就是顺序读写速度向下兼容（就是浪费掉了），不过4K随机的话，应该是差不多的，人类应该感觉不出来[doge],2023-03-18 09:57:25,2,0
你这个主板好像支持不了这个固态吧？你的这个固态是PCIe4.0，但你的主板只能支持PCIe3.0的固态。所以固态可以换成铠侠的RC20或者西数的SN570。,2023-03-12 06:10:01,2,0
回复 @oCCFANo :好的ヾ ^_^♪感谢科普[打call][打call],2023-03-19 00:45:19,1,0
买台式机还是推荐一个配件一个配件的买，那种直接装好的大多都是废物，而且现在bilibili有很多装机教程，小白可以看看，我比较推荐@硬件茶谈,2023-02-27 11:16:26,6,0
店一关就跑路了，售后个答辩[妙啊],2023-03-01 03:04:46,1,0
我就是自己买的配件看的他的视频自己装的[doge],2023-02-28 12:11:08,0,0
