评论,时间,点赞数,标签
666,2023-03-21 03:58:38,1,0
我机箱是用澳牛牛奶I的盒子[doge],2023-03-21 00:17:34,1,0
还不如买K10.5的APU，推土机架构的太废物了,2023-03-20 13:55:12,1,0
太狠了,2023-03-20 14:40:50,1,0
牛逼，都想搞一个玩一玩了，搞坏了也不心疼,2023-03-14 00:36:56,8,0
这鞋盒太深不好用[吃瓜]回头我把踢波兰的鞋盒给你,2023-03-20 00:06:14,1,0
很牛[doge],2023-03-18 15:18:56,1,0
我刚把我的x4 740换了i3 4170。感觉4代i3性能还是不错的。,2023-03-17 18:47:52,1,0
玩过5800K 6800K 7650k，讲真轻度办公游戏还凑和。。,2023-03-18 03:56:58,1,0
02:43露出鸡脚[doge],2023-03-14 00:50:26,3,0
up，玩DNF，流放之路，可以推荐一套么双开啊,2023-03-15 05:41:53,1,0
显存太低了，我大概是组8g 给了核显2g  显卡新版就能跑1.2w,2023-03-14 12:27:08,1,0
预算怎么越来越低了[doge],2023-03-14 08:37:04,1,0
大佬们原神2k用什么显卡呀，500w电源[笑哭],2023-03-14 00:47:37,8,0
高端性价比英特尔好香  低端价格拉满amd yes[吃瓜][吃瓜][吃瓜][吃瓜][脱单doge][脱单doge][脱单doge][脱单doge][笑哭][笑哭][笑哭],2023-03-14 04:41:05,1,0
"大众VB601主板
奔腾3CPU
四根sd256M内存条
AGP64M显卡
随机的200瓦电源
随便一个20块的声卡
再来一个网卡
整装下来150",2023-03-14 22:29:39,1,0
可以啊，出奇得底价,2023-03-14 09:37:33,1,0
请问这一套电脑可以玩地平线4吗？,2023-03-22 06:56:37,0,0
看你这视频差点把我的p106整去世[tv_白眼],2023-03-19 08:02:41,1,0
这平台再买个30块左右的小机箱，就真的舒服了,2023-03-14 14:26:20,1,0
回复 @丶陪妳看流星 :ok,2023-03-21 05:37:07,0,0
回复 @图小钉 : FM1,2023-03-21 05:31:58,0,0
k10.5是哪个平台,2023-03-20 15:50:30,0,0
流放对显卡有点要求啊,2023-03-15 16:23:31,0,0
回复 @最近想读读书 :就是给核显分配一部分显存啊,2023-03-15 00:21:58,0,0
给了核显2g是什么意思？老哥能详细嗦嗦吗？,2023-03-14 16:39:10,0,0
而且甚至还可以用8g的专用条,2023-03-14 12:27:33,0,0
探探底,2023-03-15 00:22:23,0,0
6600就行辣 新的盈通1500，个人保3年,2023-03-14 01:51:51,1,0
Rx580及以上级别的都可以，,2023-03-15 02:40:28,0,0
回复 @鹅妈咪在这里 :阴影也是最高吗，感觉开阴影的话有点悬,2023-03-14 07:53:51,0,0
确实是,2023-03-15 00:23:14,0,0
主要是这玩意，我都有,2023-03-15 17:38:33,0,0
当作XP怀旧老主机挺不错,2023-03-15 00:21:38,0,0
本人装机以来最低了[doge],2023-03-15 00:20:55,0,0
这个玩不了哦,2023-03-23 07:50:47,0,0
对，加个p6就很不错,2023-03-15 00:19:59,0,0
