评论,时间,点赞数,标签
大哥是说到做到啊，测试的时候用好电源，防止自己给炸到[脱单doge],2023-03-25 14:41:03,1,0
原来大哥只是想揍孩子了,2023-03-24 03:52:19,18,0
我一套雷蛇加宁芝的静电容键鼠都两千了，我才是真网瘾少年不是o(￣ヘ￣o＃),2023-03-25 15:22:14,1,0
这大哥瞅着像吸毒的,2023-03-23 15:03:22,138,0
要不是矿难和12代cpu出世，再加上前期疫情，还是要稍微贵一点,2023-03-25 14:25:50,1,0
纯新手，兄弟们看看我这套怎么样，看了几天，后续还能搞吗,2023-03-25 14:10:50,1,0
《欢迎下次光临》[藏狐],2023-03-25 12:04:43,1,0
省流:慢走啊，兄弟[来古-呆滞],2023-03-25 04:29:19,1,0
为啥感觉比我都还流畅，找了个信任的人，后来遇到其他别人说不值这个钱，那个人坑我差不多1000，三分之一的钱。,2023-03-23 23:41:31,2,0
你说他富吧，他捡一台垃圾；你说他穷吧，他穿BOY[doge],2023-03-23 15:19:49,27,0
"兄弟们看一下配置，刚下手，他给我报的价格我还没查
。
。
。
CPU: I5 酷睿 13400F 散 -1175

风冷: 爱国者 冰锋400I PRO 四铜管-75

主板: 华硕B760M D3H D4-700

显卡: 影驰RTX3070TI 星耀OC 8G-4260

内存: 宇瞻暗黑女神 DDR4 3600 16G*2 32G-480

固态: 西数SN770 1T PCIE 4.0协议-480

机箱: 爱国者V13 玻璃侧透-150

电源: 爱国者 ES650 额定650W 全牌全模组-350

合计:7670
这玩意亏多少？有没有啥问题？",2023-03-24 15:56:07,1,0
我告诉你，让孩子戒网瘾不是让他把电脑打炸，而是要让他输，两种办法，一种是自己或者买通别人跟孩子组队一直坑他，记住你坑他自己战绩一定不能太差，不然他觉得是你的问题而不是他自己菜，第二种是给他买个挂，不要以为挂狗很爽，风灵月影是最消耗游戏寿命的东西。,2023-03-24 12:24:02,1,0
5000预算，不求外观只求游戏性能，求大佬配一套[星星眼],2023-03-25 04:55:33,1,0
我电脑GTX1660显卡＋144hz显示器＋i9处理器＋512G硬盘这一套下来人家要我8900，玩游戏一会儿机箱就发热(很热)而且某些游戏略卡，有没有大佬告诉我这一套值不值,2023-03-25 16:50:21,1,0
大哥是来装电脑的吗？大哥是来花钱买理由回家打孩子的[脱单doge],2023-03-24 04:14:40,3,0
我特么之前读大学，啥也不懂，淘宝四千多买的整机，打吃鸡才四五十帧[辣眼睛][辣眼睛][辣眼睛][辣眼睛],2023-03-24 06:39:55,1,0
求一下，有没有2500以内能玩原神不卡的[保佑],2023-03-24 12:14:44,1,0
这上淘宝不得卖个1000多。[保佑][doge],2023-03-24 11:10:15,1,0
你这C4威力挺大的哈 都威胁现实世界了,2023-03-24 13:36:46,1,0
好家伙，20块的电池，我手机壳都十多块,2023-03-24 13:46:35,1,0
溜大了[doge],2023-03-23 15:46:06,1,0
不懂就问，为啥这么说呢,2023-03-24 06:55:33,0,0
你这么一说我知道怪在哪了[烛灵儿Hikari_害怕],2023-03-24 15:45:02,0,0
没看见送灭火器了呢，，，这堆破烂啥时候炸了绝对不意外,2023-03-24 10:57:52,0,0
配置发出来看看，让大伙估个价,2023-03-24 17:53:17,0,0
有没有一种可能他也不是很懂,2023-03-25 05:06:18,0,0
最近流行混搭,2023-03-23 17:02:52,1,0
这不就是京东价么，有什么问题,2023-03-24 18:17:35,0,0
回复 @太对了哥iii :是吗，总感觉这种不赚钱的更有问题，贴吧找的人买的，说是整机直接到家，显卡全新包装送到手自己装，不知道有没有坑,2023-03-25 00:51:15,0,0
这种正常价格，配件你自己买过来自己装就好。,2023-03-25 09:24:28,0,0
"12400f+铭瑄b760终结者 1600
铭瑄电竞之心3060ti g6x 2900
利民ax120r se 70
金百达银爵3200长鑫adie 220
金百达kp260 512g 190
微星迫击炮a650bn 220
先马平头哥m2 110
一共5310，pdd领券打九折，4900拿下",2023-03-25 07:06:19,1,0
我就跟着上面哥们的配置说一下我自己的推荐的改进，不求外观的话换个耕升60tig6x的便宜二百多，然后板子换成h610a板u能再便宜一百五，然后再换个1t的盘，500g现在存不了几个游戏了，这套换下来能便宜几百，留下来自己出去吃顿好的，别苦了自己。,2023-03-25 09:08:19,1,0
内存的话是32G，64位还是86位来着,2023-03-25 16:53:09,1,0
亏到炸,2023-03-26 00:48:53,0,0
提刀,2023-03-26 04:08:08,0,0
去网吧随便买个烂电脑都能带得起来。,2023-03-24 12:28:25,0,0
随便装都不会卡。2500你就算直接买品牌机那也不会卡,2023-03-25 05:05:46,0,0
咸鱼搜CPU搜e3，GPU在gtx1050以上或者rx580左右的组装机都可以，价格1200左右,2023-03-26 01:23:58,0,0
