评论,时间,点赞数,标签
削减开支？？30亿美元公关费咋没见削减呢？多的不说，前段时间多少up集体推a750显卡来着的？[呲牙],2023-03-19 12:47:13,60,0
卖大楼是不是  反应出  大小核就是答辩呢,2023-03-19 13:33:04,13,0
我说个暴论，如果半导体产业链如同其他产业链一样搬到中国，那么芯片成本会只有现在的三分之一甚至更低，整个半导体行业也会发展的更好。现在的半导体产业链处于逆市场经济发展。,2023-03-19 12:45:12,34,0
快进到十年后，NVIDIA买大楼[打call],2023-03-19 12:41:46,27,0
喜欢造大小核你就多卖点,2023-03-19 12:52:33,9,0
卖大楼还得向索尼学习 百叶窗切下来还能卖[doge],2023-03-19 13:11:46,3,0
英特尔现在各种产品不是整挺好的吗，怎么还要卖大楼了,2023-03-19 13:12:17,4,0
它甚至连卖大楼都挤牙膏,2023-03-19 13:03:07,38,0
唱好唱衰也罢，身为消费者只想要更有性价比的产品,2023-03-19 13:09:13,13,0
臭打游戏的彻底输了，市场的反应是一败涂地，真的以后别玩游戏了别氪金了[暹罗猫小豆泥 · 遇见泥_请你],2023-03-19 13:12:42,51,0
快进到inter为amd和Nvidia代工[doge],2023-03-19 12:51:22,30,0
反正我今年换笔记本，肯定是amd yes,2023-03-19 12:55:21,3,0
大小核在linux支持又不好。工作站处理器死贵。服务器处理器打不过amd 惨,2023-03-19 12:59:11,3,0
intel 赢麻了 直接战未来,2023-03-19 12:46:19,10,0
英特尔和英伟达给我提供了去年一年的迷惑，是姓英的去年本命年被下降头了吗？离谱操作比比皆是,2023-03-19 12:37:17,146,0
股东更看好AMD,2023-03-19 12:46:48,9,0
Intel搞什么大小核，给不懂的人看看，多了几个单核单线程确实蛮唬人的。实际就是一坨。硅仙人不是去intel了吗，赶快救一下。,2023-03-19 12:48:05,67,0
不卖大楼不叫超级企业,2023-03-19 12:36:35,19,0
索尼:这个我熟[doge],2023-03-19 12:37:38,35,0
发完视频就去看直播是吧，当场给你逮住[doge],2023-03-19 15:04:15,287,0
公关费一削，那就真完了；两家硬碰硬，平时那些评测up没大力提及的小细节就全暴露了[滑稽],2023-03-19 12:55:50,35,0
行政削一削紧巴一点过日子，公关大削必死无疑，你毕竟是个卖货的,2023-03-19 13:20:48,34,0
