评论,时间,点赞数,标签
所以有没有一个时间点划分，到底啥时候之前生产的叫老版呢，我是一周前装的4090,2023-03-11 10:50:28,3,0
[辣眼睛] 这可真是王八退房，憋不住了,2023-03-10 18:10:08,90,0
以后不敢买最新显卡了。30 40都有问题，是玩家的错,2023-03-12 09:43:45,2,0
已经麻了，用牙膏厂的卡战未来得了[辣眼睛],2023-03-21 14:20:49,1,0
"求助。我的要求是ps，普通办公，要开多个平台。
CPU：英特尔i5-12600KF（10核16线程2.8-4.9G.无核显）1499元
主 板：技嘉B660II-GAMINGX AX （魔鹰）DDR4 829元
散热：雅浚B3-PRO RPG版 69元
内存：威刚万紫千红ddr4-16G×2 3200 普条 460元
固态：金士顿NV2-1T （M.2固态 NVME）372元
显卡：七彩虹 GTX1650-4G D6灵动鲨 989元
电源：先马/坦克635 额定500W 148元
机箱：动力火车定制机箱 158元

这是别人给的配置，但我显卡想上3060，有必要吗？",2023-03-11 04:00:03,3,0
如果能改进不烧接口或降低烧接口的概率，不是挺好么？4090本来就不会是40系最强，至少还有4090ti。,2023-03-12 08:18:16,2,0
会不会是为了降低电源功耗压力，毕竟公版4090会烧接线口,2023-03-11 05:57:06,3,0
这波啊，其实是把4090砍一刀，然后把原公版升级为4090ti，老黄这生意做的挺好啊[doge],2023-03-11 11:35:09,8,0
1.2w首发入的4090竟然没亏，感谢AMD,2023-03-11 14:37:13,2,0
"各位大佬，装机小白求问[tv_难过]
目前2k分辨率中高画质玩主流3a游戏，能稳70～80帧，需要什么等级的n卡或a卡呀?[tv_亲亲]
在此基础上cpu的选择最低选啥能不拖显卡后腿[tv_色]
提前谢谢解答",2023-03-11 03:18:00,8,0
最牛的电子产品打到最后结局都是爆炸和报废，老老实实买来用正常玩就行了,2023-03-11 18:07:09,5,0
这个工厂年前内部说过，之后的型号都会缩水，降低供电，不再是oc满血，应该也包括这个核心，不止4090，4080和4070ti也会改，4070ti的pcb也会缩减到某嘉首发时小尺寸大小,2023-03-19 00:30:40,1,0
"停产几个月了,又有新的?官翻吧,不得不说黄狗是是真的狗啊,看到90甩AMD几条街,立马出残血版,",2023-03-11 06:56:02,5,0
不不不这才是4090，之前的是宣发搞错了，把4090Ti宣传成4090了,2023-03-11 08:25:06,5,0
这他妈牙膏挤出来还能缩回去的吗,2023-03-10 22:03:42,5,0
要让路了，4080ti和4090ti要来了，尤其是爆料的4080ti，14848CUDA加20GB GDDR6X的规格极有可能捅了4090菊花，现在把4090最后一批核心清库存了就完事。然后18176CUDA的4090ti和14848CUDA的4080ti粉墨登场，进行40系高端卡最后一波收割,2023-03-10 22:23:34,8,0
[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜],2023-03-12 13:32:20,1,0
[doge]反正不坑穷哥们,2023-03-12 11:49:27,1,0
讲实话，用到现在我的屏幕还是五年前的2k60hz。显卡再好，显示器也只能显示这么多。新显卡它爱吹多高吹多高,2023-03-14 07:04:16,1,0
"老黄:我怕市场已经这么畸形了，不出强点提价的话会被太多反对。
7900xt出来，那没事了，还是涨和缩。",2023-03-11 04:03:02,5,0
问题不大，买了就用就完了。最高电圧上限砍了，不加压超频的话没啥区别的。如果基础频率砍了，你可以手动拉点,2023-03-11 13:49:18,1,0
回复 @中华兽王 :无所谓反正我老早就买了[抠鼻],2023-03-13 09:43:24,0,0
回复 @沈奕无 :你体会不到性能的差距明白吗？不会了解了解？,2023-03-13 05:17:09,0,0
回复 @中华兽王 :富哥体验不到多的3帧肯定是不乐意的，不过富哥一般都买完了。只能说不坑富人。,2023-03-13 04:30:37,0,0
一眼奸商整机配置，内存固态全得换了，建议换一家,2023-03-11 04:03:18,2,0
求助啊，如果我要换怎么换，是全换吗？,2023-03-11 05:00:50,1,0
回复 @林夕烟波红 :有配置单需求私聊我,2023-03-11 10:04:26,0,0
回复 @yiming564 : 现在又不知道砍了还是没砍。不过就算砍了一点，能稳点也不错，毕竟这卡保修太麻烦了。。。,2023-03-12 09:14:27,0,0
性能砍一刀，价格又不给你降啊,2023-03-12 09:12:46,0,0
