评论,时间,点赞数,标签
这样开盖的手也是牛逼的,2023-03-17 10:46:23,0,0
钎焊开不了盖,2023-03-16 04:59:41,1,0
哪比得上我们的打孔茅台？,2023-03-17 12:04:33,0,0
投两个币下期开个i913900k看看[脱单doge],2023-03-16 12:43:51,0,0
费这么大劲，就拆了一个顶盖[辣眼睛],2023-03-18 10:45:55,0,0
好家伙，黄金都给你弄掉了,2023-03-17 08:18:03,0,0
不用开盖器，其实你拿开水一泡就开了,2023-03-17 12:16:57,0,0
压缩毛巾,2023-03-15 10:23:55,4,0
应该用刀片去划盖子和基板之间的胶[脱单doge],2023-03-17 15:49:57,0,0
钎焊火烧就下来了。。。,2023-03-16 12:44:22,0,0
钎焊u本来就不好拆,2023-03-17 00:53:19,0,0
"光刻只是芯片工艺中的一种工艺而已 
啥叫光刻机做出来的cpu。。。",2023-03-17 19:36:54,0,0
咱能用酸蚀不[笑哭][笑哭][笑哭],2023-03-18 12:22:43,0,0
sa,2023-03-17 14:42:01,0,0
给U开盖，先夹紧U再拿刀片插入缝隙将胶切开，钎焊的加热一下比较好拿开,2023-03-17 15:57:42,0,0
现在的低端CPU，曾经也风光过，毕竟是从高端CPU一路跌下来的,2023-03-17 08:46:54,0,0
拆平板或者笔记本，那玩意直接在外面[doge],2023-03-15 11:59:02,5,0
这个上面有几十层楼，你看了个寂寞？,2023-03-23 04:20:39,0,0
我买的假图纸快到了。谁出资支持我的研发[doge],2023-03-16 19:56:13,0,0
nmd  但凡有个风枪  也别这么开   看着难受的一批,2023-03-19 03:40:44,0,0
可以开，我看过开盖7950x3d的，钎焊的，就是开起来麻烦,2023-03-16 09:40:24,0,0
中国其他流程工艺都可以，蚀刻机水平也很高，主要是光刻和光刻胶还有研磨液不行。后面两个是基础材料学的范畴，中国发动机不行的原因也是基础材料薄弱,2023-03-18 12:26:57,0,0
这倒是，我爸09年买的灵越1464六千多，这钱放现在能整个机械革命极光Pro了。,2023-03-18 14:38:56,0,0
