评论,时间,点赞数,标签
要知道我们小破站可是人均13900K+4090的啊 怎么就这么点？难道他们都只是玩3D MARK和甜甜圈的吗[吃瓜],2023-03-17 01:25:40,2,0
我目前有两套设备，一台80ti笔记本，一套抄的某up的700无机箱主机[doge]笔记本是因为要带去教室学习且对生产力有较高要求，玩游戏还是玩地雷（室友给我的主机起的绰号）[doge]大部分3a都能1080p畅玩[doge]虽然我现在很少玩游戏了，但是，拜托，朋友，只是打个游戏，没必要，如果真的对配置有强迫性的要求，这里的建议是太湖之光[doge],2023-03-17 01:28:25,4,0
真的，差点就上头入4090了，最后思考了一遍又一遍，发现3060ti能满足我的绝大多数需求，够用就行，当然，我也不是追求4K高帧率啥的核心玩家,2023-03-16 17:31:11,3,0
不是人均30起步吗，steam怎么尽拆台呢,2023-03-16 08:40:35,8,0
其实应该是3060，别的显卡都是桌面移动一起算，3060分开的 加一起他才是第一[藏狐],2023-03-16 04:10:09,36,0
为什么我的1650玩不了大型游戏    巫师3进去就gpu过载,2023-03-17 02:50:42,2,0
我还在用rx580[笑哭],2023-03-16 20:07:44,2,0
"兄弟们 我想重新配一台电脑
瓦洛兰特和csgo（过段时间可能还会有cs起源2）都要畅通无阻无卡顿无模糊玩的   偶尔也中高配玩玩3A的话需要什么配置啊？
尽量省钱的话大概要在多少钱",2023-03-16 10:03:49,15,0
怎么得，只有那点钱又不想买旧款，只玩那几个显卡要求不高的游戏，1650都能带120往上的那种，3a没时间玩看up玩过过瘾就好了，都没啥换卡动力又没钱凭啥让我多掏几千块买新卡跟矿卡....,2023-03-15 12:20:52,52,0
"丐中丐的配置没想到还能超过46.2[吃瓜]cpu上的是q0d8（i9-13900 3dmark只能16000左右只能）3.7hz 内存锁5200 
说到底 玩游戏最高的配置还是朋友",2023-03-16 16:14:11,6,0
3060就可以了，要什么4090，好像买了4090就有时间玩游戏一样。[脱单doge],2023-03-16 16:27:02,4,0
有没有可能steam主流1650 哔站主流4090[doge],2023-03-16 14:57:54,2,0
我给大家拖后腿了，我的是4050[doge],2023-03-16 12:25:41,3,0
3a游戏再好 玩起来也是很寂寞  给不了网游的感觉  和朋友随便玩啥都好玩,2023-03-17 03:10:14,2,0
我看看有多少跟我差不多的[笑哭],2023-03-16 17:27:29,2,0
1660s，用了好几年了，一点换的念头都没有,2023-03-16 08:17:42,3,0
刚毕业之后就不想打游戏了，给我4090＋13代i9也就那样，不是买不起，主要是换了也没必要。,2023-03-16 14:44:22,3,0
兄弟们，我是小白，玩冰汽时代开场动画卡成ppt，是显卡的问题，还是我用热点连电脑的问题啊（开了加速器）教教我吧[大哭][大哭][大哭],2023-03-16 09:44:52,7,0
1660还能再战！,2023-03-16 12:13:26,3,0
没事电子🐏过后 游戏晚1-2年玩也不是不可以而且bug还少  赶在降价潮前6900卖了3070继续用俺的2060去了[脱单doge],2023-03-16 07:51:41,8,0
最多的确实应该是3060,2023-03-17 03:34:09,0,0
去年笔记本卖了太多了,2023-03-17 02:00:32,0,0
是的，1060，1650啥的全都算一起了,2023-03-17 02:34:31,0,0
显卡驱动该更新了？,2023-03-17 02:57:13,0,0
画质调低点，如果是笔记本的话你去显卡设置里看看是不是没有调用独显,2023-03-17 02:57:43,0,0
我1650，巫师三我记得玩过一次，风扇起飞了[喜极而泣],2023-03-17 03:00:26,0,0
回复 @AzBelikeice : 显示器最好是ips面板144hzd的就行，600的f24g3就不错我在用,2023-03-17 04:25:18,0,0
12400kf加3060，闲鱼搞个二手144hz屏幕，加起来5000,2023-03-17 01:06:49,0,0
显卡3060ti 其他的自己缩缩减减就行[脱单doge],2023-03-16 20:26:45,0,0
确实，不说买卡，买游戏也得花不少钱吧，买几个游戏都快顶张卡的价格了,2023-03-16 04:24:56,3,0
还真是，现在这么多游戏流程长的离谱，谁有那么多时间玩啊,2023-03-16 08:43:29,1,0
凭营销洗你的脑[吃瓜],2023-03-16 02:43:41,1,0
实际上是超过95%,2023-03-16 16:15:38,1,0
这还丐中丐，纯凡尔赛,2023-03-17 04:31:00,0,0
回复 @时雨天华 :es的u还不丐？[笑哭]q0d8闲鱼1600淘的,2023-03-17 11:16:53,0,0
回复 @奛战神朱祁镇 :比我好[笑哭],2023-03-17 00:29:27,0,0
3060 i5-13400f 16g 联想的主板（应该差不多吧）[笑哭],2023-03-16 19:11:45,0,0
好像一样,2023-03-16 18:30:05,0,0
不应该啊，我 r7000的2020版本都不卡。,2023-03-16 13:38:54,1,0
也有可能是解码问题，不过这就不是我能解答的了,2023-03-16 13:09:02,0,0
同冰汽时代，rog魔霸2020，开场动画确实有点卡，不过游戏十分流畅,2023-03-16 11:50:15,0,0
