评论,时间,点赞数,标签
说实话我买过两个qcyt18 都是不到一个月就耳机充电口接触不良导致自己连着蓝牙 其中一个还返厂换新过 回来也是不到一个月就凉了,2022-11-10 10:23:54,4,0
qcy学生党的神,2022-10-02 04:24:31,4,0
京东一直没货，还是加60买了红米的buds4pro[笑哭],2022-09-23 05:49:21,4,0
和qcyt18比买哪个好啊，日常通勤用,2022-09-22 14:26:48,5,0
油耳会掉吗？qyc99元那款，我戴着一会滑落,2022-09-22 04:53:39,8,0
买过以前的款，很不好用,2022-09-21 12:40:52,4,0
"是主动抗风噪吗？还是那种靠物理设计的抗风噪
现在用的是万魔ehd9001ba，有点心动",2022-09-21 04:36:17,6,0
你平时用什么洗发水？,2022-09-20 10:44:44,4,0
真的这么丝滑吗？我的华为freelacepro都没风噪[热],2022-09-07 10:30:42,5,0
我买了这款，咋说呢，机身很大，戴着耳朵疼，降噪全靠把耳机使劲往耳朵里怼，不使劲怼我还以为没开，打电话是挺清楚，续航也可以，多的不用想了,2022-12-15 05:02:48,7,0
最近这种小号刷的怎么这么多,2023-01-28 15:19:51,7,0
这耳机买过一个的确不错，我觉的不好的是耳机放在盒子里面充电，时常还开着连着手机很麻烦，需要关了手机蓝牙才行,2022-11-09 11:53:30,2,0
有降风噪？,2022-09-07 10:54:34,2,0
这种的一看就是专门做推广的那种，产品什么的，是用屁股说，和广告的唯一差距就是在于他觉得自己不是,2023-01-30 15:01:38,7,0
这才是无线耳机该有的定位，他只值这个价。,2022-10-01 04:10:27,5,0
"在用这个耳机听的这个视频。
用了大概2个月，体验如下:
1、外形:造型设计大小合适，耳机偏大一点，带起来固定，但超过一个小时耳朵会有点小不舒服。
2、音质不错，中低的效果好。抗风噪功能吊打同级（用过同级耳机5款，这款这个功能最好）。
3、说说缺点:
耳机开盖之后，连接速度稍慢，大约两到三秒。
有极少数的情况，耳机关盖状态会连接到手机。
总结:确实可以，性价比极高，实用性功能好。",2022-11-04 15:48:35,31,0
怎么说呢，这牌子的耳机不行，拆开看看就知道了，跟oppo之类的手机牌子做的同价位耳机差距很大。花钱推广倒是不少,2023-03-21 05:20:28,3,0
qcy除了佩戴难受，没别的毛病,2023-03-07 12:26:40,3,0
看封面就是广告,2023-03-06 14:40:32,3,0
不太行，就这个链接买的，智商税,2023-03-03 13:20:17,3,0
红米的怎么样？,2022-09-26 08:02:18,0,0
这个吧，日常体验更好,2022-09-23 06:41:56,0,0
多少会有一点点，没事擦擦耳朵和耳机就好了,2022-09-22 07:06:22,0,0
油耳多少有点狐臭,2022-12-17 14:09:20,0,0
回复 @李宇春陶吉吉SHE :什么原理,2023-01-11 04:26:37,0,0
我的倒是很好，便宜耐操，用了快三年了,2022-09-22 15:08:24,0,0
是主动抗风噪,2022-09-21 09:37:33,0,0
看看价格和产品形态呐,2022-09-08 05:02:28,0,0
颈挂式很少有带抗风噪的吧,2022-10-02 11:35:43,0,0
回复 @名字什么的随缘辣 :别人都说以前有，后来更新几次固件就没了,2022-10-02 17:40:02,0,0
那不就是被动降噪了吗[喜极而泣],2022-12-23 16:47:40,0,0
有产业链的，花钱买评论。,2023-02-21 14:15:40,0,0
你把耳机仓充电触电擦擦，我听着像是接触不良了,2023-01-12 06:24:12,0,0
有啊，效果很明显,2022-09-08 05:01:58,0,0
降噪原理不一样么？[思考],2022-09-17 15:21:00,0,0
"回复 @逃避现实的小吴 : 这款做了前馈mic优化，20km/s你换别的风噪更大，你开环境声应该会好一些。
其实风噪分两部分，一部分是主动降噪收集外部声音，一部分是风吹在耳机上带来的声音，工业设计和软件优化上只能做到在一定程度上降低，比如说外壳优化、算法优化，不可能顶着大风没有声音的，不太现实",2022-09-19 03:58:04,0,0
"ldac：那我走？
动圈+动铁：那我走？",2023-02-01 05:04:02,0,0
那是因为盒子没电了，亲测,2022-12-10 04:04:04,0,0
确实，连接确实有点慢,2023-01-05 13:42:38,0,0
就是有点大，带着不太舒服,2023-01-07 04:06:39,0,0
哈哈哈，oppo只能说听个响,2023-03-21 15:01:19,0,0
是的呀，本来就是听个响,2023-03-23 15:56:04,0,0
这推广是真离谱，老推老推我今天第一次点进去,2023-03-24 14:37:16,0,0
支持电脑使用吗？,2023-03-05 15:28:45,0,0
人声降噪如何？,2023-03-13 08:29:23,0,0
我不是请来的，我之前买过，这个耳机性价比挺高的了,2023-03-18 14:54:44,0,0
支持电脑使用吗？,2023-03-05 15:28:45,0,0
人声降噪如何？,2023-03-13 08:29:23,0,0
我不是请来的，我之前买过，这个耳机性价比挺高的了,2023-03-18 14:54:44,0,0
