评论,时间,点赞数,标签
年轻人一般都不怎么爱看电视了，都是中老年人在看，看电视的他又不懂怎么弄？所以买一个二手机顶盒还是挺香的（此二手非二手）,2023-01-28 15:10:47,1,0
泥巴影院 值得拥有[doge],2023-01-27 13:04:20,2,0
那我不能直接找显示器厂家定制55寸显示器吗，还看锤子电视。外接微型主机当电脑用就行了。电视？电视都得他妈的给你打飞,2023-01-26 19:18:31,2,0
显卡需要什么规格,2023-01-26 16:10:04,1,0
你是没用过遥控器飞鼠的，我买了三四个，连Xbox手柄都试过，没有一个方便的。,2023-01-26 04:55:51,1,0
我也是用电脑连电视 这个是真爽 想看啥看啥浏览器安个gh油管也能随便看了 加上插件基本无广告 而且我也不打什么配合的游戏 屏幕大玩游戏是真的爽 趟沙发上用手柄 舒服 开关机用向日葵的插座 其实用小米的智能插座也OK 就是要设置电脑通电自动开机 然后机器多的话 类似我ps4 switch是共用用一个hdmi端口 买个hdmi切换器也就解决了,2023-01-25 04:14:04,4,0
不需要显卡吗,2023-01-24 11:43:51,1,0
[笑哭]电视有自带hdmi画质优化，怎么调都没用，用vga接口就没什么延迟了,2023-01-24 10:04:48,1,0
然而家里人你讲的再怎么仔细他们也不会弄 只能乖乖冲会员,2023-01-24 00:53:28,6,0
可以wifi投屏，带wifi的电脑是有无线显示器的功能可以连大部分互联网电视,2023-01-24 00:20:01,2,0
我直接一个moonlight，HDMI线都不要,2023-01-23 19:26:52,1,0
但是mac用hdmi连接上电视后，声音还是从Mac上发出来[笑哭],2023-01-23 11:46:55,1,0
模拟器叫什么，免费吗,2023-01-23 10:33:25,2,0
鼠标延迟，切换电视图像模式为游戏就好了[doge],2023-01-23 10:30:20,2,0
电视本身的延迟就会比显示器高  国产绝大多数都会在50毫秒以上 刷新率高了也不跟手,2023-01-23 09:35:18,1,0
我家电视4k60hz，最开始我也连上去有非常明显的延迟感，打游戏特别难受，后来去电视机设置里面开了个游戏模式，然后切到电视机主页再重新切回HDMI信号一次就好了。,2023-01-23 09:34:57,8,0
爱奇艺直接把HDMI接口禁了[doge],2023-01-23 08:25:32,2,0
直接串流不就可以了,2023-01-23 07:14:00,1,0
电脑用接电视好几年了，老早不用盒子了！也不用智能电视了！,2023-01-23 06:53:38,1,0
无所谓，我选择steam link[doge],2023-01-23 06:41:52,1,0
回复 @奇点的咸鱼 :没错😂是屏大，本来想之前用来打游戏当显示屏，但是一带画面带不上去，刷新率不够，才20多卡的跟PPT一样 ，我都是买一个没有广告的路由器，给老家装上,2023-01-30 13:47:26,1,0
对我来说看原生电视就是找罪受，不如自己捣鼓电脑下资源，电视顶多是个大显示器。,2023-01-30 03:33:33,1,0
能上40安时的电池和i9 XX9X0KS+RTXXX90的那种笔记本电脑[doge],2023-01-27 13:30:22,0,0
整新概念笔记本[doge],2023-01-27 13:28:55,0,0
看是什么片源了，一般的视频核显都能正常放,2023-01-30 03:57:57,0,0
不如无线键盘鼠标,2023-03-14 17:25:42,0,0
操作简单嘛,2023-01-27 13:28:31,0,0
空中飞鼠找不到,2023-01-29 12:34:25,0,0
在电脑上更改默认输出设备呀（不太清楚Mac可以嘛）,2023-01-23 12:11:48,0,0
有的型号不同的,2023-01-23 11:18:57,0,0
回复 @坐陆地观沧海 :不知道 我家的有 我瞎弄出来的,2023-02-02 15:33:59,0,0
一般电视都有游戏模式吗,2023-02-02 08:35:20,0,0
不是PC端，因为台式机本来就要靠HDMI输出到显示器，笔记本内置屏幕也有线连到主板，它爱奇艺没那个能力屏蔽除非放弃windows的客户,2023-02-07 12:20:46,0,0
【爱奇艺被曝禁止HDMI连线播放-哔哩哔哩】 https://b23.tv/nPQi7Uf,2023-01-30 15:57:11,0,0
我现在开着爱奇艺+油猴脚本接hdmi在电视上看，很稳啊,2023-01-30 10:29:20,0,0
