评论,时间,点赞数,标签
刚买的3060ti g6x[辣眼睛],2023-03-15 05:45:15,2,0
显卡电源有主板电源难拔插吗？,2023-03-15 15:10:36,1,0
一架A380托运着一箱箱A380，降落在A-380跑道上，此机编号为A380是货机，托运一堆A380[doge][doge][doge],2023-03-21 13:24:31,1,0
前情提要女生自用也太难绷了,2023-03-14 01:41:36,66,0
xx，广告越来越多...,2023-03-14 03:16:47,1,0
老公[草莓猫Taffy_害羞][草莓猫Taffy_害羞][草莓猫Taffy_害羞],2023-03-14 03:11:20,1,0
对于一个公司不满意那就直接不买他的产品，显卡搞得跟奢侈品似的，买普通的就行，没必要追求高端,2023-03-16 03:20:34,1,0
每日fx一次NVIDIA[抓狂],2023-03-14 01:42:06,3,0
[星星眼]买不起,2023-03-14 01:37:56,3,0
到现在都没玩过30系,2023-03-14 01:41:47,2,0
音音成分有点复杂啊[doge],2023-03-14 02:56:23,1,0
ATX3.0电源不到半年就过环境了,2023-03-15 07:29:24,1,0
女生自用一口闷[打call],2023-03-14 01:53:47,2,0
40系发布会还在带货30系，清完库存就翻脸不认卡了[doge]不愧是NV,2023-03-14 03:05:55,2,0
所以以后买不到30系了?,2023-03-15 00:38:50,1,0
啥意思 那我以后买3060ti还能买吗,2023-03-15 07:32:48,1,0
看到力天使这插头忍不住笑了,2023-03-14 14:56:38,1,0
吊图一堆,2023-03-14 01:41:45,1,0
这新的供电线是只用一根线就能解决供电不同的需求吗？如果是也太好了,2023-03-15 18:19:29,1,0
我还想等过两年高考完打两个月工换张3090[尼奈_难顶][尼奈_好玩吗],2023-03-14 10:59:32,2,0
你不会真信那帮b友说的吧，他们压根就不买，所以他们说翻新不翻新对他们又无所谓。就是纯找乐子膈应买卡的人。,2023-03-21 11:57:47,0,0
回复 @远野鄰 :我pdd买的超级冰龙，2750，那个店现在无货了,2023-03-15 07:36:14,0,0
老哥在哪买的，我也去看看,2023-03-15 07:33:47,0,0
是的捏[傲娇],2023-03-14 02:11:19,1,0
回复 @司尺音 :原来是音宝自用？还有这种好事[星星眼],2023-03-14 02:14:38,1,0
[猫雷Nyaru_ponpon][猫雷Nyaru_ponpon][猫雷Nyaru_ponpon],2023-03-22 10:06:20,0,0
[傲娇][傲娇],2023-03-14 03:45:23,0,0
[傲娇][兔年],2023-03-14 03:45:57,0,0
不能买，以为新卡估计要快卖完了，现在tb g6x的型号就没多少了。以后想买只能收二手的[doge],2023-03-21 11:51:49,0,0
我去年底在二斤的店买的影驰的60ti g6x，那时候影驰所有型号都有货，现在二斤店里影驰的已经卖光了。,2023-03-21 11:54:12,0,0
好家伙你打完工可以买4090了,2023-03-17 03:11:18,0,0
十块的劵，搞大点的劵啊,2023-03-14 03:12:48,4,0
这次是不是还没有报完？还有我的大饼呢,2023-03-14 03:20:08,9,0
回复 @得不到的永遠在骚动 :我pdd昨天140无线版没买,2023-03-15 05:45:18,0,0
十块的劵，搞大点的劵啊,2023-03-14 03:12:48,4,0
这次是不是还没有报完？还有我的大饼呢,2023-03-14 03:20:08,9,0
回复 @得不到的永遠在骚动 :我pdd昨天140无线版没买,2023-03-15 05:45:18,0,0
