评论,时间,点赞数,标签
寿命很短的奢侈品,2023-03-18 17:18:13,7,0
这种产品就是给有特定需求的人提供的，打游戏的去看台式机和游戏本，用不上独显性能的去看核显轻薄本，同样性能的机器没它轻便，比它轻便的机器没他性能强，轻便和性能都有了就要来喷续航和价格，怎么不上天,2023-03-19 04:32:56,6,0
我觉得幻x应该很适合我的需求，平时在家办公+外出办公，没有固定工位，主要工作就是讲ppt、写方案、写表格和开会，娱乐设备很多，手机，NS，PS5，XSX，因此不需要一台抬着玩的平板，但平时会用碎片世界玩一些像鬼谷八荒，暖雪这类小品游戏，纯粹的轻薄本用过好几台，带起来都比较费劲，所以就需要一个兼顾性能和便携的本子，本来优先想要幻14的，可惜不想等了,2023-03-19 04:14:38,7,0
说surface的我都不求你买过，但凡看过一眼配置,2023-03-19 04:27:34,5,0
I9加4060且这么高的性能释放配16G内存，只能说感谢华硕不坑穷人，让那些觉得16G内存够用的人尽情买吧,2023-03-18 07:05:50,21,0
rog的价格本来就贵，好像某些人今天刚知道似的,2023-03-19 05:40:32,3,0
阿猪，现在可是2023年，还12代，30系列显卡，梦回2022,2023-03-18 08:15:10,6,0
“堪比”，用上这个词的时候你们就应当知道是什么意思了,2023-03-19 03:32:42,9,0
这个本穷哥们不会买，富哥们更不会买，什么莫名其妙的产品定位,2023-03-19 03:40:48,5,0
这是恰饭期吗我记得暗号好像是,2023-03-18 08:47:58,4,0
看到性我就进来了，结果发现是在讲电脑,2023-03-19 03:06:32,4,0
成功打造出surface用户心中完美的surface,2023-03-19 02:35:11,2,0
"你们看的是笔记本吗，那是猪王的脑袋啊[doge]
我买了，只能说对应我的出行和使用需求，很好，而绝大多数都不要看也不要想，你用不到的，花这个钱也不值当。",2023-03-18 17:30:46,2,0
二合一这条路Windows软件生态属实不行，apple那边如果愿意下放macos到ipad将是绝杀（然而macbook的存在似乎断了这个念想,2023-03-18 05:28:41,31,0
二合一对于能耗比要求极高的场景，为什么用的不是能耗比更优秀的AMD的核显方案，而是吃电大户intel+NV独显？,2023-03-18 12:01:05,9,0
经常高铁上干活的，还是更喜欢指点杆，16寸的本也可以放在高铁小桌板上干活毫无压力,2023-03-19 04:17:46,2,0
这台机的需求肯定是存在的，只是CPU现在还得等7840，毕竟那些6800U的掌机或者微电脑都有不少人购买。,2023-03-19 04:07:40,2,0
最重要的续航怎么不测[辣眼睛],2023-03-18 06:23:00,10,0
我的建议就是千万别跟风买！嫌贵说明产品受众不是你！看看就得了，用不着没必要跟风买,2023-03-19 04:58:53,2,0
拥有游戏本的轻薄以及轻薄本的性能,2023-03-19 04:54:05,2,0
回复 @文宇今天吃哈姆 :贵是次要的，主要是性能太拉，办公都很难说用得了，也就看视频比较舒服了,2023-03-19 17:25:40,0,0
surface不是笔吧都吐槽吗，贵的离谱[笑哭],2023-03-19 04:28:41,0,0
我开三四个游戏有用不满16g，sw和catia同时打开也用不满16，像这种轻办公本，用16难道还不够吗,2023-03-18 08:44:56,9,0
回复 @水煮鱼我喜欢吃 :普通人足够用了其实，我反正够用。正常娱乐16G绰绰有余，但确实有需要大内存的，最近不是有好多拿去第三方改32G的么，有工作强烈需求的人自然能把这点挣回来,2023-03-18 09:41:41,7,0
回复 @水煮鱼我喜欢吃 :我之前设计的时候做装配图32G内存都能卡的怀疑人生，除非只打算用这个建库，不去做总装，否则16G对于办公来讲确实偏弱，不过这个形态本身也不是为了重度办公使用,2023-03-18 18:44:57,3,0
这玩意是个二合一啊，你能和上一代游戏本打五五开还不能证明这玩意性能释放很高么，对比数据除了找同代的比也可以找上一代的比，以此来表达性能的进步，这没问题吧，你和同代的比，直接去看游戏本的测评就行啊,2023-03-18 08:19:27,19,0
天天出差又喜欢装逼的小资喽[doge],2023-03-19 08:02:55,1,0
回复 @千面少女君丶 :关键在于爱装去买苹果，想玩游戏买游戏本或直接上台式，这种实在不伦不类,2023-03-19 09:38:34,0,0
产品评测是恰，茶谈评测是我们觉得好玩有意思的买回来自己玩的,2023-03-18 09:01:38,11,0
win端二合一的生态对我来说就非常合适，就拿surface来讲，我用它干平板的活基本只有OneNote做笔记，但是在笔电形态下我可以用他写代码。完美地满足了计科学生对平板的一切幻想。如果苹果愿意把macos下放到M1的pad，那就是降维打击了,2023-03-18 05:41:37,14,0
你用过最新下放到ipad上面的达芬奇就知道有多难用了，桌面端的ui不全改的话ipad也没用，更何况windows软件生态可比macos强多了,2023-03-18 06:05:26,2,0
回复 @biliURNE :二合一要的从来不是触控操作桌面端软件，要的是拿手里是pad，接上键鼠是pc。Windows生态强在游戏和工业软件，其他还真说不上比mac强（不考虑兼容）,2023-03-18 06:45:56,1,0
因为性能不够，AMD核显只适合掌机,2023-03-23 01:23:59,0,0
回复 @sunnyticker :至于空焊位，惠普都能把906克的模具做到5000元价位了，这么个1.2kg的模具还核显，而且你好像忘了7945HX核显只有2组cu，根本谈不上性能,2023-03-19 04:03:21,0,0
amd核显方案对应的是win掌机方案，用不着这么大体积，gpd和aya那边都是,2023-03-19 04:01:01,0,0
开头就测了啊，讲参数的时候说到电池容量就说了，后面离电打游戏的续航我也口播了,2023-03-18 06:29:39,19,0
标压cpu还要啥续航啊，能有4个小时就烧高香了,2023-03-18 06:32:16,5,0
这玩意大部分情景就是接一个手机充电头。放床上，使用手柄打游戏。小米那个67w充电头就支持65wpd供电。续航倒是问题不大。有能插手机充电头的地方就行,2023-03-18 06:59:37,3,0
