评论,时间,点赞数,标签
本来我steam和steam游戏都是安装在d盘的，就更新了个巫师3的补丁，莫名其妙的我c盘又多了一个steamlibrary的文件夹（为什么说“又”呢，因为我确定我d盘里已经有了一个，而且游戏也在d盘里面），用了我50G，c盘直接红了。然后我也删了c盘这个，多出来了50G。现在在d盘的steam和游戏都不受影响,2022-12-19 17:05:32,30,0
"%temp%
我有个疑问   系统卡是和系统文件多有关还是和 C盘大小有关，如果是和C盘大小有关 是不是C盘很大就不用清理系统了 ，我直接融合成一个盘得了  ，还有就是 如果系统的流畅度是和C盘存储空间相关，系统盘要预留多少空闲空间呢？     或者两个都有关系，那么系统直接上1T实在是浪费啊上个几百G就够了吧",2022-07-08 04:52:15,14,0
千万别学，我搞那个文件存储途径直接电脑稀烂，有话不早说，我真服了，直接电脑格式化了，书币up，妈的,2022-07-07 04:28:04,29,0
所以方法都没这个好用，C盘查找Tencent文件，删除，高达30多G，不信你试试[吃瓜],2022-06-05 01:01:30,33,0
"00:34 0.目录介绍
01清理系统缓存和临时文件
02清理系统更新后的旧文件
03更新桌面路径
04SpaceSniffer软件清理
05Oism++...",2023-02-27 14:42:43,5,0
qq自动给我存了100个G的表情包[微笑],2022-06-04 03:19:34,28,0
用过了，电脑开不了机了，完美[OK][OK][OK][OK][OK],2022-08-03 13:31:36,11,0
放你麻痹屁   桌面储存换位置   另一个盘所有的文件夹都在桌面上,2022-07-04 00:57:32,32,0
不分盘就不会满啦[滑稽][滑稽],2022-06-09 03:55:05,9,0
我还以为这种标题只有营销号会取，结果一看几十万粉...这是不给小白一点活路啊,2022-06-04 11:42:32,27,0
买个1tb的固态当c盘就不红了[doge],2022-06-04 05:31:51,9,0
注意封面《共10TB》[doge][doge][doge],2022-06-05 04:11:13,27,0
"别更改桌面c盘，千万别，不然后续又会不小心出现一大堆问题，不懂电脑就让它默认[哭哭]不然你就会成为下一个倒霉蛋

忠告！！！！",2022-10-17 03:34:23,8,0
真正占C盘空间是的C:\Users\Administrator下的AppData文件夹和Documents文件夹，你们可以去查下是否这两个文件夹占的内存格外大。如果查的确实是的小伙伴来报个道,2022-06-04 04:10:06,31,0
麻了100G的C盘，游戏没几个还装的D盘，刚配电脑一个多月C盘就剩24个g了[辣眼睛],2022-06-03 11:33:51,27,0
少玩点娱乐软件，多学习一下怎么使用电脑，如何更改安装路径，你的c盘也不会爆满的。每次更新或者下载软件请记得检查某个角落有没有让你选择更改路径[粽子]，一般都是默认c盘,2022-06-04 07:14:20,38,0
主要是不懂为什么游戏装在其他盘C盘会少空间，而且游戏卸载了C盘的空间也没回来，点名老头环游戏装在D盘C盘少了7个G的空间，有没有大佬懂的说一下[洛天依],2022-07-19 07:52:39,7,0
[妙啊]作为淘宝客服，公司硬盘只有120G每天都在清理C盘不然就是在清理C盘路上，永远删不完的缓存,2022-06-03 18:21:45,7,0
所以%temp%里的到底能不能删，弹幕全是很好.....的，但完全没人说结果会怎样，感觉像调侃，但又不敢删[疑惑],2022-11-26 00:49:30,6,0
"简单几招教你释放几十G空间，最有效的C盘清理方法

1、 清理系统缓存和临时文件
00:38 Windows 自带的清理功能
		① Windows + ...",2022-11-01 14:10:12,29,0
我超我也是，更个补丁他说我硬盘不够我出去看原来还有几十g的c盘只有6g了我人都傻了,2022-12-23 04:10:06,3,0
离谱，直接下载次代版也会被塞满[翻白眼]，还下到我C盘来了 。,2022-12-27 02:59:09,0,0
回复 @紫红蓝自行车 :我怀疑它是只下载2g，然后备份原来的48g，更新整合后，备份的它没有删掉，才会这样,2022-12-26 17:32:58,0,0
和硬盘好坏，后台有几个自启动全家桶有关,2022-07-10 03:57:20,0,0
回复 @dio_bi :这个我也试过了，还是不行，系统重装了,2022-07-14 03:48:29,0,0
腾讯表示很淦，但腾讯是真的恶心,2022-06-06 03:34:46,1,0
快说谢谢tx[吃瓜],2022-06-04 04:11:12,5,0
回复 @HVY工业 :不上学不上班吗，有些东西都是被迫用的，别人用你也一定要用,2022-06-04 09:23:53,3,0
回复 @HVY工业 :因为大部分人都在用？像是微信也很多人用，不然我都不会下载,2022-06-04 09:06:16,1,0
是不是误删了啥系统文件了_(:з」∠)_,2022-08-06 21:14:56,0,0
回复 @小凡爱疯玩 :真叫人心碎，折腾了两个小时，自己重装系统了[笑哭][笑哭][笑哭],2022-08-03 18:12:02,0,0
要新建个文件夹命名为桌面啊大哥,2022-07-30 04:40:22,7,0
有没有一种可能，这个方法确实有用，只是你没有操作好而已呢🤔,2022-07-28 03:49:38,7,0
暴躁老哥,2022-07-06 10:53:41,3,0
[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge],2022-06-27 02:14:19,0,0
"回复 @浮云木 :根本办法就是给c盘多分配点空间，下载东西别往c盘下。c盘爆满绝大部分原因都是你的一些应用默认下载位置都在c盘，比如qq,微信。很多员工电脑微信缓存文件30多g,也不会清，c盘空间分的也少，最多才分100多g，所以就算他们把他们觉得不需要的应用删完了，c盘依旧爆满。因为微信里你随意点开的图片，视频电脑也默认给你下载了，你觉得那些东西不重要，可有可无，但电脑全部都给你保存着，qq或者浏览器同理。总之就是少往c盘下应用，应用默认安装位置别设置在c盘。我c盘一直都空闲100多g。",2022-06-04 18:23:38,21,0
顶上去让更多的人看到这个细节[doge],2022-06-05 04:11:33,1,0
顶[妙啊],2022-12-17 11:03:21,0,0
顶顶顶[妙啊],2022-11-19 07:27:46,0,0
回复 @小葵啊薇薇 :姐妹，怎么搞[大哭][大哭],2023-02-22 11:07:42,0,0
回复 @杜肺肺 :我之前也是，后面跟着一个人弄好吗[星星眼]就改了一个数据就好了,2022-11-28 11:18:47,0,0
如果是要如何操作呢[抱拳],2022-06-04 04:57:23,0,0
[doge],2022-06-04 05:10:34,0,0
回复 @最近想跳舞 : 别听他的，这东西别删，你的浏览器记录，微信，qq所有的数据都在里面，包括你的浏览器插件等等，AppData是个人用户最重要的数据，相当于你使用电脑的数据库。,2022-06-19 13:28:27,18,0
用了1年，剩不到20G，刚把文档啥的转到D盘，现在剩22G，我也不知道为什么就莫名其妙剩那么点，我游戏啥的也都装在其他盘里，C盘我就没怎么动过，现在我在考虑要不要把C盘再扩个50G100G出来,2022-06-26 15:15:18,1,0
回复 @孤独一影 :可以看看你的文件存储位置，比如某些软件qq微信游戏等等，默认存储位置都是c盘,2022-07-09 06:59:28,1,0
一样，不理解，我的还是新电脑，才用了不到一个月，就剩二十几g,2023-02-23 17:54:08,1,0
感觉悬，从开始安装第一个软件到现在我都先设置的，结果还是该红红,2022-08-09 20:15:51,26,0
回复 @不会人话的兰斯洛特 :确实，每安装一个软件我都小心翼翼地配置安装路径，和默认数据存储位置。时间长了C盘一样被堆满,2023-02-28 02:09:14,2,0
回复 @伊鲁席尔直剑 :应该不是存档问题老头环存档也就几百m，启动老头环那一刻c盘就少了几个G，不过个一两月的时间那些空间就自己回来了理解不能,2022-09-16 05:43:19,0,0
因为游戏本体安装在d盘并不影响存档在c盘，并且存档是不会因为卸载本体而消失的,2022-09-16 02:13:06,0,0
我曹我也是  千牛京麦缓存更换为其他盘多整天彪红 奇了怪了,2022-06-05 02:25:02,0,0
今天删，明天就生成，治标不治本,2022-12-08 04:13:22,1,0
你过两天再进去抽一圈就会看到全回来了，前两步都没啥用,2022-12-08 11:53:40,1,0
"能,但是不建议,这本来就是临时缓存文件夹..系统会自动清理..完全不需要你手动删除..如果需要..请用系统自带的磁盘清扫程序(1分50秒那个程序)
如果你手动去目录下删除..并且出问题..那么..大概率重装个别应用程序..小概率直接重装系统",2022-12-14 23:20:30,1,0
我我我没新建移不回去了怎么办,2022-06-28 07:58:39,82,0
回复 @鲁智深倒拔西瓜秧 :我也是，咋办[笑哭],2022-06-28 09:03:17,26,0
我放弃了，直接把e盘空间减少到100g当作桌面储存空间了,2022-06-28 10:55:51,50,0
我我我没新建移不回去了怎么办,2022-06-28 07:58:39,82,0
回复 @鲁智深倒拔西瓜秧 :我也是，咋办[笑哭],2022-06-28 09:03:17,26,0
我放弃了，直接把e盘空间减少到100g当作桌面储存空间了,2022-06-28 10:55:51,50,0
