评论,时间,点赞数,标签
4060ti也是依托。[笑哭],2023-03-18 05:06:35,4,0
gpt4可以帮忙找片了？,2023-03-18 11:27:56,2,0
微软解散自己的部门关openai什么事？讨厌这种模棱两可的标题来吸睛[吐],2023-03-19 04:31:25,4,0
标题打错了[脱单doge],2023-03-18 09:36:03,3,0
这波我站微软[脱单doge][脱单doge],2023-03-18 06:59:39,3,0
狠狠支持一波，我这个用轻薄本的，都有点忍不住想买高算力卡了，花一定的钱能让我看我想看的，值[点赞][点赞][点赞][点赞][点赞],2023-03-18 06:53:47,5,0
哈哈哈,2023-03-18 05:02:18,2,0
标题打错了[doge],2023-03-18 09:40:25,2,0
签名----@ONE追风者 @KfW1p4B4B @捂脸123 @妖怪敲可爱 @只因你实在是太美北北,2023-03-18 11:18:11,2,0
微软：只要我没有道德，就没人能道德绑架我。,2023-03-18 09:48:03,3,0
我这边也是1播放,2023-03-18 05:03:13,3,0
微软：道德？什么东西，能赚钱吗？[doge],2023-03-18 05:45:21,5,0
砍显卡位宽实在是看不懂,2023-03-18 06:31:47,2,0
灭门级显卡,2023-03-18 05:03:27,4,0
[打call]音音的配图笑死人不偿命,2023-03-18 05:32:51,2,0
来点AI涩瑟,2023-03-18 07:18:44,2,0
想看的看不了，不想看的没人看，看的到和看不到之间的空间，就是天道。[妙啊][妙啊],2023-03-18 10:52:50,2,0
好好好，赶紧把对话限制加回来，升了gpt4后插件也不管用了,2023-03-18 07:53:00,2,0
求夸[保卫萝卜_笔芯],2023-03-18 05:23:24,16,0
色图自由时代来力[脱单doge],2023-03-18 05:21:31,3,0
（直球,2023-03-18 05:16:01,0,0
不能（直球,2023-03-18 05:46:06,0,0
你不能死啊,2023-03-18 05:33:26,0,0
爱你一辈子,2023-03-18 05:28:02,1,0
