评论,时间,点赞数,标签
键盘2100,2022-06-04 10:10:12,3,0
蹲一个网站链接 有发现记得踢我[妙啊],2022-04-10 09:13:16,3,0
细节，最后打响指取消后摇,2022-04-10 04:45:25,8,0
我会，，，，打响指[妙啊],2022-04-10 03:06:42,6,0
紫罗兰永恒花园[妙啊][doge],2022-02-26 08:54:27,10,0
我可以在手机上用九键打这么快[害羞][害羞][害羞],2022-02-24 12:31:36,6,0
微机课金山打字通，自己创一个文本，然后全文就一个字母或者数字，然后一直按，然后就超越全世界99%的人[doge],2022-02-24 08:28:55,7,0
求个键盘型号,2022-02-24 01:40:23,9,0
玩游戏怎么样,2022-02-22 21:42:05,7,0
金山打字通终结者,2022-02-25 13:35:27,5,0
这个Everest键盘可以的,2023-01-22 11:48:39,2,0
"好多人猜这个是rog的键盘，但其实并不是。
Clavier MOUNTAIN Everest Max",2022-09-07 16:22:50,2,0
不过如此！最后的响指我也能打嘛！（骄傲）,2022-08-16 11:08:55,2,0
哥们可以去玩大雪花加rush-E了[doge][抱拳],2022-07-18 14:04:34,5,0
舍友血压升高器,2022-06-09 08:06:48,2,0
谁知道他的键盘是什么吗,2022-03-20 04:20:27,2,0
这双手做ASMR肯定很好听,2022-03-02 00:09:05,2,0
自动人偶服务，无论在天涯海角，一定赶到为您服务[doge],2022-02-24 16:43:46,2,0
我打字也很快，摁的最多的是退格键[微笑],2022-02-23 21:34:56,5,0
敢问音游人否？[辣眼睛],2022-02-23 15:13:34,5,0
感谢的话可以给我视频点个赞，阿里嘎多,2022-04-10 15:46:05,3,0
www.monkeytype.com,2022-04-10 15:45:47,4,0
你把九键练的出神入化了哈哈哈哈,2022-02-25 12:24:14,0,0
价格两千[doge],2022-02-24 08:10:45,3,0
Mountain的Everest Modular机械键盘,2022-02-24 08:18:36,5,0
回复 @略画君 :收到 感谢万能的网友[大笑],2022-02-24 08:44:08,0,0
（ '▿ ' ）,2022-08-16 11:09:00,1,0
