评论,时间,点赞数,标签
个个都在说现在电脑不好卖了，都开始降价了，这不都卖得供不应求了嘛[思考],2023-03-21 02:37:31,1,0
别相信他 这兵总是ai合成的 真正的兵总已经被关起来了 这个ai坏他想让公司破产 我们要使劲买不能叫这个ai得逞[doge],2023-03-19 04:46:26,12,0
等我上班了，我一定去兵哥那陪电脑🖥️[脱单doge],2023-03-21 10:50:03,1,0
我来！,2023-03-22 19:26:12,0,0
。。。他现在工作这么饱和，出错的概率就会大，你们还这会儿下单。,2023-03-19 05:41:37,2,0
我一直有一个疑问，就是b站这个号是兵总自己在用吗还是客服在运营,2023-03-18 16:26:55,23,0
你以为着急要的不找你买了，实际是不着急要的全去找你买了，怕错过这个村啊,2023-03-19 00:30:31,11,0
大家别信我六点钟买的已经到货了,2023-03-19 22:31:16,1,0
看来还是有能力，不然早就关店。清清挤压的订单。再开了。[笑哭],2023-03-20 11:34:25,1,0
什么时候可以买配件啊,2023-03-19 05:45:04,1,0
突破日销了不来波抽奖？[吃瓜],2023-03-19 16:43:15,1,0
兄弟们，有组团去公司当面装的吗？！主打一个插队，要是不让插队兵哥管吃管住两天。[doge],2023-03-18 23:33:24,3,0
可以在你这拿配置表去别人家买吗？这样的话，不就一点那啥了吗，对吧。（我是相信淮阳易通的）[兔年],2023-03-19 22:11:03,1,0
还真有人找你？离谱,2023-03-19 12:28:19,2,0
别信他的，我10点下单，10点半就到手了,2023-03-20 03:39:52,1,0
主打一个叛逆，你不让，我偏不[滑稽][doge],2023-03-19 00:15:37,3,0
雇人啊,2023-03-26 03:30:59,0,0
兄弟们主打的就是一个叛逆[doge],2023-03-22 08:54:13,1,0
后面是铭瑄的小娃娃嘛[喜欢],2023-03-18 16:17:09,17,0
关注很久了，这情况就是大家信任你，还是希望你的品质能一直保证，也祝你公司越来越好，换电脑的时候找你！没错,2023-03-18 19:40:39,11,0
能卖多少取决于有多少流量呗，普通的店肯定难买，人家能把客源都抢到手里。其他店又不行,2023-03-21 04:57:07,0,0
哦？是吗？明天骑个电动车去看看[吃瓜],2023-03-20 10:31:36,0,0
回复 @三花淡奶本奶 :看见了一定要把他救出来[doge],2023-03-20 12:07:11,0,0
肯定是本人在用啊,2023-03-18 19:16:12,1,0
这是黄标，个人账号,2023-03-18 22:39:17,1,0
是他自己玩，但是他基本不咋在B站卖电脑，主要还是DY,2023-03-19 07:27:58,0,0
你还敢出来发视频，你真的是不怕明天直接突破今天的日销记录哦。,2023-03-18 22:31:26,37,0
回复 @洛天依乐正绫初音 :跪了[跪了][跪了][跪了]兄弟们太给力了,2023-03-19 02:28:47,2,0
你越难我越嗨[脱单doge][吃瓜],2023-03-22 09:29:57,1,0
你还敢出来发视频，你真的是不怕明天直接突破今天的日销记录哦。,2023-03-18 22:31:26,37,0
回复 @洛天依乐正绫初音 :跪了[跪了][跪了][跪了]兄弟们太给力了,2023-03-19 02:28:47,2,0
你越难我越嗨[脱单doge][吃瓜],2023-03-22 09:29:57,1,0
