评论,时间,点赞数,标签
推荐一下那个便携屏呗[脱单doge],2023-03-22 10:44:12,0,0
你干脆开个矿场算了,2023-03-21 15:52:19,0,0
大佬，开始的那个屏幕是什么啊,2023-03-21 15:28:43,0,0
换个显示屏嘛就可以玩,2023-03-19 19:06:52,0,0
前不久看见一个视频里学校电脑是4090的,2023-03-23 03:20:20,0,0
这个机箱叫啥名字,2023-03-19 18:56:42,0,0
记得上完课安回去就行，不然下个同学该骂娘了,2023-03-19 04:26:09,0,0
我在宿舍用3080，宿舍跳闸了[大哭],2023-03-20 17:12:40,0,0
我们学校i5 10代➕650显卡,2023-03-19 15:21:04,0,0
6,2023-03-19 08:50:59,0,0
这下不得不买了,2023-03-18 11:49:44,1,0
关注你了[热词表情_世萌双冠],2023-03-19 05:58:28,0,0
未来可期,2023-03-19 05:41:21,0,0
开挖！,2023-03-20 10:09:59,0,0
当贼好开心,2023-03-19 07:13:54,0,0
我的学校机房有规定，不能随意拔插设备，你的没有吗？有没有你这行为都哗众取宠。。,2023-03-19 16:00:28,0,0
袜，电脑牌子跟我一样耶，宁美是吧,2023-03-20 10:08:02,0,0
啥机箱电源呀,2023-03-19 01:30:27,0,0
啥意思，偷电？电很缺嘛,2023-03-19 14:42:33,0,0
我们这里都是自带笔记本[辣眼睛],2023-03-20 09:52:50,0,0
回复 @阿鬼ii :[呲牙],2023-03-19 09:47:25,0,0
这点素质还是有的,2023-03-19 08:06:29,0,0
对对 就哗众取宠,2023-03-19 16:07:14,0,0
除了这别的地方没插板所以偷天换日,2023-03-19 16:07:50,0,0
攻击性不如头像,2023-03-19 15:15:40,36,0
素质有待降低,2023-03-20 04:43:25,4,0
回复 @赤藓糖醇o_0 :头像有东西,2023-03-20 04:44:26,3,0
攻击性不如头像,2023-03-19 15:15:40,36,0
素质有待降低,2023-03-20 04:43:25,4,0
回复 @赤藓糖醇o_0 :头像有东西,2023-03-20 04:44:26,3,0
