评论,时间,点赞数,标签
虽然没中过奖，然而不能就这么放弃希望！那个主机真心好看！,2023-03-26 04:13:43,0,0
想问下大伙，为什么我才买的3070，玩lol中高画质，锁144帧，开直播会巨卡 掉帧特别严重啊,2023-03-19 19:23:12,1,0
有没有一共一千来块的U、板推荐一下办公用，只用打印和一些文档有推荐的吗？偶尔能玩一些网游的那种,2023-03-25 15:15:51,0,0
我要九块九包邮的！！！,2023-03-21 16:23:31,1,0
可以可以,2023-03-18 15:09:01,1,0
我！不！差！钱！我出9.9！,2023-03-21 07:35:44,1,0
女人，你用999，博得了我的笑容[脱单doge],2023-03-23 15:42:14,1,0
转发了，希望中一等奖[脱单doge],2023-03-20 05:33:51,1,0
重在参与，反正这么多年我也不知道我到底有没有参与[微笑],2023-03-20 07:13:25,3,0
999给我，我直接在您家买卡，[doge],2023-03-25 16:36:19,0,0
[doge]我不要，中奖了配件用不了，这不是逼我花钱组装一台电脑吗,2023-03-18 10:12:13,19,0
主机主机[喜欢],2023-03-19 00:28:35,1,0
建议下次抽奖多整点小玩意，ax211几百个几百个的抽，便宜不多花钱，还增加中奖率，风评蹭蹭往上涨[鹿乃桜帆_3Q],2023-03-18 10:15:19,10,0
听说发评论能中奖，我也试一试。[脱单doge],2023-03-24 23:39:21,0,0
要不再扇我两巴掌把 不然这价格我买的心慌[妙啊],2023-03-19 07:57:22,2,0
中了我把屏幕打碎吃掉,2023-03-18 16:14:19,1,0
感觉没希望了。,2023-03-18 12:57:12,0,0
中的大部分都是机器，真水友中奖的少之又少[呲牙],2023-03-20 03:21:14,1,0
有没有兄弟推荐几个还算良心的网店,2023-03-24 23:45:50,0,0
这个风扇是啥呀，还挺好看的，我也是这款机箱，打算买个同款,2023-03-18 10:44:21,1,0
散热，风扇,2023-03-19 19:48:53,0,0
回复 @砖与宅 :是不是水冷的硅脂干了,2023-03-19 20:00:08,0,0
你是懂焦虑的,2023-03-19 05:35:03,1,0
中奖了填我地址[傲娇],2023-03-19 23:19:14,1,0
回复 @绛烟笼 :可以，能中就好咯  0.0,2023-03-20 11:39:28,0,0
预约直播会有,2023-03-18 11:06:11,2,0
什么时间开奖啊,2023-03-19 00:42:32,1,0
动态不见了，笨蛋[鹿乃_生气],2023-03-18 10:09:07,4,0
链接怎么不见辣,2023-03-18 10:09:02,2,0
动态不见了惹,2023-03-18 10:09:08,2,0
动态不见了，笨蛋[鹿乃_生气],2023-03-18 10:09:07,4,0
链接怎么不见辣,2023-03-18 10:09:02,2,0
动态不见了惹,2023-03-18 10:09:08,2,0
