评论,时间,点赞数,标签
能有特供版就不错了，尖端科技真是一步落后步步落后,2023-03-23 02:11:04,37,0
由衷感叹nv真实太强大了，又担心一家独大，英特尔？AMD？你俩支楞起来啊,2023-03-23 04:01:25,38,0
评论区都太悲观了，该吃吃该喝喝，就算国内有这个，做到世界第一，大多数人也大概率还是现在的生活，该996还是996。不如让我们以一种乐观的心态去看待这次ai大发展，也算是见证历史了，好奇十年后会是什么样,2023-03-23 12:40:12,33,0
为啥不用这么强大的ai去解决美国银行倒闭的问题呢？英伟达应该可以赚这个钱啊？,2023-03-23 10:38:56,7,0
小型企业抢蛋糕，大型企业切蛋糕，超级企业造蛋糕,2023-03-23 04:06:04,22,0
🐰牙要咬碎了,2023-03-23 04:21:07,97,0
"突然想起一个UP说过的一句话，大意是，世界科技的最前沿在世界最尖端实验室里，我估计老黄早就预测到这局面。
最尖端的技术和科技最前沿的消息一直掌握在少数人手里，不知道他们眼中未来的世界到底是怎么样的，好想知道啊。",2023-03-23 11:08:51,5,0
挺好的，未来世界的雏形,2023-03-23 17:07:54,5,0
这不是一超，这是亿超。其他全部加起来都没这亿超强。,2023-03-24 04:15:59,5,0
幸亏byd辅助驾驶找的是英伟达合作，找华为才是掉坑里了,2023-03-23 10:07:50,4,0
这回算是玩家跟企业生产力彻底分开了，不知道是好事还是坏事,2023-03-23 04:24:58,15,0
你看看，AI目前最大的用途不就在评论区体现了嘛[吃瓜],2023-03-25 01:58:40,3,0
我记得狗皮黄的cpu之前坑了好几个硬件商？任地狱 巨硬好像都是受害者？[doge],2023-03-23 02:18:24,20,0
典，比不上世界第一就是一事无成,2023-03-23 14:18:11,8,0
人家有钱干这个。我们有钱在盖大楼，搞外卖,2023-03-24 06:04:24,2,0
一块AD102放4090里也就1599美金，放6000 Ada里直接卖到6800美金，还几块十几块一起买，这下知道为什么不在乎玩家了吧……当然，ToB的钱也是真的好赚……,2023-03-24 11:38:05,4,0
還好沒說是安卓時刻，太low了,2023-03-25 06:09:30,2,0
说白了，以后显卡跟家用只会渐行渐远，未来家庭娱乐中心正式让位给手机了。,2023-03-23 09:18:30,3,0
tree new bee[星律动_啊哈哈哈],2023-03-23 02:07:08,69,0
让你卷你嫌累，别人卷不出来你嫌废，笑别人没远见，半斤八两,2023-03-23 12:42:42,11,0
没用，AMD之前弱小的时候，intel就知道挤牙膏，挤牙膏的后果现在都知道了。intel在zen3出来后，一直走低，9代，10代，11代都被吊打，12代才基本持平，这时候AMD在干什么呢？也开始挤牙膏了，7000系要不是X3D，普通版真不咋样，提升不太大，关键是主板居高不下，再强没用啊，县城撕裂者直接打爆intel的HEDT，然后承诺更新几年的sTR4X结果因为intel玩不动了，也不更了；反观NV，7系到9系到10系到20系整整7年多时间，不管amd收购ati有多弱，都不会挤牙膏，7系到9系提升明显吧，9系到10系更是一代佳话；10系到20系即使价格提升也大，但性能没挤对吧；20系到30系要不是矿潮口碑好得多，amd也是这一代才跟上的。所以老黄不挤牙膏，目前这个赛道就还是他说了算,2023-03-23 04:48:28,39,0
"回复 @沉闷的城 :cuda生态是重点
算力谁都有,谷歌tpu就没有依靠cuda生态，但是就不如cuda发展好",2023-03-23 05:04:40,8,0
可能是经历了两次骗补，心灰意冷了吧,2023-03-24 01:06:36,2,0
悲观一点其实也没问题 ai带来技术革命也带来失业潮 很多人都会有被取代的危机感 那就不是996了 根本就不需要,2023-03-24 05:58:32,3,0
回复 @阿尼亞真可愛 :工业革命解放了很多劳动力，创造了很多新岗位，就像现在这样，长远来看是有利于职场的。话是这么说，但我们这批人恐怕也吃不到ai带来的果实了,2023-03-24 06:23:48,1,0
有没有一种可能，英伟达是卖硬件而不是研发ai的？,2023-03-24 06:12:20,1,0
因为ai做不到,2023-03-24 14:50:01,0,0
你怎么知道没用呢？,2023-03-24 19:51:09,0,0
不是卖大楼么,2023-03-23 04:30:39,0,0
回复 @沉闷的城 : 你说这个是超级企业,2023-03-23 10:46:52,3,0
不急，今年又开始大力棚改了[呲牙],2023-03-23 10:55:20,39,0
名字🐭，评价🐰，疯狂动物园是吧？,2023-03-23 11:29:59,20,0
现在还有兔兔啊,2023-03-23 12:43:19,4,0
头像和id配合的很好👍,2023-03-23 23:48:09,1,0
找英伟达才是错的，最后要杀死你在简单不过,2023-03-24 09:01:18,1,0
回复 @水电开发建设 :你以为华为就不会了[辣眼睛]，人家又不是国企,2023-03-25 11:26:23,1,0
要是真分开就好了,2023-03-23 05:50:34,5,0
