评论,时间,点赞数,标签
xdm，吃鸡双通道升四通道提升大吗？（双ddr3 1600升四ddr3 1600）,2023-03-22 04:51:02,3,0
"小白装机，大佬们帮我看看哪里需要改
CPU:13400散片   1188
散热:大水牛寒霜600 六热管 60
主板:铭瑄b760m终结者d4 wifi    789
显卡:讯景rx590 8g gme傲狼 过渡（后期换盈通6800xt花嫁）350
内存:金百达刃系列ddr4 8*3200  265
固态:七彩虹cn700 1tb  369
电源:大水牛金牌全模750w  310
风扇:大水牛*4  35
机箱:积至豪华版  67
显示器:熊猫ps27qd6  27寸ips 2k144hz   969
合计:4372",2023-03-24 05:41:55,1,0
电脑不懂，茅台的话还是懂点的，53度飞天500ml的回收价2750左右一瓶[呲牙],2023-03-22 10:10:42,2,0
下车兄弟萌[呲牙],2023-03-24 00:58:21,3,0
"显卡刚出就买了，还是买贵了[笑哭]
CPU	I7 13700KF	2600
主板	微星Z790 EDGE TI WIFI DDR5	2720
显卡	4070ti 魔鹰	6700
内存	芝奇幻锋戟 32G (16GX2  6000) DDR5	1430
散热	利民 AE 360水冷	330
固态硬盘	西数 SN 770  500G M.2	345
固态硬盘	三星 980 PRO 2TB M.2	1880
机械硬盘	二手WD 12TB 氦气红盘	775
电源	航嘉 800W 金牌全模组	555
机箱	航嘉S980 黑色	245
风扇	利民 TL C12C-S 黑色幻彩 5V 3把	75
总计		17655",2023-03-24 01:32:02,1,0
有没有大佬看看有没有什么问题,2023-03-22 11:56:38,13,0
搜人马就有了[脱单doge],2023-03-25 05:17:06,1,0
兄弟们一万亏了多少？,2023-03-22 07:49:53,12,0
"处理器：十二代I5-12400F
显   卡：耕升GTX-1660super 追风 6G
主   板:  华硕PRIME-H610-K-D4
内   存：雷克沙3200-2*8G 普条 16G
固   态：威刚S11-512G-NV协议M.2
电   源：先马24K-500W-金牌全模组
散   热：航嘉GX虎鲨240一体式水冷
机   箱：航嘉GX690H-
麻烦各位大佬看看 这个5000值吗？",2023-03-25 13:23:19,0,0
省流：8000+5000茅台,2023-03-25 05:25:36,0,0
费这个劲？4070ti新卡才5799,2023-03-22 08:11:37,4,0
玩pubg平均帧数130，附近没人或者场景没那么复杂能上300，怎么解决[大哭][大哭][大哭],2023-03-24 20:46:04,0,0
配置改动,2023-03-22 12:54:45,2,0
我也是人马哥 我能被UP气的胃疼  砍价这也太狠了 朝根上砍价[大哭],2023-03-25 08:06:03,0,0
[微笑][微笑][微笑],2023-03-26 03:41:08,0,0
这套配置看起来巴巴实实的，这开一瓶茅台倒进去鉴定一下茅台真假，顺便测试一下防水[妙啊],2023-03-25 02:17:58,0,0
挺近嗷[tv_doge],2023-03-25 09:50:43,0,0
确实是官方认证啊,2023-03-24 08:53:35,0,0
卧槽，惊了[笑哭]不考个数学博士都顶不住你绕,2023-03-26 04:05:20,0,0
[呲牙][呲牙][呲牙],2023-03-22 15:49:44,2,0
没有四通道，2条，4条都是双通道，4条延迟比2条高,2023-03-22 07:53:15,0,0
回复 @Azさま :那就是说没什么用咯,2023-03-22 12:12:30,0,0
固态不要用七彩虹，用致钛铠侠三星西数都行。,2023-03-25 12:52:57,0,0
回复 @泡芙会膨胀 :贵了，买不起[大哭]。有质保就行,2023-03-25 16:13:17,0,0
你好，会陪你打游戏的脑婆哪里找,2023-03-24 05:34:01,1,0
我原来也是想按照你这样装修的，但是我爸妈非得做个柜子，导致主机只有放下面,2023-03-24 07:13:34,0,0
人马，兄弟你这椅子感觉不错哎，啥牌子的,2023-03-25 05:17:58,0,0
技不如人，勇气可嘉,2023-03-22 12:27:14,7,0
多少钱啊这得,2023-03-22 13:44:03,1,0
与其花这钱上b760吹雪不如上个z690以上的普通一二线板 性能更好点还更便宜 当然你要是为了纯白的话那我也没得说,2023-03-23 06:59:34,0,0
你是不是XMP没开？,2023-03-22 08:37:13,3,0
你这个好像内存2667.。 是不是没弄啊。,2023-03-22 08:35:33,1,0
回复 @勿相忘镌于心 :3600的没弄[笑哭],2023-03-22 08:41:59,0,0
不值，你卡至少rx6600起步,2023-03-25 14:24:10,0,0
主板太烂了,2023-03-25 14:24:20,0,0
回复 @这份笑容由我来守候 : 谢谢大佬看来又被无良商家坑了,2023-03-26 00:54:43,0,0
5799你只能买万丽那块,2023-03-22 08:48:26,1,0
看牌子的哥们,2023-03-22 09:27:46,0,0
回复 @老猴子666 :对，但也不比别家的差啊,2023-03-22 10:44:29,0,0
内存频率拉高点，时序拉低点，你这是默认的吗？,2023-03-25 09:22:02,0,0
回复 @想个名字是真滴难 :破解了，我自己超频完还降低性能了，原来是另一根内存没插稳[捂脸][捂脸]，我是z z,2023-03-26 00:26:06,0,0
可以不配rog全家桶吗 这样能省不少钱的 主板 机箱 和电源换成其他一线品牌的（并且1000瓦过剩了）不如把钱花在显卡上,2023-03-23 07:11:36,0,0
？你这看起来像钱花刀把上,2023-03-25 03:59:59,0,0
回复 @不仅乌鱼还乌鱼 :3060ti你上4k屏？2k都够用了你上4k？你上4k屏不上4080或者4070ti？,2023-03-25 04:00:56,0,0
人机,2023-03-24 13:54:08,0,0
