评论,时间,点赞数,标签
[doge]突然发现这个适合那些还没买别墅却喜欢打游戏大喊大叫的主播,2023-01-13 13:59:47,12,0
希望做一个内胆可换的版本，可以放那种带润滑剂的配件,2023-01-13 11:04:20,12,0
每当出现超前的产品肯定会有很多人嘲讽质疑，随着时间的推移，一定会得到更多人的嘲讽和质疑。[doge],2023-01-13 10:15:13,12,0
笑死，像狗的那个防咬罩[tv_笑哭],2023-01-13 08:57:20,12,0
像防止狗狗乱咬人的口罩,2023-01-13 05:37:48,31,0
赛博口球😆,2023-01-13 12:50:44,26,0
就像戴口罩一样，不到5分钟里面全是水雾，闷的不舒服，而且时间长了肯定会损坏麦克风，还会产生特别大的异味，这个价格不如买一个隔音间。,2023-01-13 12:39:51,14,0
这个在16年我就在概念视频up上看到过了，没想到已经7年了还没发售,2023-01-13 08:49:07,26,0
“买个送给舍友”,2023-01-13 17:13:03,11,0
最佳用法：买来在家配上戴耳机唱歌玩,2023-01-13 15:27:36,32,0
感觉这是个划时代的产品：提出了这个idea想法，创意。未来顺利的话，通过不断迭代，外形和大小都会升级，也许还会发展出更多功能。就像最开始发明的电脑一样，巨大一个。,2023-01-13 15:00:20,11,0
其实我觉得这个设计更像是……大街上……养宠物的人……额……就是防止……额对吧,2023-01-13 09:18:49,31,0
再带个vr，直接负重训练,2023-01-13 05:36:13,11,0
我第一反应是把vr眼睛塞嘴上了[嘉然2.0_擦汗],2023-01-13 10:04:36,22,0
"纯半成品，第一，这玩意儿重量在那里，而且密闭，大小还不大，肯定会影响你面部肌肉的运动，体验不会很舒适的。
第二，一千多的价格是有些贵的，不是每个人都负担得起的。
第三，这玩意儿完全可以和VR眼镜以及耳机集成做个头盔，舒适度上会有很大的提升。",2023-01-14 01:54:12,21,0
感觉这个东西用不到一个礼拜里面就包浆了，全是口水和零食残渣[辣眼睛],2023-01-13 15:39:45,28,0
可能还会继续改良，我目前还是有这个需求的，再观望观望,2023-01-13 15:35:04,13,0
居然觉得这个创意挺好的，就是太贵了，来个中国厂家把价格打下来然后普及就好了，大大减少扰民问题[doge],2023-01-13 12:41:11,13,0
口水收集器,2023-01-13 09:18:48,13,0
我曾有想法要不要把家里所有墙壁都贴吸音棉，真的太喜欢半夜发疯了，一天不发疯就受不了[傲娇],2023-01-13 18:37:19,10,0
没毛是吧[doge],2023-01-15 06:25:26,0,0
逆天,2023-01-13 11:07:29,1,0
繃,2023-01-13 09:04:58,0,0
笑死我了,2023-01-13 12:59:04,0,0
之前看到有个up自已做,2023-01-13 11:53:20,2,0
有一说一我朋友玩游戏急了跟宠物的动静也差不多(｀・ω・´),2023-01-13 09:24:20,13,0
回复 @五尺半闲人 :我不是这个意思……额……好好吧,2023-01-13 09:26:00,0,0
约等于头上顶个水桶[脱单doge],2023-01-13 05:50:39,0,0
哈哈俺也一样[笑哭],2023-01-13 10:10:03,0,0
回复 @Guan_Baorong :看眼简介哥[冥冥meichan_优雅红茶],2023-01-15 18:24:31,1,0
那就得看这玩意是不是可拆卸内衬了,2023-01-13 15:56:31,1,0
看了官网，内衬可拆洗的,2023-01-15 10:53:32,0,0
义乌出品[滑稽],2023-01-16 11:16:05,0,0
这样的生活会不会很快乐2333,2023-01-13 19:54:27,0,0
