评论,时间,点赞数,标签
我喜欢听虚拟歌姬的歌，有大佬推荐推荐下耳机吗？顺便转接线也推一推,2023-03-10 11:56:11,0,0
up讲的好细，感恩，比较喜欢明亮人声的准备冲惊鸿了[原神_欸嘿],2023-03-09 17:15:01,0,0
我比较喜欢漫步者,2023-03-08 09:23:39,0,0
苹果耳机149我感觉不错 听久不会感觉耳朵疼,2023-03-08 07:20:54,0,0
我觉得最重要的是舒适。音质再好。带着不舒服。也不会带的。[笑哭],2023-03-06 06:58:04,0,0
低音加强讨大众耳朵，三频均衡并不好做,2023-02-13 13:24:29,6,0
原道酱，[大哭],2023-02-20 08:11:44,4,0
早知道还是原道d[大哭]b,2023-02-20 04:09:31,4,0
"小厂调音确实不稳定，别只看曲线，耳机是用来听的不是看曲线的，当然这确实是一个参考。不要指望 1000 块的秒杀 3000 的，甚至上万的，能比同价位好就不错了。
买过很多几百、上千、几千的 DIY 或小厂 耳机，但还是攒钱买大厂吧。",2023-02-26 08:09:58,2,0
kz edcx我建议人手一条 搭配aet07 五十元内无敌手机推就可以很好听,2023-02-13 13:14:14,2,0
头戴式的耳机推荐一下,2023-02-28 12:47:07,1,0
我觉得耳机 一是佩戴舒适（因为能用才是主要）其次才是音质 我买耳机一直都是先要舒适在考虑音质,2023-02-17 08:19:35,3,0
看测评买了个天使吉米zero，我自己听起来和原道没啥区别[笑哭]可能就是原道糊一些，但是感知不大,2023-02-13 12:43:06,4,0
up，惊鸿加x1pro听acg可以吗[脱单doge],2023-03-24 06:32:28,0,0
耳机动圈动铁差距很大的听习惯动圈试试动铁吧,2023-03-05 08:35:40,1,0
"推荐一个搭配，当然众口难调，你不喜欢也很正常
UA1pro+ kz zex pro+金银铜混编线+comply耳塞
这套我送朋友三套了，评价都很好",2023-02-24 14:06:38,2,0
69买了qcy t13。听个响就行了,2023-03-21 23:06:23,0,0
Kato加ua2，换了k线和sf套，现在很安逸[崩坏3_路过],2023-03-03 10:47:23,1,0
耳机T套是什么意思？有没有人解释一下，看卖耳机的加个T套就贵了一些[笑哭],2023-03-04 10:00:23,1,0
我个人挺喜欢final e1000的调音很大众佩戴很舒适，设计也很简约日常听性价比很高,2023-03-21 05:13:02,0,0
天使吉米ola加一条竹林鸟X1 pro就可以,2023-03-13 02:33:27,0,0
回复 @__cling- :好的，感谢,2023-03-13 11:20:12,0,0
相信我，冲就可以了,2023-03-13 02:34:43,0,0
H系列都是一些游戏耳机，所以听起来可能有一些拉跨,2023-03-13 02:35:26,0,0
苹果149，感觉完全就是智商税，半入耳你随便找一个都可以的，只是麦克风质量问题了,2023-03-13 02:36:12,0,0
首先我是自己把佩戴都试了一遍的,2023-03-13 02:36:50,0,0
对呀，所以我是结合主客观给大家推荐的,2023-03-02 07:01:04,0,0
有人吗,2023-02-28 12:47:17,0,0
预算多少？想听什么？,2023-03-01 05:05:07,0,0
回复 @1太可怜了京剧 : 请留下预算和听歌喜好,2023-03-02 06:57:50,0,0
我买了一个OLA BASS，还有一个MB21P的小尾巴，可能我是木耳，感觉跟我二十多的原道没什么大差别[笑哭],2023-02-14 14:51:09,0,0
回复 @米哈游是傻狗 :真假的，差很大的啊特别你还有小尾巴，音源问题？,2023-02-26 05:22:52,0,0
我听说动铁的鼓声有敲铁片的感觉[辣眼睛]不知道真假,2023-03-07 11:08:27,0,0
上4单元动铁啊,2023-03-07 15:28:01,0,0
回复 @莫斯科de陌生人 :很多时候你听到的音乐中低音都加重了，还原歌曲还是上动铁吧,2023-03-07 15:28:55,0,0
太贵了[doge][doge][doge],2023-02-27 07:19:58,0,0
就是天使家的耳机套，带上声音可能变好[永雏塔菲·1883_好的喵],2023-03-04 10:02:47,0,0
