评论,时间,点赞数,标签
包包打开有没有褶子,2023-02-23 09:07:18,0,0
联名的拼多多上不是有的是么[妙啊],2023-02-26 08:04:41,0,0
买耳机包送耳机啦,2023-02-21 04:55:33,0,0
我直接往我APP的充电盒上刻个爱莉的大头，还挺好看,2023-02-22 17:15:24,0,0
[doge],2023-02-17 12:22:07,0,0
只能说是大水鱼[脱单doge],2023-02-21 14:47:52,0,0
二次元的钱是真的好赚[doge],2023-02-20 10:56:04,0,0
买的可莉的耳机[吃瓜],2023-02-17 18:39:42,0,0
包卖么[doge],2023-02-17 13:57:57,0,0
纯包装好看,2023-02-17 02:11:20,0,0
第一批还没发货[笑哭],2023-02-13 06:17:38,3,0
[崩坏3·光辉矢愿_不可以看],2023-02-15 06:01:44,0,0
全网就我没收到货,2023-02-15 11:51:12,0,0
感觉做工不是太好呀[doge]，隔壁redmi联名那款好像399[doge],2023-02-17 04:33:46,0,0
虽然但是，这个耳机感觉最多200多合适，这个价格确实有些高,2023-02-17 06:31:04,0,0
这真能戴出去吗？[doge],2023-02-16 11:11:17,0,0
好看吗，可惜不在了[doge],2023-02-13 10:10:14,2,0
爱门[脱单doge],2023-02-15 04:01:12,0,0
你就说要不要吧[doge],2023-02-14 17:52:56,0,0
已经有AirPods了，为了爱莉还是买了一个[崩坏3·终焉归始_出击],2023-02-15 03:26:29,0,0
这就是个组装机，还能有做工，Redmi至少品牌兜底,2023-02-18 09:03:08,0,0
