评论,时间,点赞数,标签
请问荣耀earbuds3pro怎么样，荣耀手机，都没几个视频提到他[tv_笑哭],2022-06-14 15:50:09,11,0
没推荐bose的大鲨吗[脸红]，我秒入了还是想看看大伙的评价,2022-06-11 17:22:39,6,0
索尼音质确实还可以，但佩戴起来对于我来说很难受，退了买了漫步者neobuds pro，这玩意也支持ldac和lhdc，关键降噪也强，就是底噪比较明显，还有续航时间短，大概听三到四小时就要充电了,2022-06-07 05:53:26,6,0
为什么都喜欢降噪呢？有没有不降噪（省钱）的半入耳式耳机200以内推荐啊[跪了],2022-06-07 01:19:43,13,0
qcyt18yyds,2022-06-19 02:52:28,6,0
oppo enco w51一生黑，用着用着就莫名其妙的没声音或者断连，出现的频率我用下来少说也有几十次了，返修什么问题也没检查出来，说什么适配问题，可是我不是在一个品牌的手机上遇到这种情况啊，我之前用的qcy都没出现过,2022-06-07 11:33:19,13,0
漫步者NeoBuds Pro怎么样呢？主要用来听音乐，之前带的漫步者tws5，除了电池不行，其他能接受,2022-06-05 04:31:39,6,0
漫步者NeoBuds Pro怎么样呢？主要用来听音乐,2022-06-05 04:30:22,13,0
我买ikf我用了一年多了，性价比蛮好的音质也可以，连接反应也快,2022-10-31 05:44:24,4,0
百元的话OPPOencoair2就挺好的[吃瓜][鼓掌][鼓掌],2022-06-20 15:46:17,4,0
强推红米 airdots 3 Pro.,2022-06-08 08:58:27,10,0
"我可以相信我哥吗，618才买了encox2,然后刷到的测评视频风向就一边倒了，原本还在中上的队列，现在直接给贬到40名开外了，说的我个大怨种一样，真的是一边倒[大哭][大哭][大哭]",2022-06-20 19:12:14,10,0
搞半天我w51买来用到现在，22年也没能更换的耳机。太贵的不考虑，上千要音质我不如头戴，就出门打电话，偶尔听听歌，没想到没出更好的竞品。,2022-10-13 00:42:47,10,0
vivo tws2能防水，心动了[保卫萝卜_哇],2022-09-09 04:09:44,3,0
up 红米buds4和oppo encoair2这俩哪个好啊,2022-06-18 03:12:21,3,0
华为 freebuds 5i咋样,2022-06-18 01:35:24,3,0
别买红米Buds4，已经退了，就是红米蓝牙耳机给你加了一个降噪，老模具新卖，并且现在这个降噪还不行。。。建议加钱上4pro,2022-06-14 02:01:12,3,0
求一款能降噪佩戴舒适用来跑步的耳机，500左右[doge],2022-06-12 15:05:12,10,0
森海的cx puls和oppo enco x2怎样选啊[高考加油],2022-06-12 09:04:11,3,0
我买的qcyt17才57块钱，耳机可以听一天，充电仓我一星期充一次，降噪音质我对这个不敏感，听习惯了普通耳机搞个降噪我还不习惯，性价比高,2022-06-09 00:15:19,10,0
很好,2022-06-27 02:01:43,1,0
蹲,2022-10-31 05:28:49,1,0
蹲,2022-11-07 10:31:31,0,0
据说固件更新后降噪效果被腰斩了,2022-06-12 06:08:44,0,0
bose 现在在走下坡路，跟不上时代的牌子，头戴式都在下滑，入耳式根本没法排到t1队列,2022-07-07 07:30:01,2,0
之前入了qcy 用了一段时间今天戴头戴耳机发现声音明显不如以前清楚了 蓝牙耳机太便宜的还是别了,2022-06-12 14:38:31,2,0
回复 @甜野的金枪鱼炒饭 :去医院花一百做个听力检测，有问题要早发现早预防！,2022-06-15 08:46:54,2,0
200都能买一个不错的hifi耳机了，可是200最多只能买一个半成品无线,2022-09-21 00:58:54,0,0
怎么样呀兄弟,2022-06-23 16:08:14,0,0
音质如何,2022-08-23 08:55:18,1,0
回复 @煮酒笑看百媚生彡 :除了触控不好用其他都好,2022-08-23 09:03:45,0,0
neobuds电池其实也不咋地，开了LDAC短了不少,2022-06-08 01:08:27,0,0
"我认为这个耳机比较偏科
因为圈铁双单元导致耳机豆的部分非常大，刚买回来一个星期带的外耳阔疼，现在习惯不少了。
其次是低音方面非常出色，但高音人声方面只能说做到还原，而不像三星那样做的通透。整体感觉沉闷，如果你喜欢听低音那这个耳机非常棒。
耳机总体音质要好于华为小米这两家大厂，其他的没听过不敢评价。
耳机仓做工不错，我裸机使用，耳机壳在水泥地摔了三次啥事没有，耳机盖于下方也没出现错位，不错了。
耳机没有佩戴检测，使用的是蓝牙5.0而不是5.2，这两个点你需要考虑清楚是否需要。
耳机续航中规中矩，做到和其他品牌基本相同的续航。
电耳机仓是横开盖模式，想配第三方外壳套可能得用双面胶，我本人非常反感，所以裸机用，这一个小点也可以考虑一下",2022-06-06 14:57:53,12,0
"哦重要的忘了说
耳机佩戴的时候有时候会断触一两秒，有的时候双耳佩戴只有一个耳机会响，必须全放盒子里再取出才能恢复。平均三天会触发一次，会很烦。
骑自行车，时手机放口袋里，双耳机会经常断联一秒，非常不爽，还好我不经常骑车",2022-06-06 15:00:55,2,0
回复 @豆梓ヘ君 :你这是码率开的太高了吧,2022-06-06 15:30:10,0,0
戴久了耳朵疼吗,2022-11-30 03:09:42,0,0
容易掉吗,2023-01-21 13:23:24,0,0
ikf降噪也不错,2023-03-17 08:19:46,0,0
3pro哪个版本最好，现在最新1.1.1.1,2022-06-21 15:30:42,0,0
回复 @张美钰前男友 :啊，还有哪个版本？,2022-06-22 10:48:14,0,0
现在官网没货啊,2022-07-16 15:58:43,0,0
现在用着怎么样,2022-08-25 02:32:50,0,0
回复 @把心事藏进梦里- :送给别人的，人家说不错，不过不做参考，我自己没试过。,2022-08-25 18:24:58,0,0
回复 @把心事藏进梦里- :然后又买了一个索尼xm4.表示没问题,2022-08-25 18:25:28,0,0
降噪和音质怎么样，容易掉吗,2022-09-09 04:13:22,0,0
回复 @GIGI蛋 :刚下单，还没试[笑哭][笑哭],2022-09-09 04:29:12,1,0
我的掉洗衣机洗了一个小时坏掉了[疼],2022-11-27 16:55:09,0,0
OPPO好点，除非你是小米手机，同品牌适配好一点,2022-06-28 01:22:04,0,0
我也,2023-01-01 08:16:08,0,0
小米buds3pro才499耶[脱单doge],2023-02-13 04:53:00,0,0
驱虫药还是挺好的[笑哭]我之前两个蓝牙都是驱虫药的，都丢了[笑哭],2022-06-09 19:10:39,0,0
