评论,时间,点赞数,标签
喜欢半入耳式的，再有点主动降噪，不想见到耳机和盒有划痕指纹什么的，由于手机平板都是华为，又财力有限，就买的freebuds4E灰色,2022-12-16 13:40:16,3,0
[藏狐]想卖掉手上的x2加钱换金色流年了,2022-12-16 13:32:53,8,0
最后的对比，感觉oppo真强啊，vivo和索尼感觉丢失了好多细节，airpods和oppo反而更讨我这种木耳的喜欢[笑哭],2022-12-16 13:16:57,14,0
窜稀式更新[doge],2022-12-16 12:52:44,3,0
视频名字为什么是oppo,2022-12-16 12:46:43,3,0
Galaxy buds Pro一年半了杠杠的[脱单doge],2022-12-29 07:10:56,8,0
锐可余音sg01,2022-12-29 16:04:46,5,0
三星buds2pro[妙啊],2022-12-29 15:50:57,6,0
10个有九个都是用苹果的呗，还用问,2022-12-29 06:26:51,2,0
平时外出wfxm4，冬天实在太冷了就换whxm4当耳罩用。家用1am2重量巨轻还好推[脱单doge],2022-12-29 05:48:30,2,0
森海塞尔大馒头4，yyds！！,2022-12-27 01:43:20,6,0
freebudspro2协议上支持ldac，hwa双协议，硬件上跟enco一样是高低频双单元，软件上除了苹果唯一的真空间音频，连接稳定上通信起家，芯片是目前除了苹果最好的玄恒2700.,2022-12-19 02:50:15,2,0
"个人建议也做一期《UP主都用什么电脑》，大致内容简介如下：电脑种类是笔记本还是台式，品牌还是组装，一台还是两台。
因为好奇的是视频剪辑都是Mac吗？windows剪辑差吗？",2022-12-17 03:50:00,2,0
enco x2出吗？upppp[委屈],2022-12-17 02:51:52,2,0
为什么都是入耳式……这么小的体积音质会好到哪去，求懂哥指点,2022-12-16 21:43:30,7,0
19年用白条买的铁三角的ie40，还完白条就丢了[tv_思考][tv_思考][tv_思考][tv_思考][tv_思考][tv_思考][tv_思考]然后自从华为freelacePro出来后我就买了用到现在[tv_doge][tv_doge],2022-12-16 15:38:38,2,0
"realme buds wireless pro…
知道的人应该不多，一款颈挂式，重点是便宜还能有LDAC，降噪和通透模式。不过都不算顶尖。",2022-12-16 15:00:23,2,0
12分04秒是哪个up美女求告知,2022-12-16 13:10:21,6,0
最近一直在找耳机，这个很有参考价值[tv_点赞],2022-12-16 13:00:47,2,0
家人们 推荐个 安卓百元左右 无线半入耳  打游戏延迟低的耳机！  现在看中漫步者gm3plus   不知道有没有什么更好的选择,2022-12-16 12:56:26,2,0
我要等X3的新芯片,2022-12-16 13:49:03,2,0
X等x3[滑稽],2022-12-17 15:38:00,1,0
等x3，x2确实很不错,2022-12-16 18:19:56,1,0
OPPO的耳机，手表都挺厉害的，旗舰手机就。。。。。。,2022-12-16 15:40:54,4,0
回复 @昏以为期-明星晢晢 :有没有可能OPPOencoX 智能手表1代46 FindX2Pro都不错[滑稽],2022-12-17 15:37:33,1,0
回复 @大魔王-雷 : xm4我用sony官方的软件均衡器调 原声听着感觉比不调舒服多了,2023-01-03 18:53:46,0,0
我用的3想换4，三代实在有点沉[笑哭],2022-12-29 07:38:48,0,0
可算看到有个专业做耳机的品牌了,2022-12-29 05:45:49,0,0
剪视频什么的，现在的苹果优势巨大啊！贵肯定是贵了点，不过游戏区的up，肯定是windows平台多。,2022-12-19 05:49:02,0,0
LKS用的是WINDOWS,2022-12-18 12:26:55,0,0
应该会成《up主们各式各样的Apple》,2022-12-17 06:07:06,0,0
[妙啊]你也馋金色榴莲么,2022-12-19 09:09:58,0,0
蓝牙耳机追求音质你是认真的吗,2022-12-16 21:47:22,2,0
回复 @_昕のQ群管家 :我有线就一条kato，一条女巫，自从买了xm5我就没怎么碰了，入耳的声场头戴差的多了[辣眼睛],2023-01-01 17:50:48,1,0
首先入耳式耳机还有有线耳机，头戴式耳机还有蓝牙头戴式耳机，一般来说音质的话蓝牙入耳＜蓝牙头戴＜有线入耳＜有线头戴＜音箱系统，但你要知道，蓝牙耳机从来不是主打音质，都在于便携易用和降噪,2022-12-27 01:04:01,1,0
我用过这个 降噪和通透不错 现在换了encofree2 感觉调音不如OPPO 但是积分100%换的 要啥自行车,2022-12-16 23:18:08,0,0
那是羊驼老师的人吧,2022-12-18 02:07:21,1,0
回复 @数码晓风 :我还以为是up主呢[笑哭],2022-12-19 13:53:01,0,0
同问,2022-12-17 03:22:13,0,0
回复 @Fa道嗷 : 打游戏还是尽量用有线的吧,2022-12-16 13:00:30,2,0
推荐AirPods华强北版,2022-12-16 13:01:16,1,0
主要是用来打和平精英,2022-12-16 12:58:15,1,0
