评论,时间,点赞数,标签
纯事b，前面几个还有道理，后面几个人家用大耳机关你啥事，买多少块的耳机关你啥事,2023-03-05 10:08:09,0,0
我就乐意笔记本直插DT1990用，打游戏声音那叫一个真着。[妙啊],2023-03-11 06:34:07,0,0
头戴耳机蓝牙耳机我都有，有时候听歌就喜欢用头戴式的效果好，为了能插到手机上面，我特地买了转换器,2023-03-05 13:17:01,0,0
什么事b,2023-03-04 02:42:13,0,0
这些都不是事，最烦一些人说我用有线耳机，无线不好吗？,2023-03-04 12:01:47,0,0
喂，不要左右我可以吗,2023-03-04 02:11:17,0,0
ie900打游戏听声辩位最佳搭配[OK],2023-03-04 04:57:32,0,0
我的东西不会让别人用的  如果不是我的，他怎么用跟我没关系,2023-03-04 10:23:51,0,0
用自己的东西想咋用就咋用，没影响到别人就行了，管这么多呢,2023-03-04 01:27:54,0,0
vivox7我记得内置hifi处理芯片，那个旧手机推力就挺大,2023-03-04 01:26:35,0,0
喂，看见你就很烦可以吗[doge],2023-03-03 23:59:17,0,0
放下我的m9[doge],2023-03-01 11:40:34,1,0
[tv_斜眼笑]“妹子多来我店里坐坐可以吗”,2023-03-01 14:32:47,1,0
有没有吕布骑典韦的组合？,2023-03-03 15:30:13,0,0
"喂  不要这么讲行吗 
血压真的很高[doge]",2023-03-03 19:51:22,0,0
啊这，也很烦诶,2023-03-03 15:48:41,0,0
好想去蹭听啊，好想摸摸,2023-03-03 15:09:38,0,0
我用m7配原道[脱单doge],2023-03-02 00:04:20,1,0
这个背景一眼雷音,2023-03-01 12:11:00,0,0
你火了，我说的！,2023-03-01 04:00:46,0,0
你可以来我店里坐坐吗[墨镜],2023-03-02 03:40:28,0,0
吕布骑狗（吕布指的是原道[doge],2023-03-02 03:43:07,1,0
铁粉认证,2023-03-02 03:26:08,0,0
你成功引起了我的注意[妙啊],2023-03-01 08:49:08,0,0
