评论,时间,点赞数,标签
出必买,2023-01-30 16:08:25,3,0
你别说，真有点心动是怎么回事[傲娇],2023-01-30 15:49:46,7,0
还挺酷的，想买一个，出门在外不用说话都可以彰显ikun的身份[doge],2023-01-30 15:44:22,6,0
开庭的时候带上你的耳只因[笑],2023-01-30 15:45:06,7,0
虽然，但是，这个去掉肉群好像鸭子,2023-01-30 15:43:37,3,0
耳只因(指正),2023-01-30 15:42:14,3,0
入耳式的注定与我无缘[委屈]（悲,2023-01-30 15:36:41,3,0
完了，竟然觉得还挺好看,2023-01-30 15:21:01,7,0
快点出，我的钱包已经饥渴难耐了。[星星眼][星星眼][星星眼],2023-01-30 15:08:04,3,0
出了的话我把存了两年半的钱拿出来买[星星眼][保卫萝卜_哇],2023-01-30 14:35:29,3,0
如果能出一个可以别在包上的背带就好了[doge],2023-01-30 13:01:29,3,0
看似荒缪，实则合理[微笑],2023-01-31 13:10:55,2,0
可惜只能听一次,2023-01-31 08:55:42,2,0
可是这个视频我去年就看过了[藏狐],2023-01-31 07:58:06,2,0
开庭记得带上你的耳机,2023-01-31 07:16:34,5,0
狠狠的心动了[生气],2023-01-31 06:33:34,2,0
快出，我要买[大哭],2023-01-31 04:28:01,2,0
能给充电盒的篮球穿上背带裤么[doge],2023-01-30 17:07:53,2,0
充電盒還能再改扁一點嗎 這樣看起來空間浪費率還挺大的[脱单doge],2023-01-30 16:51:05,4,0
airkens爱坤耳机，你值得拥有[doge],2023-01-31 04:57:37,0,0
给你鸡喙你不中用啊,2023-01-30 15:44:46,1,0
入耳式不一定要入耳的啊,2023-01-30 15:40:23,1,0
可以做一个耳机保护套，上面中分下面背带裤,2023-01-30 13:47:01,0,0
好想法，让我想想怎么整,2023-01-30 13:06:01,0,0
扁了不就成橄榄球了吗,2023-01-30 16:55:46,0,0
回復 @GERA11 :但是已经扁了,2023-01-31 09:17:49,0,0
