评论,时间,点赞数,标签
"@抽奖原则:
①永不缺席[脱单doge]
②有奖必抽[脱单doge]
③一直不中奖[脱单doge]
④非常在意结果[脱单doge]",2023-01-06 09:15:54,1,0
许愿[未来有你_好耶],2023-01-06 22:32:14,4,0
好耶[童话系列·阿拉丁_奶思],2023-01-06 22:21:56,4,0
来了[冷兔宝宝_宝宝来咯],2023-01-06 21:45:33,4,0
"@抽奖原则:
①永不缺席[脱单doge]
②有奖必抽[脱单doge]
③一直不中奖[脱单doge]
④非常在意结果[脱单doge]",2023-01-06 10:12:10,1,0
"@抽奖原则:
①永不缺席[脱单doge]
②有奖必抽[脱单doge]
③一直不中奖[脱单doge]
④非常在意结果[脱单doge]",2023-01-06 08:40:20,1,0
"@抽奖四原则:
①缺席
②中奖
③放弃
④知道自己是否正确参加",2023-01-06 06:32:25,1,0
"@抽奖原则:
①永不缺席[脱单doge]
②有奖必抽[脱单doge]
③一直中奖[脱单doge]
④非常在意结果[脱单doge]",2023-01-06 06:06:08,1,0
杜比全景声只要有授权谁都能转 未来qq音乐之类的软件一定会大量出现所谓的杜比全景声版本,2023-01-05 11:10:02,4,0
"我来说句公道话,oppo的蓝牙耳机做的算是国产不错的，我用的enco free2用了一年多 当时三百块，确实非常好，降噪够用，没有底噪。风噪也控制的非常好（用过降噪耳机的都知道风噪很关键）。",2023-01-05 07:55:01,4,0
看完视频多多下单华为2代了[吃瓜],2023-01-05 03:52:09,14,0
我把话放在这，Enco x2爆杀所有国内厂商的耳机，尤其是卖600左右时刻，ko自家耳机轻轻松松[吃瓜],2023-01-05 05:51:39,9,0
"国内主流旗舰耳机，苹果，索尼，三星，华为算一档。
其他算一档，主要是耳机大多数受众的需求就是一二百块钱，各家旗舰耳机音质基本没有压倒性优势。
对于大多数人来说与其搞什么空间音频，还不如一个32降噪，有无线充电，然后199来的划算。或者99音质好一点来的划算，这俩价位耳机卖的最多了。",2023-01-05 05:39:26,17,0
"@抽奖原则:
①永不缺席[脱单doge]
②有奖必抽[脱单doge]
③一直不中奖[脱单doge]
④非常在意结果[脱单doge]",2023-01-06 08:34:32,1,0
补充一个点，Android13只是支持系统级环绕音与耳机端陀螺仪结合形成空间音频。手机端还得支持空间音频解码的能力，比如杜比。可不是所有安卓机都支持空间音频解码的。,2023-01-05 04:47:22,8,0
谁能讲一下空间音频的意义在于？,2023-01-05 04:59:21,5,0
小米buds 4pro不早就空间音频了吗，怎么它就是安卓第一款了,2023-01-05 03:13:30,12,0
我其实不明白只是听歌为什么需要空间音频,2023-01-05 06:44:25,6,0
BES2600，你猜它比其他家BES2700的旗舰便宜是因为啥,2023-01-05 03:01:08,6,0
半。。。半佛老师，不好意思，走错了，是厉害[tv_doge][tv_doge],2023-01-05 03:35:41,7,0
事实上是，QQ音乐好早之前就有了杜比的那个[喜极而泣]，网易云音乐的PC端也有,2023-01-06 04:59:00,0,0
回复 @一脚给我踹开线 :15小时前的评论预言已经有一段时间的东西，你让我刚刚有种时空错乱的感觉[笑哭][笑哭][笑哭],2023-01-06 02:32:45,0,0
妈的，神预言，现在QQ音乐出了杜比全景声版歌曲，但是得升级到超级会员[囧],2023-01-06 01:20:43,0,0
对的，ENCO FREE2也不会烂耳朵，用起来很舒服,2023-01-05 09:31:35,1,0
回复 @闻酒醉梦已十年 :三代那就得再过几年了，我喜欢晚买享折扣，嘿嘿,2023-01-07 11:58:47,0,0
回复 @若莲墨羽 :那还不如直接三代 我感觉二代和一代的佩戴一样略紧,2023-01-07 11:15:34,0,0
我等二代降到500再冲[滑稽],2023-01-07 10:54:04,0,0
想什么呢  oppo一加号召力没有那么大的   本来的独立品牌现在沦为主品牌的一个系列了   品牌的个性调性都不在了,2023-01-05 06:08:32,2,0
"回复 @形成贝多芬 : 品牌调性又不能当饭吃，有品牌调性的魅族和锤子现在怎么样了你又不是不知道。客观的说，我只是觉得这个耳机不行而已，和什么牌子没有关系。
一加11我觉得还是相当不错的产品。",2023-01-05 09:04:58,0,0
回复 @昨天没洗澡 :这里是说的tws耳机。,2023-01-05 10:55:02,1,0
"旗舰耳机，森海，boes,铁三角等传统大厂算一档，其他一档才对吧",2023-01-05 10:45:50,1,0
回复 @昨天没洗澡 :虽然我也用铁三角，但是显然咱们说的不是一套逻辑。,2023-01-05 12:47:01,0,0
感觉电影还是有用的，歌就算了吧,2023-01-05 05:19:27,2,0
感觉开了以后声场会大不少,2023-01-05 08:05:25,1,0
虚拟现实,2023-01-05 06:11:34,1,0
只要前缀加的多谁都能说第一,2023-01-09 05:20:58,0,0
"准确来说，小米buds3Pro已经支持空间音频了，但这与安卓没有关系，因为当时的安卓系统并不支持空间音频。

现在这个是安卓系统开始支持空间音频",2023-01-07 01:05:30,0,0
小米那个空间音频酷安上我还没看到过几个人好评，都不用那个功能，头晕,2023-01-05 03:50:41,0,0
一开始啊，你吃饭，是为了吃饱。然后，有一天，你开始挣钱了，你吃饭，是为了吃好。然后，又有一天，你挣到钱了，你吃饭，吃饱吃好已经满足不了你了，你要吃的有格调，于是你开始用华丽的碗（原声，高比特）吃饭。终于有一天，你挣到大钱了，以上都无法满足你了，于是你开始要在一个大房子（空间音频）里用华丽的碗（原声，高比特）吃饭了。,2023-01-05 06:59:49,3,0
回复 @你下载国家反诈APP了么 : 大可不必给我上课。我既有大房子也有小几万的音响。耳机听歌空间音频给我的感觉只会失真。,2023-01-05 09:47:56,1,0
回复 @你下载国家反诈APP了么 :挣到大钱了为什么不直接买独栋别墅享受hifi音响，还用空间音频算法干什么。空间音频抛开vrar领域，就是给没钱享受不到这些的人准备的,2023-01-05 11:01:33,0,0
这类东西各家也跳水，价格都会更低[doge],2023-01-05 03:21:20,0,0
这不是什么理由，人家依旧做的不差[吃瓜],2023-01-05 03:20:35,0,0
