评论,时间,点赞数,标签
长远看而已现在大多数都是考虑以后,2023-02-02 12:34:46,2,0
13700K+七彩虹Z690M+36008G*2+5700XT。DOTA2 10V10AI CPU大核跑满，小核60%，超线程2个,2023-02-02 12:32:35,2,0
"有些人根本用不上i7却买了i7。
有些人根本用不上i5却买了i5。
他们亏了么？也未必。
换个角度，现在看来“浪费”的部分，或许在三五年之后就有用了。
买完了就好好用。
没买之前要多了解。
不只是电脑，买啥都一样。",2023-02-02 12:28:52,44,0
12490+2060感觉打游戏时cpu在看gpu 笑话[doge],2023-02-02 12:25:12,2,0
"第1次装机大家帮我看看有什么问题
配置列表：
CPU  R5 5600六核十二线程 可超频 散片 738元
主板  华硕 PRIME A520M-K 399元
散热  天极风 A100两热管 无光 17.5元
内存条  科赋雷霆 海力士CJR DDR4 3200 16G(8G*2) 289元
显卡  RX6650XT8G蓝宝石 白金版OC 2250元
硬盘  西数SN570 1TB NVME 469元
电源  振华铜皇额定550W铜牌 329元
机箱  航嘉 暗夜猎手5 白色 83.5元
显示器  ktc h24t09 plus 699元
总共：5273.5
各位大佬有什么建议[抱拳][抱拳]",2023-03-05 07:01:42,11,0
"大家帮看看我的
安钛克HCG750W      
吹雪b760a主板+i5-13600kf     
宏基掠夺者 gm7000   7400m/s  1T   
七彩虹ultra w显卡  3070   
爱国者 月光宝盒 镜 机箱        
利民tl-c12cw-s风扇  3*2  
瓦尔基里360水冷      
宏基掠夺者 3600hz c16 b-die 8g*2
合计 10400",2023-02-02 16:54:56,4,0
老猿能不能测下2k/4K下哪个U带4090不瓶颈,2023-02-02 12:03:50,2,0
e3+588 还能再战5年[脱单doge],2023-02-02 11:07:08,2,0
我是r9 7950x配r9 280[脱单doge]都是r9，很合理,2023-02-02 20:20:09,2,0
13600kf配吹雪b760小板d4可以不[热],2023-02-02 12:34:37,2,0
5600+6600xt是性价比用户最优选择了,2023-02-02 12:34:29,2,0
12600k价格一直回不到去年618的价，倒是现在有2240的13600k，是等呢还是冲136呢？[露早GOGO_生气],2023-02-02 11:57:02,2,0
"CPU：5500
显卡：2070s",2023-02-02 12:30:22,2,0
第一次自己装机，大佬们来看我自己配的，帮忙给点意见。[嘟嘟],2023-02-02 17:56:09,7,0
"cpu：i3 -10100F 450元
显卡：gts610 45
鼠标：美加狮（Mad Catz）R.A.T. PRO X3，4000元
键盘：贝瑟斯小米(MI)同款蓝牙无线键盘，90000元（京东）
机箱：rog太阳神，1599元
内存：金士顿2666 4g 40元
固态：三星 980PRO SSD 2TB，2899元
主板：H410M 399
散热：华硕（ASUS） ROG龙神二代360一体式水冷散热器，50000元
鼠标垫：3.0XL电竞FPS高速玻璃同款鼠标垫，2589元
音响：索尼（SONY）通用Jarre AEROBULL XS法国斗牛犬音响，46008元
耳机：森海塞尔 HD820 旗舰HIFI耳机，35205元
麦克风：德律风根（TELEFUNKEN） u48，129990元
电源：圣普威 SC8310-20KVA/18KW（满载8个小时），118780元
发电机：玉柴机器 YC3025GF1 3891344元
一共 5499678",2023-02-02 21:36:04,55,0
8400配3060ti[doge]出现这种情况的原因很复杂。本来是8400配580后面矿潮把580给矿老板换钱用来升级到2k显示器。拿出我的r9 370（16年的老将）来打2kLOL。后面狂潮过去了4080的售价直接螺旋升天只能等4070在这个过程中老将倒了就只有买个3060ti g6x来充当过渡卡后面发现这个过渡卡还挺顶。现在开始攒钱准备来一波大升级[笑哭],2023-02-03 16:09:49,2,0
"求各位大佬看下我配的主机，程序员刚需，一点游戏不玩，但后续会跑很吃内存(所以想上64g)、cup和显卡的训练模型等程序，刚需，不知道cup用不用再升升？请大佬们看下我的配置，给点建议，准备618配这一套主机
无线网卡：COMFAST AX210vPro Plus 网卡   258
固态：三星1TB  990 PRO *2  2198
散热：利民 EX 360   579
机箱：追风者  999
电源：海韵 gx850金牌  1099
显卡：技嘉4070ti  6499
板u套装：i5-13600kf +华硕z790    4548
内存：雷克沙 ddr5 6000  16g*4   2038
总价：18200",2023-02-03 14:53:17,2,0
钱不够的话，cpu可以买好点，显卡买低一档的，因为cpu能用很久不淘汰（玩游戏的话），显卡基本3-4年差不多就得更新了，我个人电脑就是已经用了10年，期间显卡和内存在升级，硬盘在扩充，其他都没换，玩3a依旧跑的嗷嗷的[支持],2023-02-03 14:45:12,2,0
"cpu:13600KF
主板:微星z690-a
内存:金百达 刃3600Mhz 16G*2
固态:pm9a1 1T*2
cpu散热:瓦尔基里c360
目前显卡590
等4070ti再降降，攒钱攒到GTA6出来",2023-02-02 16:14:57,2,0
i5配1060，我觉得十分合理[doge],2023-02-02 13:45:40,2,0
换句话说就是怕性能以后不够用现在基本都够用,2023-02-02 12:35:35,0,0
cpu更新太快，3-5年后i3都比i7强了……电子产品还是未来的强，哪怕未来捡二手都划算，个人理解哈,2023-02-03 00:54:22,7,0
回复 @plu小鹏 :是的，我去年10月份也装机，主板买的b450i，才300。cpu 5600 740，非常便宜。唯独比较贵2000买了矿卡3070超龙x。所以装新机不一定要全新的配件，老一代或者二手其实也很好。时至今日我发现5500都够了，反正看需求来，没必要上最新或者旗舰,2023-02-03 04:42:12,2,0
回复 @疯狂的头哥 :我自己如果预算足的话，就尽量选一个上一代的高性能CPU，这样以后换显卡也好换[tv_doge],2023-02-03 01:28:01,2,0
建议换个好点的散热，你要用pcie3.0的话没必要上5600，上个5500就够了，不超频a320板子就行,2023-03-06 10:14:27,1,0
显卡考虑二手么，22年中后期生产的3070也2000出头，买个支持个人送保的，电源三百来块钱可以买长城金牌650w用来带3070,2023-03-08 22:46:56,0,0
除了显卡都挺旗舰的，可以看看6800xt,2023-02-02 17:50:29,0,0
1w就配合3070？认真？,2023-02-02 17:05:20,0,0
6600xt怕矿 6650xt稳一点,2023-02-02 13:51:05,0,0
电源焦虑症[2233娘_大笑],2023-02-03 11:17:27,3,0
回复 @爱此寒泉清此生逐水流 : 虽然700w就够了但我还是选择850w高枕无忧。,2023-02-03 11:38:42,0,0
显卡太豪华，后期亏的比较多，更多的时候，CPU好点比显卡好点，能更耐用一些，显卡贼好，CPU差点的基本都亏的慌，玩个游戏其实少那么几针可以忍受。,2023-02-03 12:04:42,1,0
好钢用在刀把上是吧[doge],2023-02-02 22:02:10,8,0
这是准备算登录月球需要多长时间？,2023-02-21 08:54:31,3,0
油费千万别忘了算，2200KW...一小时500L柴油,2023-02-21 15:34:20,2,0
回复 @天晴寺岚月 :谢了明白了老哥,2023-02-04 07:37:39,0,0
回复 @吃几顿了 :如果只是尝试，13600kf就已经性能过剩了。目前，程序员群体用10700（性能对标amd3800x或intel12600kf）的大有人在,2023-02-04 03:09:31,0,0
回复 @天晴寺岚月 :谢谢老哥，那我懂了，那我这套配置就可以吧？就是上i7还是i5我还在犹豫,2023-02-04 02:25:14,0,0
回复 @我超能摸滴 :卧槽 我还在这想要不干脆上137K    偶尔用用PR,2023-02-05 15:24:31,0,0
回复 @路明非M李 : 反正玩到现在就觉得  CPU真是配浪费了  游戏佬真用不到这种CPU,2023-02-05 15:15:43,0,0
回复 @路明非M李 : 哦对  忘了说电源了   我现在就是海韵GX850，我觉得绝对够  没问题,2023-02-05 15:14:15,0,0
"没说几代是1代是吧
[doge]",2023-02-02 13:48:26,0,0
