评论,时间,点赞数,标签
香个屁，pdd铠侠不香？买这种十八线小厂，颗粒是长江的那主控呢？,2023-01-25 07:26:37,8,0
友情提示，发货超级慢，已经等了20多天了，商家没啥信用度。,2023-01-02 08:22:15,8,0
一个能让友商不断电不发生火灾等各种意外的神奇存在[笑哭],2022-12-31 17:44:07,14,0
我感觉到最后都是买自己星座的了，根本不看其他的[脱单doge]反正我如果肯定这样,2022-12-31 13:27:57,7,0
我永远买不到推荐视频的价格[无语],2023-01-01 01:58:02,7,0
非常好固态 pdd买最便宜[嘉然2.0_变身]刷果园85券,2022-12-31 13:06:57,7,0
怪了，怎么三个平台都搜不到达墨[doge],2023-01-02 06:08:08,3,0
我倒是比较关心寿命,2023-01-01 00:48:05,3,0
快递刚收到铠侠rc20，刚装上机就看到了这期视频[跪了],2022-12-31 16:57:46,3,0
昨天刚买了个512G200元的七彩虹固态，今天就看到你这个视频，现在感觉我好亏啊[热],2022-12-31 13:14:52,7,0
买买买！所以买什么品牌的更好呢？达墨吗？,2022-12-31 12:00:49,7,0
现在但凡是国产的品牌下面都有玩烂梗的，真绝了[捂脸],2023-01-04 02:23:09,18,0
感谢长江存储让我用上更便宜的铠侠西数，至于说为什么不买致钛，等价格低点再稳点不掉盘再买。为什么不买便宜的达墨？等你用过过之后掉盘就知道了，还是想说，数据是第一(虽说有定期备份)，稳定是第二，性价比才是第三，速度嘛，连铠侠rc20打游戏都没有区别，当然是放最后了,2023-01-15 09:54:28,7,0
我就是一打游戏的，性价比才是重要，反正我游戏盘又不放重要文件，哪怕有天硬盘挂了对我来说也是无所谓的，主要是价格香,2023-01-01 05:31:32,12,0
达墨不是掉盘很严重么？,2023-01-18 14:52:37,5,0
长存的工艺还是可以的，用先进封装技术，在制程不占优的条件下，做出来不错的颗粒,2023-01-02 06:15:43,5,0
国产硬盘加油，现在能买到越来越便宜的三星海力士了[妙啊],2023-01-02 02:05:14,5,0
天秤座在哪里才能买到呢,2022-12-31 10:18:26,6,0
@达墨官方 [doge],2022-12-31 10:11:21,17,0
夹带私货了属于是，星瞳立牌是吧[吃瓜],2022-12-31 15:26:44,11,0
@全体成员 @全体成员 发货有问题的，订单号私聊给我，我叫客服那边处理一下发货，如果客服说发不了那就只能联系去补差价发顺丰或者顺丰到付了（到付补4元），以后群里售后问题也找我处理,2023-01-06 05:20:47,0,0
客服发的,2023-01-06 05:21:00,0,0
我也是等了半个月没发货一进群问才知道快递在我这停运了换的顺丰3天就到了,2023-01-06 05:21:50,0,0
那达墨在第五层,2022-12-31 13:33:00,0,0
回复 @生之如舟_ :那十二都没满呢买屁,2022-12-31 13:58:14,0,0
白羊路过[滑稽],2022-12-31 17:08:07,0,0
我去淘宝旗舰店看了一下1T500多💰,2023-01-01 02:23:42,0,0
回复 @评论区就是三观的碰撞 :这个可以　西数570 770了,2023-01-06 13:57:18,0,0
[東雪蓮_美妙],2022-12-31 13:07:51,1,0
我也感到奇怪，明明我一搜就搜到了，为什么评论区好多人说搜不到，会不会是被大数据了,2023-01-02 06:10:54,2,0
"PDD搜索栏把商品改成店铺，再搜达墨数码科技
TB店名叫topmore达墨数码旗舰店
JD懒得去看了，目前前两个只有白羊座有售，2T无券999",2023-01-02 06:54:12,2,0
pdd星座系列都没了，淘宝，京东还有,2023-01-03 13:12:15,0,0
"矿老板给你验证过了
970ep在寿命跑完的时候致钛还剩一半
矿老板很喜欢致钛  知道致钛寿命有多长了吧？",2023-01-01 01:03:24,4,0
矿老板+美帝，双重认证。,2023-01-01 01:41:58,8,0
回复 @前面的腿收一收哈 :这款又不是正片，能一样吗？,2023-01-01 03:58:51,1,0
我听说铠侠rc 20发热量比较大，所以只能支持国产致钛5000（笔记本），但看到这个视频，我也不知道说什么好，只能自我安慰，原厂封装会比较好吧！,2022-12-31 18:40:22,0,0
回复 @往生迷迭 :我337买的rc20 1t，我感觉比这个达摩好，谁天天跑测速逼固态发热哈，我还买了散热贴,2023-01-01 03:19:23,2,0
凯侠，原厂，比这个肯定稳定好用。。[笑哭]一分钱一分货,2023-01-01 04:09:08,2,0
血亏了,2022-12-31 13:36:03,1,0
大概三百四十多就可以买到长江存储的金百达1t固态了。而且还随便买。要到拼多多叠一下果园卷,2022-12-31 14:30:38,0,0
七彩虹的是真的比较差,2022-12-31 18:33:08,0,0
最纯正的长江颗粒在致态，但比较贵，便宜的第三方就达墨吧！,2022-12-31 12:02:32,6,0
致态正经原厂,2022-12-31 14:23:04,3,0
不带脑子是这样的,2023-02-16 17:18:30,0,0
"掉盘检查你5v供电，Adia64传感器5.14v
才是合格，还有真掉盘是你换如何一个设备都不可能在识别了，如果重启又好，就是5v",2023-01-16 05:20:33,1,0
太火爆了，被买光了，等补货吧（不过我猜长江库存清完以后也没这么便宜的价了）,2022-12-31 10:25:18,3,0
回复 @生之如舟_ :感谢  不过看了一下双子也很够用了  已下单[doge],2022-12-31 10:31:13,1,0
回复 @生之如舟_ :什么平台有卖,2023-01-04 08:39:00,0,0
[百变星瞳_豆豆眼],2022-12-31 15:36:38,0,0
➕1[脱单doge],2023-01-07 13:09:49,3,0
[百变星瞳_好好好][百变星瞳_好好好][百变星瞳_好好好],2023-01-16 03:25:05,1,0
484号修星星，三连奉上[百变星瞳_好好好],2023-01-28 11:32:01,2,0
➕1[脱单doge],2023-01-07 13:09:49,3,0
[百变星瞳_好好好][百变星瞳_好好好][百变星瞳_好好好],2023-01-16 03:25:05,1,0
484号修星星，三连奉上[百变星瞳_好好好],2023-01-28 11:32:01,2,0
