评论,时间,点赞数,标签
你这卡不行风扇都不会转，50包邮解君愁[吃瓜],2023-02-11 14:38:19,64,0
我这个1050也是一样的画质，我和你换😭,2023-02-13 04:12:16,6,0
开个空调吧，别给显卡冻着了[doge],2023-02-12 05:55:58,19,0
TNND，都4090了还不知道自带的录屏么[tv_doge][tv_doge],2023-02-12 07:44:51,15,0
喔，重装机兵，有生之年不知道能不能玩到新的续作[怪我咯],2023-02-12 12:28:31,8,0
打游戏最好的配置：朋友,2023-02-12 07:22:19,14,0
开着法拉利干滴滴也不过如此。,2023-02-12 13:15:13,9,0
你这个显卡不行，带不动这个游戏，显卡都卡死了，风扇都不动，这样吧，你V我50，我拿我的960跟你换[doge],2023-02-12 12:27:09,11,0
马上啊，马上就开学了，寒假室友整了套4090的高配电脑，放弃了跟我一样的2080笔记本，马上啊[doge]开学就体验下4090,2023-02-12 12:29:08,14,0
4090：一天天冷死了,2023-02-12 11:37:05,10,0
显卡风扇都不动的，指定坏了，20包邮[doge],2023-02-11 21:47:55,12,0
你这风扇怎么不转啊，我这人好心，寄过来我帮你修修，修好了给你寄回去[doge][doge][doge],2023-02-12 08:22:16,16,0
玩扫雷啊，谁玩这不吃配置的游戏,2023-02-13 13:06:08,8,0
显卡不转，肯定坏了，我收,2023-02-13 09:55:29,8,0
来觅长生，贼上头[doge],2023-02-12 10:31:50,8,0
"4090玩这个[吃瓜][妙啊]

这游戏不得1w帧[吃瓜]",2023-02-13 08:31:32,9,0
很多豪哥都这样，顶配就玩个斗地主啥的[笑哭],2023-02-13 13:57:02,7,0
我估计现在4090打暗黑2重制版也可能卡死[doge],2023-02-11 16:13:58,71,0
给显卡盖个被子吧，不然等会它都着凉了[doge],2023-02-28 11:18:17,5,0
真喜欢打游戏的不在乎用的什么什么电脑，当然太低了也不行，作为从小霸王时代一直摸爬滚打过来的，画质在我看来真不重要，这东西人一旦接受了高帧率，就再也回不到以前了，你看什么东西都感觉怪怪的,2023-02-16 13:00:49,5,0
回复 @创伤小组小队 :行 让给你了，up寄给他吧[doge],2023-02-11 16:04:28,1,0
胡说！这是风扇转速太快摄像头捕捉不到（参考直升机），这就是4090的含金量！,2023-02-11 14:53:40,1,0
回复 @跟女娲造人 :我不信！除非up用手指碰一下[doge],2023-02-11 16:03:59,0,0
和显卡有关系么[doge],2023-02-14 00:28:50,0,0
自带录屏怎么录机箱里的风扇呢？[doge],2023-02-12 07:50:55,1,0
回复 @淡然汪汪 :[脱单doge],2023-02-13 20:21:05,0,0
不是被赛马娘的公司收购了么，听说那个公司挺有钱的，应该能做出来,2023-03-15 11:42:46,0,0
2080笔记本不行了呀 50包邮解君愁,2023-03-06 00:25:28,0,0
夺笋啊,2023-02-12 12:43:57,0,0
4090:我他么感冒了快点给我送医院去,2023-02-12 11:51:59,1,0
我出100别跟我抢,2023-02-11 22:35:09,0,0
喂喂喂，你这算盘珠都蹦到我脸上来了[脱单doge][脱单doge][脱单doge],2023-02-12 08:24:21,0,0
扫雷这东西，我4090Ti也就那么三十帧吧[脱单doge],2023-02-17 06:09:10,0,0
帧浪费[吃瓜],2023-02-13 09:38:15,1,0
别说，我之前3090ti玩辐射4无限闪退或卡死，最后我拿三号机1231v3+1070ti玩的，然后特别稳[笑哭],2023-02-11 17:05:10,8,0
回复 @百事の可乐_ :b社特有祖传引擎,2023-02-13 05:33:28,1,0
回复 @百事の可乐_ :老卡对老游戏优化好吧,2023-02-11 17:14:47,1,0
得看你玩啥游戏了，极致肯定不用追求，不过不重要也不至于[doge],2023-02-17 16:53:37,0,0
动态壁纸 wallpaper engine创意工坊里搜arch bridge,2023-03-04 08:31:18,2,0
回复 @百事の可乐_ : 这种游戏直接用核显吧，没必要上显卡[滑稽][滑稽],2023-03-07 10:51:52,0,0
游戏名叫啥,2023-03-08 02:13:09,0,0
动态壁纸 wallpaper engine创意工坊里搜arch bridge,2023-03-04 08:31:18,2,0
回复 @百事の可乐_ : 这种游戏直接用核显吧，没必要上显卡[滑稽][滑稽],2023-03-07 10:51:52,0,0
游戏名叫啥,2023-03-08 02:13:09,0,0
