评论,时间,点赞数,标签
我1T的固态硬盘240元比2.4寸机械都便宜。而且还是TLC的长江存储。香爆了,2023-02-22 02:04:12,178,0
2T固态600块钱...真哭了，之前买了个1T的还花了我800...感谢长江,2023-03-09 08:00:10,4,0
18年1月买的内存条和18年11月买的128G内存卡[藏狐]后面是今年1月买的内存卡和固态，感谢国产,2023-02-23 15:31:21,52,0
号称国货之光的致钛、光威已经比金士顿、西数贵了，固态迭代那么快，一个系统、缓存、游戏盘，根本不用考虑寿命，正常使用3年5年都不会写报废，nv2、sn570才是首选。,2023-02-22 14:31:17,35,0
视频咱也看不懂，谢谢吴彦祖直接告诉我买哪根条，买哪盘固态就行了[脸红],2023-02-22 05:45:05,35,0
今年是显示器与存储产品历史最低的时刻，感谢国产,2023-02-22 05:43:18,38,0
每次看都觉得自己大冤种,2023-03-17 17:21:14,3,0
[脱单doge],2023-03-05 02:48:53,27,0
我身边买固态的，我都推荐国产了，尽力了[笑哭],2023-02-22 05:42:56,15,0
苹果表示，不可能，我的是金子做的,2023-03-11 12:49:49,4,0
打算下半年组一台电脑，有必要现在先把内存和硬盘先买了吗？有点担心下半年价格回涨,2023-03-05 05:55:16,2,0
"三星：你猜猜看我还有没有0E？[滑稽]
南亚：我D5工厂当场扩建，不仅扩建我还要扩招员工。",2023-02-23 13:33:23,5,0
三星这公司其实有点绑定韩国国民了，就是行业下行时候，加注吃份额，靠体量和韧性耗死对面，很多被整死的私企就是这样，你再nb，怎么跟半个国家的力量对抗。我在三星上班，电池行业萎缩的时候订单缩减百分之60以上，那时候公司很惨淡，一般正常私企这时候很多都应该扛不住了，但是他这直接靠财力加倍，升级了一遍生产设备，翻修了一遍建筑和环境，然后等行业上行的时候，又支棱起来了。。,2023-03-10 01:31:06,8,0
想想18年的那个价格，8g的dram竟然要699[辣眼睛]这是跌的剩了个脚脖子,2023-02-22 02:21:38,70,0
也就国产显卡不争气，要不显卡功劳就是国产而不是矿难了,2023-02-25 03:41:28,5,0
内存和ssd倒是不贵，但是占整机大部分预算的板u卡却越来越贵了。pc持续低迷不是没有道理的。,2023-02-24 12:30:56,7,0
我用的是致钛，但是长储裁员坑人的手段真有点太[藏狐],2023-02-22 05:08:52,57,0
xdm，我打算618组一台台式机，都说最近这存储是历史价格最低，要不要近期购买啊？,2023-03-15 11:22:06,2,0
我去年买的致钛，支持国产,2023-03-11 05:34:07,2,0
