评论,时间,点赞数,标签
"3090性能比3080提升15%，售价比3080多了一倍还多。
4090性能比4080提升30%，售价比4080多了30%。
黄狗真有你的",2022-11-15 14:11:14,11,0
老袁这期视频感觉是被充了，说话很不负责任，越高端的显卡就应该有更高的溢价，拿顶级卡当标准，按性能算钱，那30% 4090性能的显卡时不要卖到3600以上呢？,2022-11-15 16:02:54,73,0
你说性能和价格成正比，可是3080和3090的性能差距不大但价格差了一倍啊[辣眼睛]老黄这……,2022-11-15 14:48:19,13,0
省流：不如4090,2022-11-15 14:01:58,51,0
我次奥 太尼玛贵了 这不就是逼着玩家清库存买矿卡一样吗。次奥 老子受不了这个委屈 不买 接着等！,2022-11-15 14:40:39,10,0
我只希望多降点价[doge],2022-11-15 14:01:36,26,0
11月16日晚10点，七彩虹将在京东、天猫、抖音、快手等电商平台及线下授权零售经销渠道正式以现货发售或预售的形式同时上架多款iGame、战斧GeForce RTX 4080显卡，感兴趣的小伙伴不要错过哦[给心心][给心心],2022-11-15 14:10:11,65,0
省流：4080的性能约等于4090的73%[doge],2022-11-15 14:08:47,25,0
本来就一个商人，厂家的饭也要吃，用户粉丝的吆喝你也要赚，脸皮厚点那也无所谓了关键还要给自己立客观中立人设，两头吃不怕有天会撑死啊,2022-11-16 06:28:42,104,0
省流：amd yes[doge],2022-11-15 14:04:45,32,0
我是看了一圈发现了，自家卖机子的up都说4080好，不卖机子的都喷贵了，这是为什么呢？你意思不就是不管性能再好，价格贵你们这帮b不会买吗？,2022-11-17 10:18:24,9,0
以前看视频一般不会点赞也不会有过多的想法，就当图个乐，除非整活挺好会来个三连，这次是只想👎,2022-11-16 11:41:02,32,0
装机猿果然是为了tb店脸都不要了呀,2022-11-16 04:33:29,22,0
4080官方耍猴价:9499[脱单doge][脱单doge],2022-11-15 14:12:03,20,0
标题就离谱，4080性价比不可能比4090高，4090对比3090只涨了1千，3080拥有82%的3090的性能价格只有5499，4080直接涨70% 4千，想砂仁,2022-11-16 02:33:00,19,0
"我还是那句话so，nvidia，fxxk you
🖕🏻
 ╰[微笑]╮
    ╭┴╮",2022-11-15 20:50:45,8,0
有1w买4080的富哥不买4090一步到位买这个干啥。5k的80系才符合有点性能追求的中产,2022-11-15 14:44:00,19,0
预测：7900xtx是4090的80%[doge][doge],2022-11-15 14:41:39,8,0
"就记得之前有人问要不要买3060啥的，然后一堆人回复别急，等40系显卡。
我当时还以为大家说的这个40系显卡，是3060价位的新显卡...",2022-11-15 14:30:07,19,0
省流：等yes[doge],2022-11-15 14:10:24,8,0
回复 @游戏加加可以开启fsr :但凡玩过高压高分辨率场景也不会说出4090只比4080强百分之30不到这种话，装机猿是拿了多少钱，在这为4080做广告？在强调一遍，4080这种卡在4K甚至某些游戏高压力2K的时候，低帧拉夸无比，4090直接甩开一个次元，完全不夸张，4090能有70帧，4080直接40帧，甚至和3090TI都差不多。以后除了汤姆硬件这些专业显卡网站，再也不会相信装机猿。拿着钱说话良心呢？,2022-11-26 09:11:52,0,0
哪有，大概10%,2022-11-16 07:29:04,0,0
回复 @通天太师 :不就光追和光栅么,2022-11-15 23:57:46,0,0
"什么等级的卡，应该卖多少钱，是谁定价？
“应该如何如何”……
显卡发布两年应该降价，降了么？
躺平就完事儿了。
还充了？AMD充的么？在4080测试里给它家7900XTX宣传？",2022-11-15 20:31:30,10,0
不是说了猴年吗[doge],2022-11-15 18:33:58,2,0
说实话看了这期视频，蛮无语的。,2022-11-15 17:02:46,3,0
"本来就不正常。
正常一般是中端显卡做基准，按一分价钱一分货，那么走性价比的中低端可能一分价钱1.2分货。
而旗舰定位本来就是高端富哥专供，通常都是三分价钱两分货这样。拿华硕当初30系耍猴价举例，tuf3070 4499，rog的5199。以tuf为基准，那么rog的价格多了15.56%，实际性能差距能有5%吗？但这就是正常情况下中端和旗舰的差别。
然后老黄这次绝了，以旗舰4090作为基准，中高端4080和4090性价比几乎完全一样，这难道不是定价有问题？正常来说4080性价比一定要明显高于4090才对。所以现在给4080洗的，不是蠢就是坏。这定价就是智商检测，坑怨种的。",2022-11-15 15:41:09,7,0
回复 @奥兰治的胡胡 : 建议老黄穿越回去重新开发布会4080卖2w得了，反正摩尔定律已死,2022-11-16 15:06:22,0,0
回复 @stevejeep :老黄不是说了摩尔定律已死，不会再存在用50%的价格买到80%的性能的情况了吗？明显是老黄认为30系的定价是不合理的。,2022-11-16 11:22:25,0,0
TD,2022-11-15 14:09:56,1,0
回复 @旅店下的约定 : 省流：如果4090一张货都没有才会考虑4080,2022-11-15 15:17:00,0,0
回复 @梵高先生414 :省流：性能和价格成正比，进一步应证4090没有发挥出对应流处理器的实力。,2022-11-15 14:26:11,0,0
NV耍猴 必不可能再买[吃瓜],2022-11-15 14:14:36,0,0
"4090火神首发14999，第一波涨16999，第二波18999，现在20999，我都给你记着呢。
4080水神刚刚看15999。",2022-11-15 15:23:31,27,0
这里宣传新显卡，我该说你什么好。[藏狐],2022-11-15 14:27:35,24,0
4080交个朋友,2022-11-15 14:14:31,10,0
回复 @Lv6-Lv1等于 : 极客湾测出来比3090TI强21%，是4090的71%,2022-11-15 15:15:42,1,0
回复 @Lv6-Lv1等于 :相当于120%的3090ti,2022-11-15 23:36:21,0,0
回复 @Lv6-Lv1等于 :大概提升25%～30%这样,2022-11-15 14:17:44,0,0
别瞎搞了，到时候商城上架指不定谁是猴,2022-11-15 17:06:11,2,0
按照英伟达的操作手法，产品线里性价比高的产品，大概率会“耍猴”，要不然会影响4090的售卖了。,2022-11-15 14:37:39,0,0
82%？你哪里的数据？大概87%到90%,2022-11-16 07:33:00,2,0
4080性价比的确是比4090高，但是不影响这俩都是溢价货,2022-11-16 10:33:44,1,0
回复 @麓铭大岳丸啊 : 你是对的，记错了，平均85-89%,2022-11-16 08:06:34,1,0
回复 @通天太师 :你想啥拿1万月收入都不算中产,2022-11-15 19:43:17,2,0
回复 @绝地枪旺 : 上海、北京的人均月收入是8K左右，中位数都在7K以内，你这个4万5是哪来的[doge][doge][doge],2022-11-15 17:00:13,2,0
额  4090比4080贵了至少4500  刚问了一套配置下来 1万8  就是4080  五一打算要上了 现在买3080ti我怕全是矿卡就只能上新卡了,2023-02-22 13:11:47,0,0
超级加倍没想到吧[脱单doge],2022-11-15 16:05:28,0,0
[滑稽]所以他这个定价合理是吧,2022-11-15 22:18:32,300,0
华硕肯定充了[doge],2022-11-15 23:34:45,91,0
回复 @鼬永远的神 :那你可以说Tony大叔也充了，B站总部离华硕Tony大叔才几公里啊？[妙啊],2022-11-16 06:24:50,10,0
[滑稽]所以他这个定价合理是吧,2022-11-15 22:18:32,300,0
华硕肯定充了[doge],2022-11-15 23:34:45,91,0
回复 @鼬永远的神 :那你可以说Tony大叔也充了，B站总部离华硕Tony大叔才几公里啊？[妙啊],2022-11-16 06:24:50,10,0
