评论,时间,点赞数,标签
"得认真一点，59的1t tiplus5000？
这种错误怎么能出现。",2022-11-08 12:51:32,0,0
"求各位大佬帮忙看看，以下均为京东自营价
需求：主要玩原神 地平线 都市天际线 其他3A也偶尔玩 想学Adobe全家桶
U：i5-12400F 盒装 1279
主板：华硕Prime H610M-A  629
显卡：铭瑄 RTX3060-12G 电竞之心OC  2549
内存：雷霆科赋DDR4 3200 8x2  375
硬盘：西数蓝盘SN570 500G  309
散热：利民AX102R SE  69.9
电源：振华铜皇550W  299
机箱和显示器（目前暂定KTC H27T22  1199）不确定",2022-11-08 02:47:30,0,0
"纯小白第一次[星星眼] 大家帮忙看看
cpu ：r5 3500x 
主板：微星 b365m 
内存 ：金百达ddr4 
固态 ：雷克沙nm610 
显卡： 1660s七彩虹 
机箱 :    机至 复兴号 
散热器：乔思伯 cr1400 
风扇：先马静音冰洞2.0 
电源： 先马 刺客500w",2022-11-07 06:20:49,0,0
有大佬推荐下2500到3000带核显的配置，后期升级7000系显卡么,2022-11-06 23:41:41,0,0
"我这一套大佬看看
cpu 12代i3 680元
显卡 影驰1660s 6g 二手 685元
内存 光威天策dr4 8*2 269元
固态 盈通m.2 256g+1tb机械硬盘 138元，机械自己有
电源 先马余晖550w 149元
主板 华硕h610-k 519元
散热 ax120r se 66元
机箱 天启 69元
显示器 剑齿虎f3 749
总共2724元
能玩战地一，五，荒野大镖客2，永杰无间，绝地求生吗",2022-11-06 11:16:55,0,0
"兄弟们
I312100 f和6600xt
I512400f 和6600
选择哪个比较好",2022-11-06 08:40:52,0,0
后期扣鸡腿,2022-11-05 09:18:39,0,0
"CPU 13600K盒装
主板	微星pro z690-a d4
显卡	观望4080
内存	阿斯加特弗雷BDie D4 3600 16G×2
固态	宏碁掠夺者gm7000 1T
电源	长城G13 1300W
散热	瓦尔基里C360黑色RGB水冷
机箱	包豪斯o11d黑色
风扇	棱镜2代黑色3正3反
这套不带显卡7000+贵了吗，有没有能调整的",2022-11-05 09:12:41,0,0
京东搜索 天天领红包390 领红包再购物,2022-11-05 07:53:15,0,0
[鼓掌]7900 xtx怎么配,2022-11-05 04:38:34,0,0
1000价位段，上e3 1230v2平台，板u还能省200多,2022-11-05 03:31:40,0,0
"大神们帮看看
板u：12100f+微星h610m爆破弹 1035
显卡：卡诺基2060s8g 921
硬盘：铠侠rc201t 415
内存：金百达银爵32008g*2 238
散热：利民ax120rseargb 55
电源：长城x5 550瓦 322
机箱：先马s1 123
风扇：利民c12c*2 39
网卡：ax210天线 99
合计3247",2022-11-04 14:45:05,0,0
"显卡 铭瑄电竞之心3060 （2300）
cpu 12100f ➕ 主板 华硕 h610m-a （1300）
电源 振华铜皇550w （300）
内存 金百达ddr4 3200 8g×2幻光rgb (370)
硬盘 西部数据 sn570 1TB SSD固态硬盘 M.2接口（NVMe协议） （580）
机箱 追风者360A
散热 雅俊b3 
我这套有啥适配方面问题吗[脱单doge]",2022-11-04 14:39:54,0,0
"大佬们，帮我看看这套咋样，感谢！
CPU : AMD 锐龙7 5700X处理器8核16线程
散热: 雅浚Basic3 B5 6热管 ARGB
主板: 华硕 TUF B550M- E DDR4主板
内存: 美商海盜船复仇者16G36008G*2
SSD : 西数SN770500GB M .2 NVMe PCle4.0
电源: 鑫谷 Segotep AN650额定650W
机箱: 动力火车 PowerTrain 魔盒3
风扇: RGB 风扇x3
显卡:华硕 RTX3060 锯齿鲨
总计:5600",2022-11-04 07:50:43,0,0
"大佬帮我看看这套可以吗？
CPU：i5 12600KF
主板：华硕TUF B660M-PLUS D4（2850）
散热：瓦尔基里C240一体式水冷（390）
固态：铠侠RC20 1TB M.2 NVME（480）
内存：美商海盗船DDR4-3200MHz 8G✘2（390）
显卡：七彩虹RTX3070TI 8G战斧豪华版（4000）
电源：长城G7 额定750瓦 80plus金牌全模组（620）
机箱：航嘉GX580H黑色+4个风扇（290）",2022-11-03 17:45:28,0,0
我是11400f加3060ti，航嘉wd600k电源，能用吗？,2022-11-03 16:46:55,0,0
你这个价格买不到啊,2022-11-03 15:34:22,0,0
主玩游戏是5700x重炮手1950好还是12400f迫击炮好，不会cpu超频,2022-11-03 14:57:29,0,0
up在淘宝上有店铺吗？,2022-11-03 13:42:17,0,0
现在买N卡3060不得是矿？,2022-11-03 13:03:49,0,0
这代微星的爆破弹真不行，推荐华硕的h610m-a,2022-11-04 17:42:23,0,0
固态贵了吧，400这样可以买到了,2022-11-04 17:46:19,0,0
