评论,时间,点赞数,标签
老猿这个主板设计的非常独到。针对追求性价比，但不盲目追求低价的用户。解决了市面上绝大多数H610的问题，更贴近现在用户的需求。毫不吝啬地说，DIY历史上可能都会留下老猿的一笔。唯一一个我觉得值得商榷的点还是背插。虽然正面颜值大幅提升，但是机箱兼容性挑战依旧很大，可能会成为销量最大的障碍。毕竟像我这种A4小机箱用户，可能永远也用不上背插[笑哭],2023-01-08 06:30:17,15,0
建议置顶说明一下视频中所有店铺都是网络店铺，而非实体店铺，我看评论中一直有人问太原的店在哪里？福州的店在哪里？这说明视频中的店铺的地点表述可能引起误解。,2023-01-08 03:59:50,28,0
我也不知道这个价格算便宜还是贵，但是这个需求是完全符合我的，支持一波。,2023-01-08 09:40:30,10,0
懂电脑的，一看这些背插主板：兄弟，你这板子调酒师设计的吧？,2023-01-08 06:39:03,30,0
视频简介居然有追风者，万年不出MATX机箱，老是做ATX的主儿,2023-01-08 04:54:06,10,0
会出支持AMD cpu的主板吗，比如B610 A610[脱单doge],2023-01-08 04:47:51,27,0
"老哥们，咨询个事儿
高显低u会影响显卡测试吗？我最近组了主机，12490+b660重炮，闲鱼上买的2060猛禽，打算后面换显卡今天差不多显卡就到手了，但是我机箱电源什么的都没到，只能差在我的旧电脑上测试。旧电脑是奔腾的g4560，这应该是高显低u的情况了吧？我想问我如果把显卡差在这个老主板上跑3dmark什么的，会对性能测试有影响吗？",2023-01-08 00:24:42,10,0
老猿走的这条路不可谓不艰难，但愿最终大家都能得到自己想要的,2023-01-08 01:13:37,24,0
不得不说老猿还是有diy精神的 还没脱离群众 希望能不忘初心,2023-01-08 00:04:28,20,0
你说这板子有优势吧确实有，那些扩展实打实的，但要说优势吧好像普通用户也用不太上？这代板子就很神奇，听说锁了内存频率，导致h610和b660差距体现不出来，硬盘方面现在固态太便宜了，1t够大多数人用了，供电华硕丐皇h610-a也够用，在往上你也不用h610，价格现在550左右好像，华硕丐皇真的卡死了这代h610，打得其他板子没脾气，只能打价格战卷来卷去也是个奇观了,2023-01-08 01:16:37,24,0
这个侧插电源是真的不错，我一直想找硬盘位大于2的但是基本都得买那种在主板旁边加装硬盘架的超大机机了，而且线也好插，配合背插装机的时候就很舒服了，看看今年618大伙的相关新产品都上市的咋样，到时候装一台新的主力机好了。不过对我来说还是希望能有4个m2的背插主板出现（,2023-01-08 04:31:14,12,0
希望能出个B系列的[UPOWER_80505_好耶]， 太喜欢这个设计了,2023-01-08 02:55:08,23,0
我要12个usb三个a口的像这个图,2023-01-09 03:55:50,26,0
"老猿您是一位拥有80多年设计经验的装机猿，为了人民，您能不能开动脑筋，把你拥有70多年装机经验时的一款主板升级一下，不难就后面加个0。

我的h61布线被击穿了，现在一年就开两三次机，每次开都要烧香拜佛，然后用手摇电源接口和主板，点亮了还要用手按着玩。",2023-01-08 07:23:16,26,0
说实话这个主板整体设计真的很实用，就是两个C口的速率应该对调一下。后面的口一般不经常动，所以适合插一个type-c的扩展坞，速率很重要，前面的c口，因为多了一根线转接，本身速率就容易受影响，另外前面插耳机才方便啊！,2023-01-08 11:07:02,9,0
既然接口都放在背面了，为什么固态接口不能放在背面[妙啊],2023-01-08 07:34:01,9,0
"说句心里话，接口背插这个东西，可能也就喜欢diy的人觉得好，甚至我只是觉得有点儿意思而已。因为大多数人根本不会diy，甚至电脑城里修电脑的连SATA线是啥都不知道，消费者根本不看是不是背插，消费者只关注价格和性价比，他们电脑买回家可能一辈子都不会拆开往里看一眼，有什么问题找买电脑的就完了，背插根本不是购买动力。
反而这个H610的主板对市场是有帮助的，中高端的做工却有着亲民的价格，我已经想用这主板装下一台电脑了。
ps:背板没有USB3.0认真的吗？前面板的3.0不稳定的很啊！",2023-01-08 00:26:09,35,0
送网卡也没用啊，看这个散热马甲也没法用延长线,2023-01-08 00:48:32,8,0
"说实话个人感觉定位稍微有点尴尬，并不是给纯粹的性价比用户做的主板，帮主家B660M挑战者不到599就能买了，非背插机箱也可以以一百出头的价格就能买到（甚至一百不到也能买），甚至主板还能缩水帮主家的其他H610。
当然并不是说这个主板不值这个价，毕竟设计是好的，而且成本肯定也上升了，是没什么办法，只是受众确实是窄了一点。
老猿什么时候能联名高端定位点的ATX/E-ATX背插一定更新硬件支持一波[打call]",2023-01-08 08:00:38,19,0
回复 @远古时代装机猿 : 换机箱确实是阻力很大的一件事。玩了这么多年DIY，机箱算是我最不愿意换的一个东西之一。第一是因为换机箱所有东西都得拆出来，麻烦。第二是因为机箱几乎没有二手价值，换了基本等于扔掉，肉疼。对于装新机的用户而言，机箱也是颜值占比非常大的一部分，也会有很多人因为喜欢的机箱不支持背插，而放弃选择这个主板。,2023-01-08 11:43:38,3,0
"回复 @远古时代装机猿 :老猿有没有考虑过  [doge]把散热装甲的猿头做成贴纸
说不定对销量有提升",2023-01-08 11:14:13,2,0
"确实有一部分舍不得换机箱的。
极致体积也不适合用这种设计。",2023-01-08 09:24:28,1,0
我也发现了。唉~我是万万没想到这个理解能力的问题啊。[笑哭],2023-01-08 04:05:04,5,0
实体店。你直接去店铺问，甚至直接地图软件上找都找得到,2023-01-08 04:11:06,0,0
我也以为是实体店铺,2023-02-03 15:15:32,0,0
肯定不算便宜，它是目前最贵的H610。但它也给了这个价格该给的设计。,2023-01-08 09:46:08,9,0
是贵的h610，但值这个价，他这个660，就基本没多要你1分，挣不了你几个钱，,2023-01-08 10:55:21,0,0
算比较便宜吧,2023-01-08 09:45:32,0,0
