评论,时间,点赞数,标签
给认真做到极致的up三连啦！up的视频和喵喵折的那期装机视频可以说是各有所长。这期对io挡板的安装，主板增高铜柱的作用，硬盘的安装更详细些，他那期对主板上接口的形状和电源线的安装更详细些（比如电源线头卡扣对准插槽上的凹槽）。都是我最爱的两个up主了,2019-11-11 14:41:21,54,0
大能最后の收藏,2020-01-08 05:45:19,58,0
"大佬们指点一下 主要用来PS c4d用的
CPU   i5  10400
主板   微星B460迫击炮
散热 酷冷至尊t400i
内存   金士顿16G 2666骇客
硬盘   三星pm981a 256G
           希捷酷鱼 1T
机箱+电源    航嘉超越matx +WD600K
显卡    微星RTX3060 12G
总价 6056",2022-07-14 16:56:09,28,0
"大家看看我这套配置怎么样：
CPU：大脑皮质（分子层、外颗粒层、锥体细胞层、内颗粒层、节细胞层和多形层。距今25万～4万年前形成的的传统六层架构）
主板：延髓网状结构
内存：端脑海马区
显卡：大脑皮质（核显）
硬盘：140亿神经元
电源：窦房结起搏电流
机箱：真人皮、人肉包裹机箱，内含有206块骨骼、600以上块骨骼肌
散热：皮肤汗腺微孔、血液循环（血冷散热）
显示器：视网膜视椎细胞、视杆细胞
听老板说，出厂送声卡没有网卡，然后自带一套淋巴杀毒软件",2021-01-30 16:21:34,51,0
尊荣，洗澡的盆！,2020-01-16 09:34:03,27,0
up🐷，我跟你说个事哈[喜极而泣]哈哈哈。我在某宝先马旗舰店买了个机箱，我问他装机教程。他直接给我发了你的视频哈哈哈,2021-07-30 12:42:10,50,0
中国队长の收藏,2020-01-15 12:45:32,23,0
"中国队长最后の足迹
中国队长—陨落",2020-01-08 06:56:42,23,0
这就是最后的波纹了,2020-01-08 00:17:22,49,0
尊荣尊荣，一条臭虫,2020-01-20 16:26:24,54,0
"{\__/} 
( • . •)
/ >⚪️
你看到这个硬币了吗

{\__/} 
( • - •) 
⚪️< \ 
吃了也不给你

{\__/} 
( • . •)
/ >⚪️
开玩笑啦给你给你

{\__/} 
( • - •) 
⚪️< \ 
诶，我又抢回来啦
{\__/} 
( • . •)
/ >⚪️
给你啦给你啦不开玩笑辣 
{\__/} 
( • - •) 
⚪️< \ 
诶，骗你的略略略

Σ(っ °Д °;)っ
诶诶你怎么哭辣

{\__/} 
( • . •)
/ >⚪️👍⭐️
给你给你都给你",2019-11-15 09:56:37,22,0
"除了开机跳线和重启跳线指示灯硬盘灯，其他都是防呆接口，全部插好就可以开机了，去bios里面把系统U盘设置成第一启动项，然后点f10，重新启动后就到系统U盘选择项（更具电脑类型选择启动），启动之后就到了PE界面
打开分区工具把硬盘按使用分区，一般3-5个分区，然后把系统装在c盘里，装好之后重启电脑（重启之前拔下系统U盘），之后就可以启动了，我用的是黑鲨装机的软件做的启动U盘",2020-04-27 20:57:32,46,0
那你能帮帮我吗[微笑],2019-11-11 13:32:00,26,0
一个女生耐心看完，为了玩个游戏也是拼了，各种学电脑知识只为不被坑……，关注了，求翻,2020-04-03 06:13:31,45,0
