评论,时间,点赞数,标签
"UP主给出的科普和建议中，大部分我觉得需要重点关注的内容笔记如下，装机的小伙伴可以参考下：
显卡	
08:21 
游戏玩家的预算应该尽量往显卡倾斜，不要搞...",2023-01-10 08:36:26,7,0
德柱解锁新发型[哦呼],2021-09-11 16:32:31,6,0
你是真的能唠，我怀疑给点花生和酒，能唠一宿[藏狐],2021-09-11 14:19:47,16,0
"板U：i5 10400F   
      微星B560爆破弹 
散热：雅浚B3 
显卡:
硬盘：凯侠RC10 500G 
内存：英睿达 美光3200 8G×2 
电源：航嘉WD500k金牌500w 
机箱:
我这配个什么显卡能玩永劫和吃鸡",2021-09-14 05:50:18,8,0
"硬件基础游戏主机

笔记来了",2023-01-08 05:41:29,6,0
可以出一期5600G小机箱核显装机配置方案[嗑瓜子],2021-09-11 11:15:34,5,0
十分感谢up，离装机就差钱了[给心心],2021-11-15 12:57:04,9,0
很喜欢德柱，讲的很多干货又通俗易懂，太爱了，三连了,2021-09-11 17:03:03,6,0
对于我这种只知道有哪些配件，不知道配件性能的小白来说帮助很大，不用问个小问题都被“人上人”鄙视了[OK],2021-09-15 16:02:12,12,0
"大哥们帮我看看我这套怎么样？
显卡主板：5600x套装
内存：十栓内存 8G*2
固态：金士顿500g
电源：安钛克650W
机箱：安钛克复仇者
显卡：老主机的950 2g(后续显卡价格稳定了换3060ti或者3070/4070）",2021-09-21 13:21:39,11,0
"大佬们帮我看看不换显卡的情况下旧主机可以更换哪些配置？想等显卡稳定了再换显卡

处理器 英特尔 Core i5-6500 @ 3.20GHz 四核
主板 华硕 B150M-ET M2 SERIES ( 100 Series/C230 Series 芯片组 Family - A148 )
内存 8 GB ( 金邦 DDR4 2133MHz )
主硬盘 七彩虹 SL300 240GB ( 240 GB / 固态硬盘 )
主显卡 Nvidia GeForce GTX 950 ( 2 GB / 七彩虹 )
显示器 易美逊(冠捷) ENV0249 G249G ( G249G )
声卡 瑞昱 ALC887 @ 英特尔 High Definition Audio 控制器
网卡 瑞昱 RTL8168/8111/8112 Gigabit Ethernet Controller / 华硕",2021-09-18 02:46:37,4,0
8:17 的1063标的显存是6G（列文虎克）,2021-09-13 14:24:54,4,0
你能教教我怎么买原价卡吗,2021-09-13 11:33:32,12,0
讲的真的好，之前选配置只知道看价格，按照每种配件的在同类价格的水平来配，看完UP讲解后发现很多配置完全没有必要，比如固态PCIE3.0就够，内存3600频率之后边际效应递减严重，打游戏16G就够，双通道更好等等知识，谢谢UP！,2021-09-12 02:23:01,4,0
"装机大佬们看看，主要用于玩3A游戏，2K分辨率这套可以吗 

CPU：I5 13600KF散片
主板：华硕 TUFB760M 重炮手 D4
显卡：华硕 RTX 4070TI TUF
内存：DDR4 3600 C16 (8Gx2) B-DIE
固态硬盘：P44 PRO 1T
机械盘：西数 1T
电源：长城GX850W
散热：利民140FC",2023-02-03 06:37:11,4,0
"2、cpu

3、主板


4、内存


5、硬盘



6、电源

7、散热器

8、机箱
9、风扇",2022-11-30 12:48:00,5,0
@天才赵德柱 德柱什么时候更新一下新的配置单教程啊，已经一年了40都快出来,2022-08-30 11:53:34,4,0
有些老哥注意了，h610和b660写的区别是不支持超频内存，但是两者都能插非原生3200的内存超到3200，只是610最高到3200，例如12400+两根3200内存条等个3060ti组好就用到全部换新了的，要买华硕b660m-a还不如买h610-a，群里问的时候有些人就不明白，就是很那么很多第一次装机的新人就只是想在这个预算这个配置组个差不多电脑用到不太行了才换，同样配置，换个主板完全没变化，为什么不用h610去选b660呢？就为了一个我以后肯定换更好的cpu更好的内存条的念头么？[藏狐]，不是所有人都会组好电脑后会频繁的更换配置啊，看众数啊[辣眼睛],2022-04-18 08:46:53,9,0
建议以后up做视频旁边配个枕木，以后百大别忘了兄弟,2021-09-12 04:32:21,9,0
"纯纯小白，希望大佬提一下意见，感谢感谢～
板U:  i3 10105f＋微星H510M  839💰  
显卡:华硕GTX10604G  1229💰  
散热:乔思伯CR-1400 彩虹光四铜管 64💰 
固态:七彩虹M.2（Nvme）512G 286💰 
内存:8G×2 万紫千红DDR4  2666  370💰
电源:酷冷至尊G系金牌额定500w  299💰
机箱:航嘉 暗夜猎手5＋8风扇 180💰
合计:3276💰

显示屏是飞利浦的271E1SCW ，分辨率1920*1080，75hz，1299💰感觉有点小贵，有什么性价比好的推荐吗，或者价位低一点的",2022-01-21 22:22:43,3,0
我七彩虹的1063玩永劫开直播没一点毛病,2021-09-14 09:01:10,1,0
1660s   120帧左右,2021-09-15 01:42:36,0,0
靠，写轮眼了属于是！我改还不行吗！,2021-09-13 14:46:39,1,0
[笑哭][笑哭][笑哭],2021-09-13 14:46:49,0,0
手拿润滑油，进门找室友。,2021-09-13 12:22:39,31,0
回复 @天才赵德柱 :哈哈哈哈哈哈哈哈,2022-01-12 12:34:03,0,0
回复 @天才赵德柱 :[辣眼睛],2021-10-26 12:12:45,0,0
回复 @血色冰凌 :好的好的，谢谢up！,2021-09-13 01:23:23,0,0
"PCIE3.0够是现在，Xbox中期升级上全速4.0之后PC也得跟着上。
（当然目前主要矛盾是11代一下CPU不支持4.0）",2021-09-12 15:18:00,0,0
"超能网的天梯图是目前互联网上型号最全，对比最方面的。
https://topic.expreview.com/CPU/
https://topic.expreview.com/GPU/",2021-09-11 15:23:50,63,0
回复 @十三是只猫 :请问有专业显卡的天梯图吗？,2021-09-28 16:12:32,3,0
"超能网的天梯图是目前互联网上型号最全，对比最方面的。
https://topic.expreview.com/CPU/
https://topic.expreview.com/GPU/",2021-09-11 15:23:50,63,0
回复 @十三是只猫 :请问有专业显卡的天梯图吗？,2021-09-28 16:12:32,3,0
