评论,时间,点赞数,标签
399还是太贵，200多拼多多我直接买个不爆炸的就行[傲娇][doge],2023-02-11 08:04:26,18,0
都这个价位了平常时所有谁会注意这么多[辣眼睛],2023-02-11 07:19:48,8,0
点进来之前以为红米1a又降价了，买的时候699，后面一直降到499[笑哭],2023-02-11 07:35:08,9,0
"纯路人，想买个显示屏真不懂该怎么买[捂脸]看评测说缺点也不知道真买来能不能发现得了，又不想买错
不懂就问，看那种显示屏推荐真的有用吗？",2023-02-11 04:31:45,10,0
朋友们，不要认为这一块屏幕配不上那个支架，屏幕是可以换的呀好的，显示器都会有VISA孔位[打call],2023-02-11 03:54:30,7,0
没有美丽的产品，只有美丽的价格[doge],2023-02-11 03:49:46,7,0
感觉不错啊，开学了入一个，穷玩把这个的校色文件发出来可以吗[脱单doge],2023-02-11 03:48:46,7,0
刚买了显卡，发现自己的显示器没有hdmi接口，转接器也不好使，索性就买了这个显示器，用起来办公啥的确实很不错（你若嫌它不好他还嫌你穷），偶尔打打游戏也是没有问题[打call],2023-02-11 06:48:10,8,0
关键是寿命，用个一年坏了，那不行,2023-02-12 11:39:01,7,0
其实[doge]，它的子品牌剑齿虎t50，新版已更换IPS面板，就是这个n500三代的面板，年前战神拼多多320拿下，三年质保,2023-02-11 14:17:11,7,0
次品屏幕再包装,2023-02-11 05:44:32,1,0
没看视频纯评论，买便宜屏幕，宿舍 一定不能有比你好的屏幕，不然一对比就很明显。比如舍友27寸的和我24寸的同价位，他的一眼屏幕发白…,2023-02-11 17:23:16,6,0
566的全新165hz刷新redmi显示器,2023-02-12 16:47:43,3,0
它不嫌我穷，我不嫌它差,2023-02-12 04:51:45,5,0
2:48，这是什么动漫？,2023-02-11 08:16:59,5,0
[辣眼睛]我都怕穷玩找到个9块9包邮的显示器了,2023-02-11 04:23:49,7,0
之前某宝258买了个蓝利普的杂牌1080p75hz显示器，然后发过来坏的，然后就不敢买这种超低价的显示器了，还不如某鱼120自提一台,2023-02-11 08:52:12,8,0
这玩意我买过前代版本，我花了六百多?[撇嘴],2023-02-12 15:56:00,2,0
同款显示器，不过我用了，头晕眼花，太难受。咸鱼出了。,2023-02-12 07:30:30,5,0
380出个红米1a，去年九月买的，使用时间两周，一直在吃灰，咸鱼，小猪佩奇821,2023-02-11 09:15:14,5,0
回复 @千刃流雪 :我50同城买了个显示器，能亮没有明显亮点就行[OK],2023-03-19 13:46:38,0,0
回复 @千刃流雪 :[doge]上古时期的宝贝，开卖了,2023-02-19 07:14:08,0,0
回复 @寡而不均 :19寸的,2023-02-12 11:22:50,0,0
PDD现在439,2023-02-11 07:46:39,1,0
回复 @MIG29-K :397[OK],2023-02-12 09:54:47,0,0
红米1a最低价一直都是499，搞过几次活动了,2023-02-11 07:50:06,0,0
我觉得吧，你真的有需求，那你就肯定多少了解一些参数是什么意思。就可以自己去挑选合适的，如果你啥也不知道，那说明你用不到这些，就挑个便宜的就完事了，都一样用，看个电视剧啥不是看,2023-02-11 13:52:55,3,0
一分钱一分货啊，找个推荐买了就是，纠结这么多,2023-02-11 06:28:37,1,0
多少钱干多大的事，买品牌的不会有什么问题,2023-02-15 11:05:56,0,0
华为那款23.8就没……买首发没看详情结果到货蒙了[笑哭][笑哭][笑哭](后面鱼找了一个碎屏的同款，拆开背壳自己打孔上绑带装支架上了[笑哭][笑哭]),2023-02-11 04:04:32,0,0
回复 @-养猫的鱼_ :？不一直都是24寸1080p吗,2023-02-11 04:08:39,2,0
回复 @-养猫的鱼_ :有，我两台24寸显示器组了双屏，1080p那台有很明显的颗粒感,2023-02-11 04:27:27,1,0
回复 @-养猫的鱼_ :23寸的1080p当然不算…又不是27寸的1080p,2023-02-11 04:00:52,1,0
回复 @茜衣 :电子产品包装盒真得留，很多品牌的很多商品都是要包装盒的，因为有的需要换新，换新他们就得邮寄回厂家，所以都得要包装盒,2023-02-12 14:42:25,0,0
回复 @唐宇八 :拼多多百亿补贴的，当时小米店铺那边说是官方保修，现在不行,2023-02-12 13:25:14,0,0
回复 @茜衣 : 从小米商城买应该可以,2023-02-12 12:21:07,0,0
回复 @钱猛 :日常办公看电影完全可以，玩游戏建议上高刷,2023-03-07 12:39:41,0,0
老哥用起来感觉怎么样，网上看不到这款的评测,2023-03-07 04:13:44,0,0
有对比确实难受,2023-02-12 00:35:38,0,0
回复 @浪花淘梦 :实际…一言难尽https://b23.tv/BV1HG41137G4,2023-02-13 00:11:22,2,0
测过了,2023-02-12 17:00:44,1,0
回复 @PoorPlayers穷玩组 :只是想说这个划算,2023-02-12 23:54:15,0,0
明日酱的水手服,2023-02-11 08:24:27,1,0
明日酱的水手服😋,2023-02-11 08:57:54,0,0
明日酱的水手服 [脱单doge],2023-02-11 08:31:36,0,0
回复 @ZY小喵仔 :我某鱼120自提淘了一台戴尔的1080p60显示器，用着很好,2023-02-11 09:11:10,1,0
回复 @小林的端木 :三色老代工厂了。以前都是给大牌子代工的。,2023-02-11 09:02:59,0,0
三色好歹是老牌子,2023-02-11 09:00:44,0,0
