评论,时间,点赞数,标签
这张图是给安装系统成功却无法进入win10的用户，启动模式选择这项这里一定要选为我这上面的模式，否着进不了win10，不用谢我，大家都是小白[OK],2023-01-25 10:00:17,7,0
window源无效是什么意思啊,2022-11-25 14:17:13,6,0
我的天啊，太炸了，我把之前的系统删了，结果卡在windows源无效....  而且貌似不只是我一个有这个问题，能找到自己的镜像文件，但是就是死活添加不进去。,2022-11-07 22:29:25,4,0
"装失败了，现在显示 翻译：取出磁盘或其他介质,按任意键重启，U盘取出来了但他还是这样[大哭]求救",2022-08-07 05:16:10,7,0
真的有用,2022-07-20 12:00:50,4,0
windows源无效是什么意思,2022-03-15 16:23:10,4,0
电脑开不了机啊！有时开机没反应！有时开机是蓝屏！——请问UP主，咋办？？？[疑惑][疑惑][疑惑],2022-03-03 03:27:38,4,0
没有windows源。。？？,2022-12-29 01:53:02,6,0
各位加油，这个up说的真的有用，学着装了两次[OK],2022-11-13 03:20:04,2,0
有没有大佬请教一下为什么我的分区会格式化失败,2021-08-01 03:15:28,6,0
系统源无效怎么搞,2022-01-05 02:32:05,6,0
我下的怎么是一个压缩包，是直接把这个压缩包拉进U盘吗？,2021-12-29 12:03:11,6,0
为什么我这个联想小新air14再用U盘启动时，一直进不去[囧],2021-12-08 16:11:25,3,0
为啥我下载那个next那个下载出来是个压缩文件，而且里面没有视频里的镜像文件[笑哭],2021-11-10 09:31:30,3,0
怎么知道自己是几代cpu,2021-10-12 11:33:41,3,0
"666,我的老电脑好了",2021-10-03 04:51:51,6,0
谢谢老师，昨天按您的视频装好了w10，但还想装一个xp，到安装器里xp选项里却找不到镜像文件，到w10里找到的xp镜像文件却不能用,2021-08-15 00:15:01,6,0
感谢up主， 成功安装win11,2021-04-28 12:56:21,3,0
为什么我刚加装的机械硬盘不能被系统识别啊？磁盘管理里面也看不到，但是磁盘管理里面c盘属性里面有个选项又可以看到有两个盘，不知道咋回事,2021-04-22 21:12:18,6,0
重启黑屏的，不要选GUID，选MBR试试。,2023-02-09 13:05:02,3,0
本人深受毒害，所以不想大家都这样,2023-01-25 10:03:40,0,0
回复 @狂龙龙龙龙 :嗯嗯，我也是再装了一次就好了,2022-08-11 04:08:01,1,0
怎么操作的啊,2022-08-11 00:45:35,1,0
改一下引导盘,2022-08-07 06:54:12,1,0
我也是这样，,2022-12-29 01:48:54,0,0
请问解决了吗,2022-05-30 19:40:00,0,0
拿着制作好的系统盘自己装,2022-07-13 04:36:29,0,0
加油,2022-11-13 10:42:07,0,0
解决了吗,2022-06-28 09:50:52,1,0
换一个iso下载看看,2022-12-09 12:51:53,0,0
直接把压缩包拖进去就行,2022-05-06 15:11:44,0,0
是不是下的微pe 工具箱2.1,2022-05-31 07:47:16,0,0
回复 @黎明前蓝月 :大佬 看看我  压缩包拖进去 后面安装的时候也是和up主一样的操作吗？,2022-07-12 03:02:05,0,0
请问你怎么解决了吗？,2023-03-07 03:17:49,0,0
计算机_系统属性,2021-12-06 02:02:34,1,0
回复 @我哐哐哐哐哐哐哐哐哐 :兄弟，那12代要选择guid格式分区吗,2022-12-28 03:12:53,0,0
你CPU编号的转折号后的第一个数字，i3-8 600k，8就是代数，像i5-10 600就是十代,2022-12-09 18:10:30,0,0
这个最后怎么解决的[酸了]我装的时候也是这个情况,2021-08-19 12:36:50,0,0
好了吗？请问最后解决了吗？,2022-07-07 02:03:29,0,0
回复 @刘知鱼1234 :没有，买了一个xp的安装软盘整的,2022-07-07 02:07:58,0,0
[歪嘴],2021-05-01 07:28:40,0,0
1、检查刚加装的机械硬盘，sata线、电源线是否都插好；2、是否加装了SATA协议的M.2，如果是，去看主板说明书或咨询主板卖家，检查M.2占用的是哪个sata通道，换个接口即可,2021-04-26 01:21:58,1,0
回复 @恒鑫电脑DIY :已经搞好了，接线都是好的，后面好像是下载了一个那个disk啥啥啥的分区软件，然后就识别出来了,2021-04-26 04:34:42,0,0
安装器 显示windows源无效,2022-05-06 15:03:47,0,0
