评论,时间,点赞数,标签
买这么多东西！不如买一台ps4！来的简单省钱！就算是掌机很火！配件的价格也过分了,2018-09-22 11:01:44,1,0
每次玩游戏都要插卡带么？,2018-04-16 05:35:27,1,0
钢化膜必备啊！！其他都可以根据个人喜好,2017-12-25 09:15:37,1,0
个人还没买switch，用朋友的玩了玩，感觉还有待改进，比如屏占比太低，也就是屏幕黑边太大，就导致带出去很不方便；转换底座只是一个底座，感觉可以在底座里集成一些硬件提升一下性能，这样才算得上是一个家用机。还在犹豫，因为手头确实不太宽裕，在考虑要不要等等二代,2018-02-06 02:14:01,1,0
放小盒子连电视容易挂到本体怎么办，淦,2017-11-06 16:31:55,1,0
?买了是不是还要买配件?我萌新,2018-06-28 03:12:24,1,0
就想知道那个硬包怎么买，搜索什么,2018-01-28 21:03:53,1,0
必须买的就pro，改装底座，背膜,2017-11-12 16:25:32,1,0
我买了之后，几乎没有一天不碰的！,2017-11-18 13:09:00,1,0
这bgm挺好听的，求bgm（￣▽￣）,2017-11-07 15:27:03,1,0
说马里奥没中文的怕是眼睛**了，,2017-11-07 08:40:24,1,0
emmm我除了贴了个膜买了个硬包以外都是裸奔的[小电视_发愁],2018-09-11 05:12:52,1,0
想买NS，可看了这个视频以后感觉要玩NS好麻烦啊…,2017-12-21 06:29:50,1,0
多少钱呢,2017-11-06 11:53:40,1,0
说实在话，我买来只是为了打nba的……,2017-11-07 15:51:34,1,0
求小包的链接,2017-11-07 09:18:26,1,0
居然没有摇杆帽,2017-11-09 01:53:54,1,0
买了一个tpu套子，背面有握把，不包裹正面手柄按键的，掌机模式终于可以一用了,2017-12-18 02:47:29,0,0
………………………………,2018-03-18 03:27:02,0,0
我的NS配件：一个良值充电器套装，BUBM硬壳包、BUBM中号双层数码收纳包。至于桌面支架，我买的就是某宝包邮的几块钱的金属手机支架，比那种专门的支架划算太多了。,2018-09-07 04:13:56,0,0
我最多再买个包，别的我真用不到,2018-11-23 13:53:48,0,0
配件不是全部必要买的吧......,2018-10-25 08:11:09,0,0
大部分都是自带的,2018-09-25 05:39:37,0,0
嗯，要玩的时候插进去，换游戏就换卡。,2018-06-14 14:18:51,0,0
可以把喜欢的游戏插卡的时候下进去,2018-05-08 12:56:45,0,0
老铁，如果你只是因为做工或便携性而犹豫的话，我建议你赶紧买吧。因为老仁的主机是公认的游戏性大于工艺的，到了第二代也未必有多少改进，何况第一代游戏都没出完，下一代宝可梦绝对会登陆的，第二代遥遥无期啊。,2018-02-09 11:26:26,3,0
回复 @白银五的小夜泣:但是你要明白，塞尔达是老任的老IP，不是这一代好就会上PC，就像马里奥一样,2018-04-15 09:56:11,2,0
回复 @白银五的小夜泣:emmm，你开心就好,2018-04-15 06:36:25,1,0
看用途， 打个比方像塞尔达的话，joycon表现比PRO手柄还好， 因为PRO手柄十字键会误触，这个是通病,2018-06-28 08:43:06,0,0
ns保护壳(´；ω；`),2018-08-03 07:22:34,0,0
回复 @陆战强袭型纸片人:感觉水晶比硅胶好,2018-02-02 05:00:59,0,0
回复 @紫雲追月:有塑料的有硅胶的有金属的    自己用的话也没啥用,2018-02-02 01:23:11,0,0
回复 @陆战强袭型纸片人:保护壳是指水晶壳吧？,2018-02-02 01:11:02,0,0
回复 @魔皇kiva:我玩着还好 在移动端有这画面 我很满足了,2017-11-11 05:53:45,0,0
回复 @那年夏天的微风:比手机强得多,2017-11-11 05:53:20,0,0
ns的2k真的不推荐买 会后悔,2017-11-11 04:50:44,0,0
同求小包,2018-07-08 19:31:44,0,0
bubm硬壳的等等我有划痕吗？我也是bubm硬壳,2019-03-14 01:10:14,0,0
