评论,时间,点赞数,标签
买ipadair4就是因为天蓝色真的好看，要是能像手机壳那样有半透明保护套露出颜色就好了,2021-01-26 21:32:30,3,0
"！！！阿里巴巴98的笔！
防误触，磁吸特别好用！还送一个笔尖",2021-01-26 02:08:00,2,0
up主你好，我去看了，但是第一个支架客服说不能够给ipad用诶，，，，发愁,2021-01-24 15:27:06,3,0
才买了妙控键盘才看到你的视频，哈哈哈哈。妙控键盘是不是可以退了[辣眼睛][辣眼睛],2021-01-21 14:31:38,1,0
问问有没有耐用的壳。。。 我之前在电脑城买的壳用了两年现在开始疯狂掉皮开裂,2021-01-18 03:47:58,1,0
iqs的支持磁吸，我买的170多块,2021-01-15 06:50:18,1,0
下方导航提示，点赞👍,2021-01-13 16:25:08,1,0
"硅胶笔套不好用双击不灵敏
笔尖套套了太厚写字会遮挡视野",2021-01-05 04:25:56,1,0
uhb电容笔也可以,2021-01-04 17:29:16,2,0
up能不能推荐一下笔记/画画支架？买了好几款支架，但是他们调到最小角度都太高了，写字的时候时间长了手很难受[笑哭],2021-01-03 19:05:09,1,0
霸主 霸主，想问一下，之前的keychron  k2怎么换成了K1（被你种草双11买的K2热插拔，真的有很不错）求翻,2021-01-03 05:25:44,2,0
这次一点，up要加油啊[热词系列_可以],2021-01-02 15:15:13,1,0
厉害了 好细,2021-01-02 07:27:45,1,0
有多细呢？[doge],2021-01-02 02:27:56,3,0
2021第一个一键三连 给你,2021-01-02 02:15:04,1,0
好好好 我可以不用纠结了,2021-01-02 01:45:58,1,0
宁也太细了！三联了！我今天刚给pro买了配件，日，看晚了,2021-01-01 21:24:46,1,0
三连关注了！讲得好细[打call][打call],2021-01-01 18:22:00,1,0
up这视频厉害了，顺便问一下剪辑软件[doge],2021-01-01 17:58:27,1,0
好了，赞助了两币，其他视频也赞助了,2021-01-01 15:42:06,1,0
前来考古的求店铺,2021-08-10 13:37:00,1,0
回复 @哈蟆王子 :下架了,2022-08-25 06:53:44,0,0
回复 @咋就不讨喜呐 :没了下架了,2022-08-25 06:53:27,0,0
我用的挺好,2021-01-25 03:06:34,1,0
不用呀，一下就高端优雅了,2021-01-30 08:42:46,0,0
壳这种东西，用着顺手+好看最重要，两年裂皮再买个同款就好了,2021-01-18 04:08:36,0,0
回复 @Charis·Chan :是啊,2021-01-27 17:38:54,0,0
充电的吗,2021-01-27 16:28:25,0,0
用笔的时候我就平放，别的角度都不好使,2021-01-04 00:27:13,0,0
回复 @菲洲霸主 :高轴2代 K2用户[OK]，，，，爱死霸主，粉你到底,2021-01-11 11:54:11,1,0
现在在售的矮轴k1实际上是k1的第二代，相比k2，蓝牙连接和唤醒速度更好。手感在矮轴里也非常好。,2021-01-03 06:00:40,1,0
回复 @失措xF066 :害羞了[害羞],2021-01-11 12:01:32,0,0
金针菇[doge],2021-01-02 04:00:31,0,0
final cut pro,2021-01-02 01:10:20,0,0
回复 @MarchYS :这个公司联系我了。。我要了一些东西打算来测评。。他们说发货了。。3个月过去了。。然后他们失联了。。我至今还一脸懵逼呢,2021-03-20 10:12:32,8,0
京东wiwu电容笔 长度166 支持磁吸  表示之前买过亿色的蓝牙键盘保护套 400多 后来发现wiwu的蓝牙保护套只要100多  买回来居然是一样的....推荐up出一期wiwu平替合集测评 省钱真香[思考] 已三连,2021-03-20 09:27:30,6,0
up这个软件怎么下载啊 我这个要收费 也不知道怎么支付🤷‍♀️,2021-01-13 03:34:05,6,0
回复 @MarchYS :这个公司联系我了。。我要了一些东西打算来测评。。他们说发货了。。3个月过去了。。然后他们失联了。。我至今还一脸懵逼呢,2021-03-20 10:12:32,8,0
京东wiwu电容笔 长度166 支持磁吸  表示之前买过亿色的蓝牙键盘保护套 400多 后来发现wiwu的蓝牙保护套只要100多  买回来居然是一样的....推荐up出一期wiwu平替合集测评 省钱真香[思考] 已三连,2021-03-20 09:27:30,6,0
up这个软件怎么下载啊 我这个要收费 也不知道怎么支付🤷‍♀️,2021-01-13 03:34:05,6,0
