评论,时间,点赞数,标签
作为一个平时办公仅限于word，ppt，最多最多用一个表格的工作者。（偶尔需要剪辑音乐和视频，一年也没两次）在我的2999的笔记本血战7年，已经实在不能凑活的情况下，我已经用ipad办公好几个月了。我觉得除了有些字体不能满足我以外，ipad可以满足我大部分工作需求。但是如果问我，只在ipad和笔记本里选，我怎么选，我选笔记本。,2021-11-01 10:15:34,7,0
所以教材的电子版可以在哪里下载呢？[热词系列_问号],2021-06-20 03:06:58,33,0
二手什么平台比较靠谱呀,2021-06-18 02:49:25,9,0
买iPad后悔了，感觉鸿蒙更适合我,2021-06-19 08:02:01,52,0
手持ipadmini2表示除了看视频其他都干不了，现在考虑选择mini5还是那个数字款iPad,2021-06-19 03:29:31,6,0
切狸的视频我是期期都看啊[doge],2021-06-18 01:14:29,22,0
"课代表来啦
推荐软件
1 procreate     画画  
2 Lightroom    快速处理图片
3 notability     做笔记
4 goodnotes   做笔记
5 launchpad    自制bgm
6 duet              可以当win的副屏（分辨率低，不清晰，不太好用。）",2021-08-09 13:07:25,18,0
Ipad记笔记久了 手碰到屏幕 温度高 有点难受[微笑],2021-06-19 00:53:14,5,0
超喜欢up主的嘴[笑哭],2021-06-18 11:00:01,5,0
"啊？我每天用ipad pro看“蓝鸟”app比刷""浓眉大眼""app爽多了！",2021-06-18 02:04:30,5,0
[热词系列_知识增加],2021-06-18 01:47:25,18,0
"朋友之前说准备买个iPad来学习画图这些，过了段时间，他买了之后觉得不怎么好用，之后在吃了大约半年的灰之后，还是决定二手卖出去了。
总的来说，可能自己用不到的真的、且经济不足的就尽量考虑下，不缺票子的可以入手iPad来试一下。
还是有很多好处的，看书，学习等等都可以很方便的用得到，且相当于有个简易版的电脑和高端点的手机的集合体
所以iPad还是比较赞的",2021-06-19 14:27:39,13,0
我用了iPad Air4，我感觉所谓的生产力嘛没有，倒是适合做想法灵感等记录，所谓工具就是写和画；所有的app好像也只是写记录和画图；都针对美术人的工具；难道iPad是专为美术设计方向的人？[偷笑]；讲真我是没有找到我需要的，唯一的几个工具 都是哪个平台都有的；而IOS平台上的工具则少一些；,2021-07-21 08:13:24,12,0
切里太可爱了·[脱单doge][脱单doge][脱单doge],2021-07-05 02:04:44,4,0
想买ipad pro不知道在哪里买好点[大哭]不知道有没有人可以推荐一下，我是美术生，需要的内存要多点,2021-06-29 06:06:16,9,0
UP的名字太绕嘴，因为我从不关注喜欢的UP主，所以几天了，我在搜索的时候还得想是叫大狸子切切果，还是大果子切切狸……,2021-06-21 14:59:09,12,0
刚入air4，战5年，手持mini2,2021-06-18 13:59:46,4,0
双马尾呢？？？,2021-06-18 07:59:51,4,0
切里的老公为什么这么喜欢赞我呢？,2021-06-18 02:51:43,20,0
保姆级推荐直接跳转07：26[藏狐],2021-06-18 01:53:40,4,0
大学的话，学校的打印店，老板手上一般都有各学科的优质PDF资源，可以试试向老板买；此外老师手上很可能也有。中学及以下在网上随便找找就有。,2021-06-20 08:15:40,8,0
tb搜找书，几块钱给你找个电子版,2021-06-20 16:02:30,3,0
学校图书馆网上系统一般会有吧,2021-06-20 23:21:20,0,0
闲鱼找个人卖家 最好是在读大学生研究生博士生 方便的话问卖家看一下爱思助手的截图,2021-06-18 04:29:42,4,0
官网有官方二手翻新机，也不错的；最好别上二手交易平台，水太深,2021-06-18 06:29:34,2,0
我有一台未拆封的air3 256g，有人要吗？b友便宜出。,2021-06-19 16:37:06,1,0
为啥,2021-06-19 16:03:51,0,0
回复 @炒鸡小明 :电脑用的是win，鸿蒙与win搭配更方便,2021-06-20 02:46:24,1,0
去实体店摸过华为的笔不太行[藏狐]太塑料了,2021-06-20 05:07:37,1,0
越狱刷回ios7吧,2021-08-06 07:40:52,0,0
回复 @彩華さいか :打王者十几帧不过已经是8年前东西了能看电视就已经值我当时花3千多买它了,2021-06-19 23:53:11,0,0
ipadmini2我用得都快卡死了...,2021-06-19 12:20:48,0,0
77都看还行,2021-06-18 01:15:18,0,0
捞不动了,2021-06-18 02:46:21,0,0
教育優惠賣,2021-08-25 16:31:17,0,0
直营店、天猫、京东、并夕夕百亿补贴，一般人买个256就基本够用了,2021-08-06 07:29:17,0,0
官网，淘宝官方店  京东自营,2021-07-09 13:52:05,0,0
[doge]下次搜切里 就有了,2021-06-21 15:18:01,2,0
就你嘴甜[doge][doge],2022-08-04 12:13:01,0,0
