评论,时间,点赞数,标签
直接拼多多588,2022-12-23 01:19:08,0,0
我说我要K神机箱，我朋友说那是垃圾，让我用海景房？搞不懂，K神明明就比海景房好看,2022-12-23 01:06:23,0,0
你俩谁学谁啊,2022-12-22 23:30:01,0,0
？牛逼的 何静,2022-12-22 20:50:07,1,0
3070陪啥u 现在I3 10105f[保卫萝卜_哭哭],2022-12-22 20:40:09,0,0
逮着个天天薅🤣播放多了会不会一堆人去薅他一个,2022-12-22 12:59:22,0,0
草这机箱我花了三百多买的,2022-12-22 05:30:42,0,0
砍价砍得我这个看的人都想打他[笑哭],2022-12-22 04:58:26,0,0
机箱9风扇同款，淘宝360包邮，我是不是亏大了[辣眼睛],2022-12-21 22:05:42,0,0
？？？，这个私信…..照片老网骗日常信息了…[笑哭][笑哭]，,2022-12-21 14:04:27,0,0
UPUP，我i56500+b150m板子+8g内存想加个显卡，加哪个好[脱单doge],2022-12-21 11:57:38,0,0
怎么买到十块的风扇，我也想要,2022-12-21 10:41:36,0,0
你们这是哪啊，显卡这么便宜,2022-12-21 10:02:18,0,0
估计那种砍不动价被赶出去的都没录进来[doge][doge],2022-12-21 05:44:42,0,0
家人们这个配置7500元贵吗,2022-12-21 05:04:13,0,0
"台式电脑
 
主板：华硕B660M-PLUS D4重炮手
块
1
1150
 
 
显卡：影驰RTX3060ti - 8G
块
1
3180
影驰RTX3060金属大师12G
价格：2750元
 
CPU：英特尔I5-12400F原盒包
块
1
1060
 
 
内存：海盗船3200-16G*2条
条
2*340
680
金士顿野兽16G-3600
价格：380元
 
硬盘：西数WDSN 770M.2-1T黑盘PCI 4.0
个
1
630
金士顿NV2M.2-1T PCI 4.0
价格：460元
 
电源：长城额定650W  铜牌
个
1
390
 
 
机箱：长城宽体机箱
个
1
190
长城宽体120机箱
 
散热器：九州风神大霜塔6铜管双风扇
个
1
220
 
合计金额：
￥7500元
 
备注：以上配置均为一线品牌全新产品，请放心购买，如需变动，请来电告知。",2022-12-21 05:03:34,0,0
《2元战神》,2022-12-21 02:45:10,0,0
老板:别来沾边[傲娇],2022-12-19 18:13:10,0,0
"滑视频上一个视频戒赌
下滑滑到赌卡",2022-12-19 13:29:59,0,0
发黄呀,2022-12-19 06:33:55,0,0
不知道是同名了还是真的本人,2022-12-22 20:53:58,0,0
废品站基本都是这样价格  五块钱都有！,2022-12-23 02:28:09,0,0
