评论,时间,点赞数,标签
你别说，我被种草了,2023-02-23 13:22:14,0,0
冲你这样 买了[妙啊],2023-02-23 13:11:54,0,0
买一送0,2023-02-23 11:53:15,0,0
再表演我也不可能用支架把平板支起来，，，万一呢？,2023-02-23 11:27:21,0,0
绿联的东西还挺不错的,2023-02-23 10:32:06,0,0
"我买了这个，各位慎重。
做工没问题，也不容易下坠，但是这种两段式的支架本身设计就有问题，大部分需求的角度可以调整到位但是很麻烦。
如果你想要一个自由度高的，个人认为这种二段式不如三段式的。
另外底座需要一定空间，如果在比较逼仄的小房间里，你好不容易找到位置固定好，很可能无法旋转，总之慎买。",2023-02-23 07:12:01,0,0
这年头卖个东西真不容易太累东西了[笑哭],2023-02-23 06:53:21,0,0
我买过，700多克的surface都挂不住,2023-02-23 06:30:47,0,0
大家好，我是绿联支架哥，我入驻b站了[doge],2023-02-23 06:15:55,0,0
支架太长了,2023-02-23 05:56:02,0,0
夜店小王子？,2023-02-23 03:23:20,0,0
机你太美,2023-02-23 02:49:34,0,0
好抽象，路转粉了,2023-02-23 02:48:30,0,0
我操同款,2023-02-23 01:43:57,1,0
别扭了，我买还不行吗,2023-02-23 01:09:13,0,0
看得出来小哥玩的还挺开心,2023-02-22 23:48:41,1,0
绿联转接线拓展坞之类的不至于被一个带货的小主播搞臭 东西品质确实行 反正我买这么多是真没翻车,2023-02-22 19:50:07,0,0
这个怎么说呢 有种钢管舞的感觉,2023-02-22 18:22:47,0,0
💈是吧,2023-02-22 18:03:42,0,0
为什么不穿背带裤,2023-02-22 16:17:19,0,0
