评论,时间,点赞数,标签
@不想前可没未来 ，,2023-02-11 09:02:17,1,0
那么我有个问题，mac通过那个线给ipad供电吗，一会就去买新mini[doge][doge][doge],2023-02-10 06:51:36,1,0
牛逼，如果这个组件换个别的材质，然后稍微优化一点点，非常帅呆阿[鼓掌],2023-02-09 15:37:50,1,0
很酷[脱单doge],2023-02-09 14:01:48,1,0
外出携带怎么供电[辣眼睛],2023-02-07 15:26:05,1,0
想知道这个螺丝是什么尺寸[雪未来_等一等]，文件里带螺丝的模型吗,2023-02-06 19:47:13,3,0
可以问下3d文件是哪个？,2023-02-06 17:46:11,1,0
库克:听过你们的，开发了12寸macbook、mini的iphone，结果你们知道，但你们不懂……,2023-02-06 14:00:35,1,0
请问这种合体的情况下iPad掉电的情况如何呢？,2023-02-06 08:19:59,1,0
我想知道能打游戏吗，和平精英键鼠操作，如果可以立马入手,2023-02-06 06:26:59,1,0
键盘是哪个啊，分享一下呗,2023-02-06 05:27:27,1,0
[吃瓜]直接把电源换成外置的，把主板给拆出来，打印一个外壳，内置电池，打印雷电屏幕,2023-02-03 14:50:23,1,0
如果能当笔记本的话是不是能装双系统呢,2023-02-02 06:00:31,2,0
Up主可以做一个简单的快捷指令，iPad mini自动连接上Mac mini，有可以参考的。,2023-01-12 03:11:33,1,0
视频里的up主来b站了@ScottYu-Jan 欢迎！,2022-11-26 13:55:22,1,0
弹幕里的某些人很好的对应了 虫豸 这个词,2022-11-03 03:51:11,1,0
就叫叫Mac pad mini 6怎么样[脱单doge],2022-09-14 12:35:18,2,0
好家伙，新产品“iPac”,2022-09-14 06:56:00,3,0
阿婆主你好，我和喜欢你这个设计但是我一直有个疑问就是，我带一台macbookair不是更方便吗,2022-06-11 13:05:58,1,0
屏幕换成iPadpro 然后多余出来的地方弄一块蓄电池，然后是不是可以叫macbookpro，哈哈哈哈哈,2022-05-29 09:33:58,1,0
暑假搞个借你玩玩？[滑稽],2023-02-11 09:41:05,0,0
哈哈哈哈,2022-11-08 03:10:45,0,0
