评论,时间,点赞数,标签
给小白的建议：数据线只要是mfi认证的，编织线，买最便宜的就行，实在不放心就小米紫米。不可能出问题，还有那个电池健康就别逗我了，你用原装的一样掉。你要是实在有钱就买个ac+，看着不顺眼就找官方换新，over。,2022-01-29 03:52:42,3,0
公牛不推荐 公牛就是个贴牌,2022-01-28 16:39:32,1,0
别的不知道。公牛数据线也爱坏,2022-01-26 15:24:33,1,0
外接电池我一直不懂啥意思,2022-01-26 04:33:34,2,0
我不管 粗的就是好[给心心],2022-01-26 07:43:13,0,0
都有钱买苹果了，[doge],2022-01-26 01:27:48,0,0
[doge]我用华为电脑充电头加耳机充电线，速度飞起。,2022-01-25 14:52:22,0,0
我30分种都充满了,2022-01-25 14:14:21,0,0
13pro已经27w了，怎么还在推荐20w充电头啊[辣眼睛],2022-01-25 13:30:43,1,0
讲个笑话，20w算快充,2022-01-25 11:46:38,0,0
安卓笑着路过了[吃瓜],2022-01-25 08:24:24,0,0
扯淡,2022-01-25 07:56:11,0,0
有时候体积大是有原因的,2022-01-25 05:06:49,0,0
我自己焊了个充电线，我估摸着它能送我走,2022-01-25 04:56:41,2,0
我刷牙就用中华为的就是干净，一次挤5g，只狼性文化掀起了一股新的浪潮，男女拳头硬度不同。🎣,2022-01-25 04:27:07,0,0
这哪是买了个手机啊，这明显是买了个爹啊,2022-01-25 03:02:22,0,0
算了吧平替，国产品牌简直不堪入目，纹波虽然可用，但我选择原装，原装唯一一个理由：它用料足、工艺好、纹波小、电子届标杆艺术设计，缺点：贵。,2022-01-25 00:57:15,0,0
紫米的温度比原装低，但是有不充电的时候你线的插头有电流～,2022-01-24 23:27:35,0,0
充电插头必然原装的，其他都可以平替,2022-01-24 18:30:51,0,0
有没有一种可能啊，我们可以把后盖打开直接更换一下电池，就探讨一下啊，有没有这种可能啊,2022-01-24 16:19:19,0,0
磁吸充电好？还是有线充电好呢？磁吸的会不会很烫？,2022-10-20 13:18:06,0,0
感觉是个类似移动电源的无线充电 贴手机上了,2022-02-09 23:39:33,0,0
先用外接电池的电量吧然后再用手机的,2022-01-29 13:34:34,0,0
你确定是27W？,2022-02-04 23:26:33,0,0
一瞬间我竟分不清你是年纪小还是在玩梗……我现在还有一个三星的可以直接把后盖打开换电池，使用只能说…还能开机,2022-01-26 16:17:41,0,0
