评论,时间,点赞数,标签
比喻下来就是 从坑多多买了黄米，UIUO，oqqo，花为手机测试，和iphone，三星测试，对比。得出结论，国产手机就是垃圾[保卫萝卜_白眼]老春秋笔法了,2022-11-25 07:38:06,65,0
为什么不买长江和三星做对比,2022-11-25 06:08:59,23,0
专业性补补吧..每一期都这样涉及到都是一股百度味查完就来做视频了...,2022-11-29 05:35:10,7,0
这人跟当年的王自如有一拼的[微笑],2022-11-25 12:36:53,25,0
带国产的可以买，带网红的带爆款的千万别买[OK],2022-11-25 07:06:48,9,0
"这类视频出现就证明国产颗粒真的起来了,好事[吃瓜]",2022-11-25 05:15:06,31,0
"产品介绍：
1.小紫 512g 139r
2.小红 金士通 512g 139r
3.小黄 512g 159r
4.小新 鑫联新 512g 165r
5.小...",2022-11-28 19:14:13,20,0
翻车咯，很难不怀疑这个up是蠢还是坏,2022-11-25 14:27:12,27,0
这是不是up主在写标题的时候打错字还是打少了字？严格来说应该是国产的拼多多固态硬盘品牌，如果多说了这“品牌”两个字，说不定就不会有误会。,2022-11-25 11:32:04,6,0
三星和致钛我用着都感觉不错，臭打游戏的不讲究缓存,2022-11-25 05:44:35,6,0
好家伙，内存卡，秀到我了,2022-11-25 02:09:37,6,0
这一期，真的带节奏。杂牌等于国产？,2022-11-26 06:39:23,19,0
"你想象的手工特挑：良品里挑良品个个雕中雕
实际上的手工特挑：垃圾堆里找几个能用的",2022-11-25 02:44:32,32,0
还以为有光威，结果都是些杂牌[捂眼][捂眼][捂眼],2022-11-25 06:03:17,18,0
Up是懂流量的，这就相当于买了几个华强北神机和苹果三星比，标题再加上国产手机,2022-11-25 07:06:00,68,0
博主测的这几个，真的是没听过的杂牌，用国产颗粒的是长江致钛之类牌子，我以前500G的三星固态各种折扣下来 还要700多块，现在买只要400多，有了国产颗粒，外国的固态价格才会下来,2022-11-25 17:23:28,16,0
5:58,2023-02-15 16:32:11,16,0
什么王自如行为,2022-11-25 11:32:31,7,0
我去，我昨天在京东爱国者旗舰店88买了块120g的sata固态，爱国者的固态不会翻车吧,2022-11-25 02:19:46,7,0
买老头乐说极氪不行是吧,2022-11-25 12:10:26,15,0
抽象文化餮吧的人别代表了,2022-11-25 07:55:06,2,0
讲真，王自如比他专业多了。,2022-11-26 14:31:23,11,0
王自如说的没错 锤子本来就不行,2022-12-06 10:30:20,0,0
王自如除了awesome那波有点舔过头，罪不至此,2022-12-03 11:52:57,0,0
哈哈哈哈,2022-11-25 10:47:54,1,0
公平、公正、不偏不倚的评测才能更有公信力。,2022-11-28 19:23:56,5,0
最后写错了[doge]，最好的应该是2号和5号！6号三星从10几掉到300，测到64左右不敢往下测试。所以这个三星盘也是一个大问号❓,2022-11-29 09:21:13,2,0
这人的确恶心误导小白 搞得国产都很差一样！不是国产颗粒想想现在的硬盘和内存价格能白菜价吗？,2022-12-06 10:21:46,0,0
就是坏,2022-11-26 08:12:43,1,0
现在他的视频里已经把国产二字删除了。,2022-11-27 03:07:16,1,0
回复 @万物起原 :你这说的。。。西数还没售后，致钛还健康度低、主控温度高，致钛还有掉盘的[嗑瓜子],2022-11-28 16:51:47,0,0
三星有0e丢数据风险了,2022-11-25 14:26:37,0,0
系統碟還是要，避免小卡頓，畢竟不管你RAM多大Windows都要用分頁檔,2022-11-25 06:58:00,0,0
回复 @我有个好计划 :他说话的语气就是带着调侃，很多小白就会认为，我买存储产品远离国产，三星最高贵。,2022-11-26 10:08:55,2,0
回复 @山的木山木二代 : 他估计不知道苹果手机的内存存储都是国产颗粒！,2022-12-06 10:03:13,0,0
回复 @我有个好计划 :国产杂牌多的是，梅捷，樊想，台电 移速之类的价格差不多，但是起码东西没问题，也都有京东自营店和保修，up故意取pdd选几个假盘测，标题再加上国产固态之类的引战的话，明显就是为了流量啊，这只能说是坏吧,2022-11-28 15:48:33,0,0
回复 @天火千 :问题是长城没有固态硬盘呀！,2022-11-25 10:46:11,2,0
回复 @极诣_梁月 :有的哦，虽然是贴牌货，但也算是把品牌授权出去了，官方正品,2022-11-25 12:34:19,1,0
回复 @天火千 :而且换句话说三星也有qlc  这up不拿出来比较就很荒唐,2022-11-25 17:15:38,0,0
回复 @日月乘风 :原标题是国产爆款拼多多，封面也是国产爆款,2022-11-26 03:26:22,7,0
回复 @日月乘风 :跟pdd也没啥关系 谁pdd买这个 这up在京东买都行 反正买的都是垃圾纯为了流量,2022-11-26 02:04:53,2,0
回复 @日月乘风 :其实当他出现PDD的时候，他就知道了什么叫做流量,2022-11-28 16:48:53,1,0
一方面他不懂数码，另一方面他不懂固态，他甚至不懂得搜索引擎的使用[脱单doge]指望这种人去分析固态？,2022-11-28 16:43:46,8,0
全球能生产颗粒的一只手都能数过来他上来就各种杂牌 无语！,2022-12-06 10:24:23,5,0
回复 @bili_l202210 : 问题是他一口一个国产那些哪个是真正的国产?全是国外厂商的颗粒,2022-12-16 05:10:19,1,0
而你，我的朋友，你才是真正的英雄,2023-02-16 03:17:48,0,0
128的，88贵了,2022-11-25 02:44:49,5,0
买贵了。,2022-11-25 02:43:50,2,0
爱国者不行，基本上打的“国产”“爱国芯”名号的固态都没几个强的,2022-11-25 03:35:22,2,0
能不能买点正常国产固态硬盘来测试呀！就好像买山寨手机来评测国产手机呀！别的不说，哪怕达墨这种种用白片的固态都比杂牌山寨货强。,2022-11-25 07:58:56,278,0
回复 @极诣_梁月 : 这是流量密码。[笑哭][笑哭][笑哭],2022-11-25 11:59:06,60,0
能不能买点正常国产固态硬盘来测试呀！就好像买山寨手机来评测国产手机呀！别的不说，哪怕达墨这种种用白片的固态都比杂牌山寨货强。,2022-11-25 07:58:56,278,0
回复 @极诣_梁月 : 这是流量密码。[笑哭][笑哭][笑哭],2022-11-25 11:59:06,60,0
